Rk,Player,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Total_Minutes,Season,Age,Nation,Team,Comp,MP,Position,Player_ID
129,Alexis Claude-Maurice,619,4039,1888,59,47,9,85,50,727,102,2109,2024-2025,26,fr FRA,Augsburg,de Bundesliga,28,MFFW,741418c3
130,Mario Götze,617,2456,1214,29,23,6,26,27,706,96,1542,2024-2025,32,de GER,Eint Frankfurt,de Bundesliga,24,MFFW,9efa1d25
131,João Pedro,616,3821,1821,66,39,30,72,38,732,128,1948,2024-2025,22,br BRA,Brighton,eng Premier League,27,FWMF,e8832875
132,Alexander Isak,615,3723,1861,83,42,43,66,55,740,217,2756,2024-2025,24,se SWE,Newcastle Utd,eng Premier League,34,FW,8e92be30
133,Raúl Moro,607,5692,2999,112,69,60,47,11,713,190,2341,2024-2025,21,es ESP,Valladolid,es La Liga,33,MFFW,919dd4b1
134,Nikola Vlašić,607,3417,1737,53,41,12,44,42,713,110,2117,2024-2025,26,hr CRO,Torino,it Serie A,30,MFFW,aa8e289e
135,Kingsley Coman,606,3834,1867,66,33,28,28,18,733,215,1282,2024-2025,28,fr FRA,Bayern Munich,de Bundesliga,28,FW,042e8a49
136,Cody Gakpo,605,4320,2208,59,34,28,45,24,677,278,1935,2024-2025,25,nl NED,Liverpool,eng Premier League,35,FW,1971591f
137,Jorge de Frutos,605,3941,2074,77,50,28,81,38,675,201,2495,2024-2025,27,es ESP,Rayo Vallecano,es La Liga,36,FWMF,38ce1150
138,Leonardo Spinazzola,603,4478,2504,83,64,24,17,18,679,81,1517,2024-2025,31,it ITA,Napoli,it Serie A,27,DFFW,3626daea
139,Alassane Pléa,601,3068,1698,51,31,14,40,22,773,141,1902,2024-2025,31,fr FRA,Gladbach,de Bundesliga,30,MFFW,bc6bd723
140,Anthony Elanga,600,4509,2544,102,45,48,79,43,764,229,2501,2024-2025,22,se SWE,Nott'ham Forest,eng Premier League,38,FWMF,2fba6108
141,Paulo Dybala,595,3180,1472,41,42,17,40,28,709,122,1417,2024-2025,30,ar ARG,Roma,it Serie A,24,FWMF,e0921a4f
142,Teun Koopmeiners,591,2741,1266,32,28,5,40,16,790,127,1994,2024-2025,26,nl NED,Juventus,it Serie A,28,MFFW,a26fb8aa
143,Riccardo Orsolini,589,3830,1777,61,27,25,48,25,675,186,1878,2024-2025,27,it ITA,Bologna,it Serie A,30,FW,e14ec482
144,Matthis Abline,587,3670,1743,75,42,42,92,65,689,169,2768,2024-2025,21,fr FRA,Nantes,fr Ligue 1,34,FW,0e46fa2f
145,Malick Fofana,587,4362,2643,112,57,39,36,18,645,205,1589,2024-2025,19,be BEL,Lyon,fr Ligue 1,29,FW,8236f673
