Rk,Player,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Total_Minutes,Season,Age,Nation,Team,Comp,MP,Position,Player_ID
293,Fábio Silva,706,32,69,311,335,101,703,1866,2024-2025,22,pt POR,Las Palmas,es La Liga,24,FW,e7aa9d7c
294,Ayoze Pérez,705,7,66,296,355,136,705,1970,2024-2025,31,es ESP,Villarreal,es La Liga,30,FW,819aa8e7
295,Anuar,705,31,214,324,173,28,705,1720,2024-2025,29,ma MAR,Valladolid,es La Liga,26,MFFW,c93231dc
296,Moise Kean,700,28,49,306,366,132,698,2704,2024-2025,24,it ITA,Fiorentina,it Serie A,32,FW,3d50bcdb
297,Ollie Watkins,695,18,50,248,407,168,693,2598,2024-2025,28,eng ENG,Aston Villa,eng Premier League,38,FW,aed3a70f
298,Danel Sinani,693,11,61,336,302,30,693,1250,2024-2025,27,lu LUX,St. Pauli,de Bundesliga,26,FWMF,96ddfa79
299,Patrick Cutrone,692,5,28,281,388,119,691,2047,2024-2025,26,it ITA,Como,it Serie A,33,FW,a4fe8cda
300,Nicolas Jackson,687,19,50,285,361,141,687,2220,2024-2025,23,sn SEN,Chelsea,eng Premier League,30,FW,9c36ed83
301,Borja Iglesias,685,16,48,362,284,83,685,1952,2024-2025,31,es ESP,Celta Vigo,es La Liga,37,FW,75645f0e
302,Roberto Navarro,683,16,112,316,278,42,683,1278,2024-2025,22,es ESP,Mallorca,es La Liga,23,MFFW,c997b942
303,Jim Allevinah,682,11,134,311,253,65,682,1750,2024-2025,29,ga GAB,Angers,fr Ligue 1,28,FW,1956b948
304,Liam Delap,682,29,78,291,335,92,680,2593,2024-2025,21,eng ENG,Ipswich Town,eng Premier League,37,FW,dd897ee7
305,Amin Sarr,681,21,54,302,328,58,681,1907,2024-2025,23,se SWE,Hellas Verona,it Serie A,32,FW,d5326924
306,Phillip Tietz,677,22,68,298,320,89,676,1686,2024-2025,27,de GER,Augsburg,de Bundesliga,34,FW,3397e7b5
307,Antoine Hainaut,676,53,197,293,194,14,676,1206,2024-2025,22,fr FRA,Parma,it Serie A,25,DFFW,6503f220
308,Musa Al-Taamari,676,3,49,262,383,96,676,1683,2024-2025,27,jo JOR,2 Teams,fr Ligue 1,26,FWMF,f15f8b2b
309,Sorba Thomas,674,25,111,276,303,20,674,1321,2024-2025,24,wls WAL,Nantes,fr Ligue 1,25,FWMF,8725a42e
310,Breel Embolo,668,13,57,289,329,121,668,1841,2024-2025,27,ch SUI,Monaco,fr Ligue 1,29,FWMF,0b4f388a
311,Marcus Rashford,667,5,49,247,381,64,666,1422,2024-2025,26,eng ENG,2 Teams,eng Premier League,25,FWMF,a1d5bd30
312,Khalil Fayad,663,19,129,367,175,17,663,1028,2024-2025,20,fr FRA,Montpellier,fr Ligue 1,20,MFFW,faf00ab8
313,Marvin,658,32,166,292,207,19,658,1038,2024-2025,24,es ESP,Las Palmas,es La Liga,23,DFFW,efaefda0
314,Lucas Stassin,655,9,39,273,347,85,655,1887,2024-2025,19,be BEL,Saint-Étienne,fr Ligue 1,28,FW,a47d6f3a
315,Dominic Solanke,655,33,74,299,288,112,654,2201,2024-2025,26,eng ENG,Tottenham,eng Premier League,27,FW,e77dc3b2
316,Artem Dovbyk,654,15,29,261,365,145,652,2418,2024-2025,27,ua UKR,Roma,it Serie A,32,FW,5b847bb0
317,Georges Mikautadze,653,9,45,259,357,119,649,1449,2024-2025,23,ge GEO,Lyon,fr Ligue 1,34,FW,4788cb6b
318,Mathias Honsak,646,39,162,288,205,33,646,1181,2024-2025,27,at AUT,Heidenheim,de Bundesliga,22,FWDF,3dbdbb6a
319,Ridle Baku,646,15,112,307,234,34,646,1170,2024-2025,26,de GER,Wolfsburg,de Bundesliga,15,FWMF,442b56fa
320,Assane Diao,645,20,77,233,341,77,645,1529,2024-2025,18,sn SEN,2 Teams,2 Comps,25,FWMF,8ae7d0ec
321,Gorka Guruzeta,643,23,67,342,240,78,643,1840,2024-2025,27,es ESP,Athletic Club,es La Liga,36,FW,6b5ea2f4
322,Lorenzo Lucca,641,27,57,335,259,109,640,2353,2024-2025,23,it ITA,Udinese,it Serie A,33,FW,83c06f3a
323,Georginio Rutter,641,20,83,246,326,79,641,1656,2024-2025,22,fr FRA,Brighton,eng Premier League,28,MFFW,c64c01fc
324,Erling Haaland,639,22,40,222,384,190,635,2736,2024-2025,24,no NOR,Manchester City,eng Premier League,31,FW,1f44ac21
325,Karim Adeyemi,636,9,51,231,365,88,636,1433,2024-2025,22,de GER,Dortmund,de Bundesliga,25,FWMF,501055d8
326,Arnaut Danjuma,636,9,61,157,423,89,636,1535,2024-2025,27,nl NED,2 Teams,es La Liga,28,FW,f08490a6
327,Hugo Duro,634,15,47,328,265,90,633,2166,2024-2025,24,es ESP,Valencia,es La Liga,31,FW,37e103f8
328,Adama Boiro,627,25,158,309,165,14,627,1101,2024-2025,22,es ESP,Athletic Club,es La Liga,18,DFFW,e7992f7b
329,Ben Johnson,626,60,246,220,163,12,626,1354,2024-2025,24,eng ENG,Ipswich Town,eng Premier League,23,DFFW,9319781b
330,Jesper Lindstrøm,625,22,127,206,303,40,625,1239,2024-2025,24,dk DEN,Everton,eng Premier League,25,FW,37dc1a48
331,Thierno Barry,624,22,44,246,346,126,623,2323,2024-2025,21,fr FRA,Villarreal,es La Liga,35,FW,52c3244b
332,Albert Guðmundsson,624,9,79,332,220,32,622,1273,2024-2025,27,is ISL,Fiorentina,it Serie A,24,FWMF,b79858d5
333,Jeong Woo-yeong,621,12,79,261,296,34,621,1263,2024-2025,24,kr KOR,Union Berlin,de Bundesliga,23,MFFW,6190474d
334,Steven Skrzybski,619,9,97,311,221,45,618,1323,2024-2025,31,de GER,Holstein Kiel,de Bundesliga,24,MFFW,58ce23e5
335,Maximilian Beier,618,16,73,245,308,88,618,1591,2024-2025,21,de GER,Dortmund,de Bundesliga,29,FWMF,5db45ee5
336,Zakaria Aboukhlal,613,6,59,196,363,113,611,1901,2024-2025,24,ma MAR,Toulouse,fr Ligue 1,26,MFFW,c2a6033c
337,Carlos Martín,612,21,117,265,236,40,612,1333,2024-2025,22,es ESP,Alavés,es La Liga,26,FWMF,64035864
338,Andrea Colpani,609,9,62,251,299,49,609,1450,2024-2025,25,it ITA,Fiorentina,it Serie A,25,FWMF,6499048c
