Rk,Player,Shots_Total,Goals_per_Shot,Goals_per_Shot_on_Target,Shots_on_Target,Shot_on_Target_Percentage,Average_Shot_Distance,Free_Kicks,Total_Minutes,Season,Age,Nation,Team,Comp,MP,Position,Player_ID
260,Denzel Dumfries,36,0.19,0.37,19,0.528,10.5,0,1959,2024-2025,28,nl NED,Inter,it Serie A,29,DFFW,481c9ece
261,Andrea Colpani,36,0.06,0.17,12,0.3329999999999999,18.5,2,1465,2024-2025,25,it ITA,Fiorentina,it Serie A,25,FWMF,6499048c
262,Junior Adamu,36,0.06,0.18,11,0.306,12.4,0,1558,2024-2025,23,at AUT,Freiburg,de Bundesliga,25,FW,82e12fe7
263,Mathias Pereira Lage,36,0.06,0.13,15,0.417,17.2,3,1583,2024-2025,27,pt POR,Brest,fr Ligue 1,29,FWMF,8846a40f
264,Patrick Dorgu,36,0.08,0.3,10,0.278,19.0,0,1841,2024-2025,19,dk DEN,Lecce,it Serie A,21,DFFW,e6536124
265,Arnaut Danjuma,36,0.11,0.24,17,0.472,15.7,1,1547,2024-2025,27,nl NED,2 Teams,es La Liga,28,FW,f08490a6
266,Mohamed Ali Cho,36,0.08,0.2,15,0.417,17.7,0,1642,2024-2025,20,fr FRA,Nice,fr Ligue 1,27,FWMF,f8405304
267,Anass Zaroury,35,0.06,0.17,12,0.3429999999999999,22.4,0,1416,2024-2025,23,ma MAR,Lens,fr Ligue 1,28,FWMF,07d65234
268,Jim Allevinah,35,0.03,0.1,10,0.286,14.5,0,1771,2024-2025,29,ga GAB,Angers,fr Ligue 1,28,FW,1956b948
269,Mikkel Damsgaard,35,0.06,0.29,7,0.2,17.6,3,2934,2024-2025,24,dk DEN,Brentford,eng Premier League,38,MFFW,215f3907
270,Iliman Ndiaye,35,0.2,0.47,15,0.429,17.1,0,2444,2024-2025,24,sn SEN,Everton,eng Premier League,33,FW,5ed97752
271,Himad Abdelli,35,0.09,0.38,8,0.2289999999999999,22.6,0,2849,2024-2025,24,dz ALG,Angers,fr Ligue 1,32,MFFW,7978cbf0
272,Assane Diao,35,0.26,0.64,14,0.4,15.3,0,1539,2024-2025,18,sn SEN,2 Teams,2 Comps,25,FWMF,8ae7d0ec
273,Carlos Vicente,35,0.11,0.31,13,0.371,18.2,1,3099,2024-2025,25,es ESP,Alavés,es La Liga,37,FWMF,90df343e
274,Danel Sinani,35,0.06,0.17,12,0.3429999999999999,21.5,3,1263,2024-2025,27,lu LUX,St. Pauli,de Bundesliga,26,FWMF,96ddfa79
275,Hákon Arnar Haraldsson,35,0.14,0.38,13,0.371,17.1,2,1769,2024-2025,21,is ISL,Lille,fr Ligue 1,25,MFFW,e2ae54db
276,Viktor Tsyhankov,35,0.06,0.22,9,0.257,19.9,5,1925,2024-2025,26,ua UKR,Girona,es La Liga,27,FWMF,f7e87032
277,Darwin Núñez,34,0.15,0.38,13,0.382,14.3,0,1139,2024-2025,25,uy URU,Liverpool,eng Premier League,30,FW,4d77b365
278,Marcus Rashford,34,0.15,0.36,14,0.412,18.0,2,1434,2024-2025,26,eng ENG,2 Teams,eng Premier League,25,FWMF,a1d5bd30
279,Carles Pérez,34,0.09,0.33,9,0.265,21.1,1,1440,2024-2025,26,es ESP,Getafe,es La Liga,27,MFFW,a8f21b9f
280,Jordan Pefok,34,0.03,0.11,9,0.265,11.4,0,1299,2024-2025,28,us USA,2 Teams,2 Comps,25,FW,b684a484
281,Paul Onuachu,34,0.12,0.27,15,0.441,10.4,0,1056,2024-2025,30,ng NGA,Southampton,eng Premier League,25,FW,c06d1086
282,Yankuba Minteh,34,0.18,0.38,16,0.471,13.8,0,1855,2024-2025,20,gm GAM,Brighton,eng Premier League,32,FWMF,c3cf087d
283,Lucas Höler,34,0.18,0.35,17,0.5,10.8,0,1880,2024-2025,30,de GER,Freiburg,de Bundesliga,31,FWMF,ca618d23
284,Johannes Eggestein,34,0.06,0.2,10,0.294,15.7,0,1872,2024-2025,26,de GER,St. Pauli,de Bundesliga,27,FW,d571df78
285,Joel Pohjanpalo,34,0.09,0.23,13,0.382,16.9,0,1616,2024-2025,29,fi FIN,Venezia,it Serie A,20,FW,ea003d07
286,Óscar Rodríguez Arnaiz,33,0.03,0.17,6,0.182,25.1,9,1335,2024-2025,26,es ESP,Leganés,es La Liga,29,MFFW,19709006
287,Simon Adingra,33,0.06,0.25,8,0.242,17.0,0,1107,2024-2025,22,ci CIV,Brighton,eng Premier League,29,FWMF,4dcec659
288,Irvin Cardona,33,0.18,0.46,13,0.3939999999999999,15.5,1,1683,2024-2025,26,fr FRA,2 Teams,2 Comps,31,FWMF,5e080f73
289,Miguel,33,0.0,0.0,14,0.424,15.5,0,1736,2024-2025,24,es ESP,Leganés,es La Liga,34,FW,6763373d
290,Vitinha,33,0.06,0.4,5,0.152,20.3,1,1341,2024-2025,24,pt POR,Genoa,it Serie A,25,FWMF,74d4cec6
291,Juan Cruz,33,0.15,0.36,14,0.424,21.0,1,2272,2024-2025,24,es ESP,Leganés,es La Liga,34,FWMF,cc2dd8a5
292,Williot Swedberg,32,0.13,0.27,15,0.469,14.7,0,1361,2024-2025,20,se SWE,Celta Vigo,es La Liga,32,FWMF,184fe4b2
293,Bernardo Silva,32,0.13,0.36,11,0.344,12.4,0,2671,2024-2025,29,pt POR,Manchester City,eng Premier League,33,MFFW,3eb22ec9
294,Rasmus Højlund,32,0.13,0.31,13,0.406,12.9,0,2020,2024-2025,21,dk DEN,Manchester Utd,eng Premier League,32,FW,491a433d
295,Steven Skrzybski,32,0.16,0.42,12,0.375,20.2,0,1333,2024-2025,31,de GER,Holstein Kiel,de Bundesliga,24,MFFW,58ce23e5
296,Oliver McBurnie,32,0.09,0.25,12,0.375,12.3,0,1849,2024-2025,28,sct SCO,Las Palmas,es La Liga,34,FW,78b8ac63
297,Bryan Gil,32,0.09,0.2,15,0.469,19.0,0,1738,2024-2025,23,es ESP,Girona,es La Liga,25,FWMF,7b5ab7f2
298,Mathys Tel,32,0.03,0.09,11,0.344,16.6,1,1174,2024-2025,19,fr FRA,2 Teams,2 Comps,21,FW,829aa60c
299,Tomáš Suslov,32,0.0,0.0,7,0.2189999999999999,21.6,4,2100,2024-2025,22,sk SVK,Hellas Verona,it Serie A,31,MFFW,83fe71b8
300,Sergio Camello,32,0.09,0.33,9,0.281,16.3,0,1148,2024-2025,23,es ESP,Rayo Vallecano,es La Liga,23,FW,873619c6
301,Jordan Ayew,32,0.13,0.5,8,0.25,18.4,4,1674,2024-2025,32,gh GHA,2 Teams,eng Premier League,31,FWMF,da052c14
302,Santiago Pierotti,32,0.13,0.57,7,0.2189999999999999,15.1,0,1952,2024-2025,23,ar ARG,Lecce,it Serie A,36,FW,ec315772
303,Cristhian Stuani,31,0.26,0.5,16,0.516,12.7,0,1084,2024-2025,37,uy URU,Girona,es La Liga,32,FW,220c11f1
304,Gerrit Holtmann,31,0.06,0.25,8,0.258,21.4,0,1146,2024-2025,29,ph PHI,Bochum,de Bundesliga,23,DFFW,2979c05a
305,Nicolas Viola,31,0.1,0.33,9,0.29,20.4,4,1284,2024-2025,34,it ITA,Cagliari,it Serie A,27,FWMF,45392b06
