Rk,Player,GCA,PassLive,PassDead,TO,Sh,Fld,Def_GCA,Total_Minutes,Season,Age,Nation,Team,Comp,MP,Position,Player_ID
151,Junya Ito,9,7,1,0,1,0,0,2703,2024-2025,31,jp JPN,Reims,fr Ligue 1,33,FWMF,dbd3a428
152,Dejan Kulusevski,9,7,1,1,0,0,0,2394,2024-2025,24,se SWE,Tottenham,eng Premier League,32,MFFW,df3cda47
153,João Pedro,9,6,0,0,0,3,0,1957,2024-2025,22,br BRA,Brighton,eng Premier League,27,FWMF,e8832875
154,Phil Foden,9,5,1,0,3,0,0,1787,2024-2025,24,eng ENG,Manchester City,eng Premier League,28,MFFW,ed1e53f3
155,Tammy Abraham,9,7,0,0,1,1,0,1192,2024-2025,26,eng ENG,2 Teams,it Serie A,29,FW,f586779e
156,Valentino Lazaro,8,5,3,0,0,0,0,2324,2024-2025,28,at AUT,Torino,it Serie A,33,DFFW,016ff750
157,Jonathan Burkardt,8,6,0,0,1,1,0,2127,2024-2025,24,de GER,Mainz 05,de Bundesliga,29,FW,05f99a4a
158,Chris Führich,8,6,1,0,1,0,0,1997,2024-2025,26,de GER,Stuttgart,de Bundesliga,33,MFFW,0cf778df
159,Jacob Ramsey,8,7,0,0,0,1,0,1636,2024-2025,23,eng ENG,Aston Villa,eng Premier League,29,FWMF,1544f145
160,Takefusa Kubo,8,2,0,5,0,1,0,2388,2024-2025,23,jp JPN,Real Sociedad,es La Liga,36,MFFW,16aa3654
161,Williot Swedberg,8,6,0,1,1,0,0,1361,2024-2025,20,se SWE,Celta Vigo,es La Liga,32,FWMF,184fe4b2
162,Cody Gakpo,8,3,0,3,1,1,0,1952,2024-2025,25,nl NED,Liverpool,eng Premier League,35,FW,1971591f
163,Roberto Piccoli,8,3,0,1,1,3,0,3145,2024-2025,23,it ITA,Cagliari,it Serie A,37,FW,1cadaf34
164,Boulaye Dia,8,7,0,0,1,0,0,2199,2024-2025,27,sn SEN,Lazio,it Serie A,35,MFFW,244bc2c8
165,Leandro Trossard,8,8,0,0,0,0,0,2559,2024-2025,29,be BEL,Arsenal,eng Premier League,38,FW,38ceb24a
166,Bernardo Silva,8,8,0,0,0,0,0,2671,2024-2025,29,pt POR,Manchester City,eng Premier League,33,MFFW,3eb22ec9
167,Keane Lewis-Potter,8,6,0,0,0,2,0,3102,2024-2025,23,eng ENG,Brentford,eng Premier League,38,DFFW,41f08ac8
168,Ludovic Ajorque,8,3,0,1,3,1,0,2508,2024-2025,30,fr FRA,Brest,fr Ligue 1,31,FW,462475ed
169,Josué Casimir,8,3,0,1,1,3,0,2010,2024-2025,22,fr FRA,Le Havre,fr Ligue 1,27,FWMF,481f76cf
170,Jon Guridi,8,5,0,2,1,0,0,2101,2024-2025,29,es ESP,Alavés,es La Liga,33,MFFW,4c0a6a48
171,Iliman Ndiaye,8,5,0,2,0,1,0,2444,2024-2025,24,sn SEN,Everton,eng Premier League,33,FW,5ed97752
172,Ange-Yoan Bonny,8,4,0,2,1,1,0,2551,2024-2025,20,fr FRA,Parma,it Serie A,37,FW,64629ba4
173,Habib Diarra,8,6,0,0,0,2,0,2360,2024-2025,20,sn SEN,Strasbourg,fr Ligue 1,30,MFFW,6d0fe035
174,Evanilson,8,2,0,1,1,4,0,2339,2024-2025,24,br BRA,Bournemouth,eng Premier League,31,FW,6f3cc2fe
175,Cucho,8,5,0,1,0,2,0,1150,2024-2025,25,co COL,Betis,es La Liga,15,FW,71b47ab9
176,Dušan Vlahović,8,5,0,3,0,0,0,1792,2024-2025,24,rs SRB,Juventus,it Serie A,29,FW,79443529
177,John McGinn,8,6,2,0,0,0,0,2238,2024-2025,29,sct SCO,Aston Villa,eng Premier League,34,MFFW,90f91999
178,Lucas Stassin,8,4,0,2,1,1,0,1900,2024-2025,19,be BEL,Saint-Étienne,fr Ligue 1,28,FW,a47d6f3a
179,Nikola Vlašić,8,6,0,1,0,1,0,2128,2024-2025,26,hr CRO,Torino,it Serie A,30,MFFW,aa8e289e
180,Tiago Tomás,8,4,0,1,2,1,0,1901,2024-2025,22,pt POR,Wolfsburg,de Bundesliga,32,FWMF,b492126a
181,Noni Madueke,8,5,0,0,1,1,1,2052,2024-2025,22,eng ENG,Chelsea,eng Premier League,32,FW,bf34eebd
182,Georginio Rutter,8,3,0,3,1,1,0,1672,2024-2025,22,fr FRA,Brighton,eng Premier League,28,MFFW,c64c01fc
183,Jonathan David,8,5,0,1,1,1,0,2562,2024-2025,24,ca CAN,Lille,fr Ligue 1,32,FW,ce50fd99
184,Danny Welbeck,8,7,0,0,1,0,0,2128,2024-2025,33,eng ENG,Brighton,eng Premier League,30,FW,ce5143da
185,Franck Honorat,8,4,4,0,0,0,0,1456,2024-2025,27,fr FRA,Gladbach,de Bundesliga,19,FW,db7849ca
186,Deniz Undav,8,4,0,0,3,0,1,1735,2024-2025,28,de GER,Stuttgart,de Bundesliga,27,FWMF,dd549382
187,Paulo Dybala,8,5,1,0,0,2,0,1428,2024-2025,30,ar ARG,Roma,it Serie A,24,FWMF,e0921a4f
188,Gonçalo Guedes,8,7,0,1,0,0,0,1003,2024-2025,27,pt POR,Wolves,eng Premier League,29,MFFW,e6bc67d7
189,Dominic Solanke,8,6,0,0,1,1,0,2208,2024-2025,26,eng ENG,Tottenham,eng Premier League,27,FW,e77dc3b2
190,Lautaro Martínez,8,5,0,1,2,0,0,2580,2024-2025,26,ar ARG,Inter,it Serie A,31,FW,f7036e1c
191,Viktor Tsyhankov,8,4,3,0,0,1,0,1925,2024-2025,26,ua UKR,Girona,es La Liga,27,FWMF,f7e87032
192,Sergi Darder,7,5,2,0,0,0,0,2767,2024-2025,30,es ESP,Mallorca,es La Liga,38,MFFW,070a3904
193,Tom Bischof,7,6,1,0,0,0,0,2570,2024-2025,19,de GER,Hoffenheim,de Bundesliga,31,MFFW,07d3bfec
194,Brennan Johnson,7,5,0,1,0,1,0,2185,2024-2025,23,wls WAL,Tottenham,eng Premier League,33,FW,0cd31129
195,Marvin Pieringer,7,3,0,0,1,2,1,2225,2024-2025,24,de GER,Heidenheim,de Bundesliga,31,FWMF,11407d95
196,Jim Allevinah,7,4,0,0,2,1,0,1771,2024-2025,29,ga GAB,Angers,fr Ligue 1,28,FW,1956b948
197,Alfon,7,4,0,0,2,1,0,1381,2024-2025,25,es ESP,Celta Vigo,es La Liga,26,FWMF,1c772b46
198,Dennis Man,7,5,1,0,1,0,0,2007,2024-2025,25,ro ROU,Parma,it Serie A,33,FWMF,2079b3cc
199,Javi Puado,7,6,0,0,0,1,0,2989,2024-2025,26,es ESP,Espanyol,es La Liga,35,FWMF,2683eda7
200,Benedict Hollerbach,7,3,0,1,1,2,0,2559,2024-2025,23,de GER,Union Berlin,de Bundesliga,34,FWMF,2a158218
201,Stephy Mavididi,7,6,0,1,0,0,0,1628,2024-2025,26,eng ENG,Leicester City,eng Premier League,30,FW,30144daa
202,Fares Chaïbi,7,6,1,0,0,0,0,1021,2024-2025,21,dz ALG,Eint Frankfurt,de Bundesliga,26,MFFW,357103bd
203,Eliesse Ben Seghir,7,4,1,0,1,1,0,1761,2024-2025,19,ma MAR,Monaco,fr Ligue 1,33,MFFW,3bd65247
204,Moise Kean,7,2,0,3,2,0,0,2712,2024-2025,24,it ITA,Fiorentina,it Serie A,32,FW,3d50bcdb
205,Nikola Krstović,7,6,0,0,1,0,0,3070,2024-2025,24,me MNE,Lecce,it Serie A,37,FW,473803c9
