Rk,Player,GCA,PassLive,PassDead,TO,Sh,Fld,Def_GCA,Total_Minutes,Season,Age,Nation,Team,Comp,MP,Position,Player_ID
238,Takumi Minamino,7,5,0,1,1,0,0,2248,2024-2025,29,jp JPN,Monaco,fr Ligue 1,31,MFFW,f833a830
239,Vedat Muriqi,6,5,0,0,0,1,0,2070,2024-2025,30,xk KVX,Mallorca,es La Liga,29,FW,0cadc46d
240,Matias Fernandez-Pardo,6,3,0,1,0,1,1,1075,2024-2025,19,be BEL,Lille,fr Ligue 1,22,FWMF,0cdb6a2a
241,Rémy Cabella,6,2,1,0,1,2,0,1019,2024-2025,34,fr FRA,Lille,fr Ligue 1,23,FWMF,148e136f
242,Ander Barrenetxea,6,4,0,0,2,0,0,1274,2024-2025,22,es ESP,Real Sociedad,es La Liga,30,MFFW,200e89e1
243,Jonas Wind,6,5,0,0,1,0,0,1978,2024-2025,25,dk DEN,Wolfsburg,de Bundesliga,31,FWMF,2077ae86
244,Dango Ouattara,6,4,0,1,1,0,0,2019,2024-2025,22,bf BFA,Bournemouth,eng Premier League,32,FW,2f9e4435
245,Fabio Miretti,6,4,2,0,0,0,0,1696,2024-2025,20,it ITA,Genoa,it Serie A,25,MFFW,34693494
246,Oladapo Afolayan,6,3,0,3,0,0,0,1652,2024-2025,26,eng ENG,St. Pauli,de Bundesliga,32,FWMF,5054c359
247,Thierno Barry,6,5,0,1,0,0,0,2333,2024-2025,21,fr FRA,Villarreal,es La Liga,35,FW,52c3244b
248,Artem Dovbyk,6,3,0,2,1,0,0,2435,2024-2025,27,ua UKR,Roma,it Serie A,32,FW,5b847bb0
249,Irvin Cardona,6,4,0,0,2,0,0,1683,2024-2025,26,fr FRA,2 Teams,2 Comps,31,FWMF,5e080f73
250,Manuel Fuster,6,5,0,0,0,0,1,1008,2024-2025,26,es ESP,Las Palmas,es La Liga,28,FWMF,618f396a
251,Miguel,6,5,0,1,0,0,0,1736,2024-2025,24,es ESP,Leganés,es La Liga,34,FW,6763373d
252,Osame Sahraoui,6,5,0,0,1,0,0,1301,2024-2025,23,ma MAR,Lille,fr Ligue 1,30,FWMF,6f9fa232
253,Alexis Claude-Maurice,6,3,0,1,0,2,0,2127,2024-2025,26,fr FRA,Augsburg,de Bundesliga,28,MFFW,741418c3
254,Jens Odgaard,6,4,0,0,2,0,0,1972,2024-2025,25,dk DEN,Bologna,it Serie A,29,MFFW,75374ee7
255,Oliver McBurnie,6,6,0,0,0,0,0,1849,2024-2025,28,sct SCO,Las Palmas,es La Liga,34,FW,78b8ac63
256,Alejandro Garnacho,6,4,0,0,1,1,0,2208,2024-2025,20,ar ARG,Manchester Utd,eng Premier League,36,MFFW,7aa8adfe
257,Sebastiano Esposito,6,0,0,2,3,1,0,2350,2024-2025,22,it ITA,Empoli,it Serie A,33,FWMF,7ff93107
258,Daniel Maldini,6,4,0,0,2,0,0,1577,2024-2025,22,it ITA,2 Teams,it Serie A,30,MFFW,801831fe
259,Sandro Ramírez,6,3,1,0,0,2,0,2052,2024-2025,29,es ESP,Las Palmas,es La Liga,31,FWMF,833fb62e
260,Lee Kang-in,6,5,1,0,0,0,0,1677,2024-2025,23,kr KOR,Paris S-G,fr Ligue 1,30,FWMF,8455ad90
261,Sorba Thomas,6,6,0,0,0,0,0,1335,2024-2025,24,wls WAL,Nantes,fr Ligue 1,25,FWMF,8725a42e
262,Assane Diao,6,4,0,1,0,1,0,1539,2024-2025,18,sn SEN,2 Teams,2 Comps,25,FWMF,8ae7d0ec
263,Félix Lemaréchal,6,6,0,0,0,0,0,1789,2024-2025,20,fr FRA,Strasbourg,fr Ligue 1,27,MFFW,8ca9415f
264,Lucas Paquetá,6,3,0,0,2,1,0,2390,2024-2025,26,br BRA,West Ham,eng Premier League,33,MFFW,9b6f7fd5
265,Patrick Cutrone,6,6,0,0,0,0,0,2065,2024-2025,26,it ITA,Como,it Serie A,33,FW,a4fe8cda
266,Omari Hutchinson,6,6,0,0,0,0,0,2594,2024-2025,20,eng ENG,Ipswich Town,eng Premier League,31,MFFW,bd9553e6
267,Arnaud Kalimuendo,6,4,0,0,2,0,0,2593,2024-2025,22,fr FRA,Rennes,fr Ligue 1,33,FWMF,bf4c41f9
268,Randal Kolo Muani,6,2,0,2,1,1,0,1525,2024-2025,25,fr FRA,2 Teams,2 Comps,26,FW,c0b3669f
269,Alberto Moleiro,6,3,0,1,1,1,0,2729,2024-2025,20,es ESP,Las Palmas,es La Liga,35,FWMF,c2c8897d
270,Lucas Höler,6,3,0,1,1,1,0,1880,2024-2025,30,de GER,Freiburg,de Bundesliga,31,FWMF,ca618d23
271,Juan Cruz,6,6,0,0,0,0,0,2272,2024-2025,24,es ESP,Leganés,es La Liga,34,FWMF,cc2dd8a5
272,Domingos André Ribeiro Almeida,6,5,1,0,0,0,0,1997,2024-2025,24,pt POR,Valencia,es La Liga,34,MFFW,e6697917
273,Musa Al-Taamari,6,3,0,1,1,1,0,1692,2024-2025,27,jo JOR,2 Teams,fr Ligue 1,26,FWMF,f15f8b2b
274,Jørgen Strand Larsen,6,6,0,0,0,0,0,2606,2024-2025,24,no NOR,Wolves,eng Premier League,35,FW,f553b2b3
275,Gonçalo Ramos,6,4,0,0,1,1,0,1073,2024-2025,23,pt POR,Paris S-G,fr Ligue 1,22,FW,f63cda26
276,Jofre,5,4,0,0,0,1,0,2188,2024-2025,23,es ESP,Espanyol,es La Liga,37,MFFW,030ef8d6
277,Phil Harres,5,1,0,0,2,2,0,1553,2024-2025,22,de GER,Holstein Kiel,de Bundesliga,26,FW,07db670d
278,Andrea Pinamonti,5,3,0,0,2,0,0,2863,2024-2025,25,it ITA,Genoa,it Serie A,36,FW,08aa9cd1
279,Giuseppe Pezzella,5,5,0,0,0,0,0,2889,2024-2025,26,it ITA,Empoli,it Serie A,35,DFFW,149c5f5d
280,Akor Adams,5,2,0,1,0,2,0,1215,2024-2025,24,ng NGA,2 Teams,2 Comps,19,FW,2ccd39ed
281,Phillip Tietz,5,2,0,1,2,0,0,1700,2024-2025,27,de GER,Augsburg,de Bundesliga,34,FW,3397e7b5
282,Hugo Duro,5,1,0,0,1,3,0,2177,2024-2025,24,es ESP,Valencia,es La Liga,31,FW,37e103f8
283,Gianluca Gaetano,5,5,0,0,0,0,0,1017,2024-2025,24,it ITA,2 Teams,it Serie A,28,MFFW,3b387cc7
284,Mathias Honsak,5,0,2,3,0,0,0,1186,2024-2025,27,at AUT,Heidenheim,de Bundesliga,22,FWDF,3dbdbb6a
285,Facundo Buonanotte,5,1,2,2,0,0,0,1530,2024-2025,19,ar ARG,Leicester City,eng Premier League,31,FWMF,468a7a91
286,Isaac Palazón Camacho,5,2,3,0,0,0,0,2176,2024-2025,29,es ESP,Rayo Vallecano,es La Liga,35,MFFW,49dbab27
287,Neal Maupay,5,5,0,0,0,0,0,1051,2024-2025,27,fr FRA,2 Teams,2 Comps,22,FWMF,4bcf39f6
288,Eren Dinkçi,5,5,0,0,0,0,0,1204,2024-2025,22,de GER,Freiburg,de Bundesliga,23,MFFW,4ccd8957
289,Chris Wood,5,4,0,0,0,0,1,2980,2024-2025,32,nz NZL,Nott'ham Forest,eng Premier League,36,FW,4e9a0555
290,Gianluca Caprari,5,5,0,0,0,0,0,1666,2024-2025,31,it ITA,Monza,it Serie A,34,MFFW,54e53b7e
291,Steven Skrzybski,5,4,1,0,0,0,0,1333,2024-2025,31,de GER,Holstein Kiel,de Bundesliga,24,MFFW,58ce23e5
292,Jeong Woo-yeong,5,3,1,1,0,0,0,1278,2024-2025,24,kr KOR,Union Berlin,de Bundesliga,23,MFFW,6190474d
293,Andrea Colpani,5,3,0,0,2,0,0,1465,2024-2025,25,it ITA,Fiorentina,it Serie A,25,FWMF,6499048c
294,Iván Sánchez,5,5,0,0,0,0,0,1413,2024-2025,31,es ESP,Valladolid,es La Liga,32,MFFW,70107d4d
295,Himad Abdelli,5,3,0,2,0,0,0,2849,2024-2025,24,dz ALG,Angers,fr Ligue 1,32,MFFW,7978cbf0
296,Bryan Gil,5,5,0,0,0,0,0,1738,2024-2025,23,es ESP,Girona,es La Liga,25,FWMF,7b5ab7f2
297,Ayoze Pérez,5,2,0,2,1,0,0,1982,2024-2025,31,es ESP,Villarreal,es La Liga,30,FW,819aa8e7
298,Valentin Mihaila,5,3,2,0,0,0,0,1300,2024-2025,24,ro ROU,Parma,it Serie A,21,FWMF,81a4c239
299,Sergio Camello,5,2,0,2,0,0,1,1148,2024-2025,23,es ESP,Rayo Vallecano,es La Liga,23,FW,873619c6
300,Marco Grüll,5,2,0,0,1,2,0,1192,2024-2025,26,at AUT,Werder Bremen,de Bundesliga,30,FWMF,8babb812
301,Mikel Oyarzabal,5,3,0,0,0,2,0,2268,2024-2025,27,es ESP,Real Sociedad,es La Liga,35,FW,8c3c640c
302,Ben Johnson,5,4,0,0,1,0,0,1357,2024-2025,24,eng ENG,Ipswich Town,eng Premier League,23,DFFW,9319781b
303,Giorgos Masouras,5,2,0,0,3,0,0,1065,2024-2025,30,gr GRE,Bochum,de Bundesliga,14,FWMF,9d689a5b
304,Alexandre Lacazette,5,2,0,0,3,0,0,2067,2024-2025,33,fr FRA,Lyon,fr Ligue 1,30,FW,9dbb75ca
305,M'Bala Nzola,5,3,0,1,1,0,0,1468,2024-2025,27,ao ANG,Lens,fr Ligue 1,21,FW,a4948e67
306,Thijs Dallinga,5,3,0,0,0,1,1,1162,2024-2025,23,nl NED,Bologna,it Serie A,31,FW,b70afb45
307,Albert Guðmundsson,5,3,0,0,0,2,0,1285,2024-2025,27,is ISL,Fiorentina,it Serie A,24,FWMF,b79858d5
308,Shavy Babicka,5,3,0,1,0,1,0,1195,2024-2025,24,ga GAB,Toulouse,fr Ligue 1,30,MFFW,c6f0d5d4
309,Riccardo Orsolini,5,4,0,0,0,1,0,1892,2024-2025,27,it ITA,Bologna,it Serie A,30,FW,e14ec482
310,Jack Clarke,5,4,1,0,0,0,0,1192,2024-2025,23,eng ENG,Ipswich Town,eng Premier League,32,FWMF,e16932d8
311,Mamadou Sylla,5,2,0,1,0,2,0,1594,2024-2025,30,sn SEN,Valladolid,es La Liga,29,FWMF,e5ec95f8
312,Fábio Silva,5,3,0,1,1,0,0,1879,2024-2025,22,pt POR,Las Palmas,es La Liga,24,FW,e7aa9d7c
313,Alexander Sørloth,5,2,0,2,1,0,0,1578,2024-2025,28,no NOR,Atlético Madrid,es La Liga,35,FW,e92cd3f7
314,Che Adams,5,4,0,0,1,0,0,2662,2024-2025,28,sct SCO,Torino,it Serie A,36,FW,f2bf1b0f
315,Emmanuel Gyasi,5,4,1,0,0,0,0,3225,2024-2025,30,gh GHA,Empoli,it Serie A,37,DFFW,f9758dae
316,Jesus Rodríguez,5,3,0,0,1,1,0,1126,2024-2025,18,es ESP,Betis,es La Liga,21,FW,f9f74e43
317,Mama Samba Baldé,5,4,0,0,0,1,0,1193,2024-2025,28,gw GNB,2 Teams,fr Ligue 1,29,FW,fb14aa28
318,Tete Morente,4,2,1,1,0,0,0,2034,2024-2025,27,es ESP,Lecce,it Serie A,31,FWMF,004d185e
319,Anass Zaroury,4,3,0,0,0,1,0,1416,2024-2025,23,ma MAR,Lens,fr Ligue 1,28,FWMF,07d65234
320,Coba da Costa,4,3,0,0,1,0,0,1014,2024-2025,22,es ESP,Getafe,es La Liga,19,MFFW,0b3358f0
321,Gavi,4,4,0,0,0,0,0,1094,2024-2025,19,es ESP,Barcelona,es La Liga,26,MFFW,19cae58d
322,Nicolás González,4,3,0,0,1,0,0,1767,2024-2025,26,ar ARG,Juventus,it Serie A,26,FWMF,2374aaca
323,Leon Bailey,4,4,0,0,0,0,0,1150,2024-2025,26,jm JAM,Aston Villa,eng Premier League,24,FWMF,3a233281
324,Alejo Véliz,4,2,0,0,0,2,0,1134,2024-2025,20,ar ARG,Espanyol,es La Liga,27,FW,3f7bafbe
325,Joshua King,4,3,0,0,0,1,0,1688,2024-2025,32,no NOR,Toulouse,fr Ligue 1,28,FWMF,43458538
326,Ridle Baku,4,3,0,0,0,1,0,1176,2024-2025,26,de GER,Wolfsburg,de Bundesliga,15,FWMF,442b56fa
327,Oumar Diakité,4,4,0,0,0,0,0,1646,2024-2025,20,ci CIV,Reims,fr Ligue 1,26,FW,44435c8f
328,Nicolas Viola,4,2,1,0,0,1,0,1284,2024-2025,34,it ITA,Cagliari,it Serie A,27,FWMF,45392b06
329,Denzel Dumfries,4,2,0,0,1,1,0,1959,2024-2025,28,nl NED,Inter,it Serie A,29,DFFW,481c9ece
330,Darwin Núñez,4,3,0,0,0,1,0,1139,2024-2025,25,uy URU,Liverpool,eng Premier League,30,FW,4d77b365
331,Dominic Calvert-Lewin,4,1,0,2,0,1,0,1620,2024-2025,27,eng ENG,Everton,eng Premier League,26,FW,59e6e5bf
332,Adrian Beck,4,2,1,1,0,0,0,1609,2024-2025,27,de GER,Heidenheim,de Bundesliga,32,MFFW,616c09f5
333,Tim Skarke,4,3,0,0,1,0,0,1174,2024-2025,27,de GER,Union Berlin,de Bundesliga,33,FWMF,65857fdf
334,Adam Armstrong,4,1,0,0,3,0,0,1258,2024-2025,27,eng ENG,Southampton,eng Premier League,20,FWMF,68c720b5
335,Carles Aleñá,4,2,1,0,0,1,0,1555,2024-2025,26,es ESP,2 Teams,es La Liga,24,MFFW,6c811eb7
336,Pablo Durán,4,3,0,0,1,0,0,1405,2024-2025,23,es ESP,Celta Vigo,es La Liga,27,FWMF,6db116ec
337,Giacomo Raspadori,4,2,0,0,0,2,0,1112,2024-2025,24,it ITA,Napoli,it Serie A,26,FWMF,6e058f06
338,Lilian Raolisoa,4,2,2,0,0,0,0,1326,2024-2025,24,fr FRA,Angers,fr Ligue 1,29,DFFW,79a793b7
339,Morgan Guilavogui,4,2,0,1,1,0,0,1821,2024-2025,26,gn GUI,St. Pauli,de Bundesliga,25,FWMF,79b51257
340,Mathys Tel,4,3,0,0,0,1,0,1174,2024-2025,19,fr FRA,2 Teams,2 Comps,21,FW,829aa60c
341,Lorenzo Lucca,4,0,0,1,3,0,0,2366,2024-2025,23,it ITA,Udinese,it Serie A,33,FW,83c06f3a
342,Tomáš Suslov,4,1,1,0,0,1,1,2100,2024-2025,22,sk SVK,Hellas Verona,it Serie A,31,MFFW,83fe71b8
343,Danel Sinani,4,3,0,0,1,0,0,1263,2024-2025,27,lu LUX,St. Pauli,de Bundesliga,26,FWMF,96ddfa79
344,Julio Enciso,4,2,1,1,0,0,0,1174,2024-2025,20,py PAR,2 Teams,eng Premier League,25,MFFW,9cfbad36
345,Emanuel Emegha,4,3,0,1,0,0,0,2307,2024-2025,21,nl NED,Strasbourg,fr Ligue 1,27,FW,a0c590b9
346,Marcus Rashford,4,3,0,0,1,0,0,1434,2024-2025,26,eng ENG,2 Teams,eng Premier League,25,FWMF,a1d5bd30
347,Mika Biereth,4,3,0,0,0,1,0,1239,2024-2025,21,dk DEN,Monaco,fr Ligue 1,16,FW,a1d95db3
348,Joe Willock,4,4,0,0,0,0,0,1094,2024-2025,24,eng ENG,Newcastle Utd,eng Premier League,32,MFFW,a3b03921
349,Aitor Ruibal,4,4,0,0,0,0,0,1320,2024-2025,28,es ESP,Betis,es La Liga,29,DFFW,a55d8df5
350,Mitchel Bakker,4,2,1,0,0,1,0,1147,2024-2025,24,nl NED,Lille,fr Ligue 1,24,FWDF,a8567629
351,Jack Harrison,4,1,0,0,1,2,0,2091,2024-2025,27,eng ENG,Everton,eng Premier League,34,FW,aa849a12
352,Yassine Kechta,4,1,0,1,0,2,0,2117,2024-2025,22,ma MAR,Le Havre,fr Ligue 1,31,MFFW,abefc3af
353,Gabriel Strefezza,4,4,0,0,0,0,0,2640,2024-2025,27,br BRA,Como,it Serie A,37,FWMF,ac4a4508
354,Zito Luvumbo,4,4,0,0,0,0,0,1619,2024-2025,22,ao ANG,Cagliari,it Serie A,26,FWMF,b09e0873
355,Yunus Musah,4,4,0,0,0,0,0,1582,2024-2025,21,us USA,Milan,it Serie A,29,MFFW,b51b1b9c
356,Derrick Köhn,4,4,0,0,0,0,0,1356,2024-2025,25,de GER,Werder Bremen,de Bundesliga,27,DFFW,b735b590
357,Moritz Broschinski,4,2,0,1,1,0,0,1403,2024-2025,23,de GER,Bochum,de Bundesliga,33,FWMF,bbd79358
358,Tyler Dibling,4,2,0,1,1,0,0,1884,2024-2025,18,eng ENG,Southampton,eng Premier League,33,FWMF,bdcc89ae
359,Loïc Nego,4,3,0,0,0,0,1,2466,2024-2025,33,hu HUN,Le Havre,fr Ligue 1,31,DFFW,c3b6fa1e
360,Anuar,4,1,0,2,0,1,0,1732,2024-2025,29,ma MAR,Valladolid,es La Liga,26,MFFW,c93231dc
361,Vitor Roque,4,0,0,0,1,3,0,1245,2024-2025,19,br BRA,Betis,es La Liga,22,FW,cb00f1e6
362,Mikel Merino,4,3,0,0,1,0,0,1591,2024-2025,28,es ESP,Arsenal,eng Premier League,28,MFFW,d080ed5e
363,Amin Sarr,4,2,0,0,2,0,0,1927,2024-2025,23,se SWE,Hellas Verona,it Serie A,32,FW,d5326924
364,Johannes Eggestein,4,4,0,0,0,0,0,1872,2024-2025,26,de GER,St. Pauli,de Bundesliga,27,FW,d571df78
365,Kiké,4,3,0,0,0,1,0,2559,2024-2025,34,es ESP,Alavés,es La Liga,35,FW,e897d8ba
366,Alejandro Jiménez,4,3,0,0,1,0,0,1274,2024-2025,19,es ESP,Milan,it Serie A,22,DFFW,faa13947
367,Joshua Zirkzee,3,1,0,0,1,1,0,1411,2024-2025,23,nl NED,Manchester Utd,eng Premier League,32,FWMF,028e70b9
368,Lorenzo Colombo,3,1,0,1,1,0,0,2248,2024-2025,22,it ITA,Empoli,it Serie A,37,FWMF,04df29a5
369,Tanguy Coulibaly,3,1,0,1,1,0,0,1494,2024-2025,23,fr FRA,Montpellier,fr Ligue 1,25,FWMF,05ba9d7c
370,Daniel Mosquera,3,2,0,0,1,0,0,1385,2024-2025,24,co COL,Hellas Verona,it Serie A,35,FW,091b9eb8
371,Antonio Sanabria,3,1,1,0,0,1,0,1327,2024-2025,28,py PAR,Torino,it Serie A,26,FW,0a447501
372,Álvaro Morata,3,2,0,0,1,0,0,1106,2024-2025,31,es ESP,Milan,it Serie A,16,FWMF,129af0db
373,Cristhian Stuani,3,2,0,0,1,0,0,1084,2024-2025,37,uy URU,Girona,es La Liga,32,FW,220c11f1
374,Gerrit Holtmann,3,1,1,0,0,0,1,1146,2024-2025,29,ph PHI,Bochum,de Bundesliga,23,DFFW,2979c05a
375,Leonardo Spinazzola,3,3,0,0,0,0,0,1527,2024-2025,31,it ITA,Napoli,it Serie A,27,DFFW,3626daea
376,Unai Gómez,3,2,0,0,1,0,0,1296,2024-2025,21,es ESP,Athletic Club,es La Liga,32,MFFW,37db6cae
377,Pedro,3,3,0,0,0,0,0,1108,2024-2025,37,es ESP,Lazio,it Serie A,30,FWMF,3ca7254a
378,Frank Magri,3,1,0,1,0,1,0,1526,2024-2025,24,cm CMR,Toulouse,fr Ligue 1,31,FWMF,42fdb11d
379,Myron Boadu,3,1,0,2,0,0,0,1050,2024-2025,23,nl NED,Bochum,de Bundesliga,19,FW,5b479568
380,Patrik Schick,3,1,0,0,1,1,0,1695,2024-2025,28,cz CZE,Leverkusen,de Bundesliga,31,FW,5d4f7d61
381,Carlos Martín,3,1,0,0,2,0,0,1346,2024-2025,22,es ESP,Alavés,es La Liga,26,FWMF,64035864
382,Umar Sadiq,3,0,0,1,1,0,1,1061,2024-2025,27,ng NGA,2 Teams,es La Liga,23,FW,686cbe7d
383,Vitinha,3,3,0,0,0,0,0,1341,2024-2025,24,pt POR,Genoa,it Serie A,25,FWMF,74d4cec6
384,Florian Sotoca,3,3,0,0,0,0,0,1807,2024-2025,33,fr FRA,Lens,fr Ligue 1,31,FWMF,7a42d0df
385,Arnaud Nordin,3,3,0,0,0,0,0,1172,2024-2025,26,fr FRA,Montpellier,fr Ligue 1,16,FW,7b9a9e25
386,Samuel Essende,3,2,0,1,0,0,0,1652,2024-2025,26,cd COD,Augsburg,de Bundesliga,30,FW,821550ce
387,Junior Adamu,3,2,0,0,1,0,0,1558,2024-2025,23,at AUT,Freiburg,de Bundesliga,25,FW,82e12fe7
388,Philipp Hofmann,3,2,0,0,1,0,0,2291,2024-2025,31,de GER,Bochum,de Bundesliga,32,FW,877bc844
389,Robert Lewandowski,3,2,0,0,1,0,0,2684,2024-2025,35,pl POL,Barcelona,es La Liga,34,FW,8d78e732
390,John Yeboah,3,2,0,0,0,1,0,1233,2024-2025,24,ec ECU,Venezia,it Serie A,33,FWMF,8dfdc6c3
391,Timothy Weah,3,2,0,0,1,0,0,1648,2024-2025,24,us USA,Juventus,it Serie A,30,DFFW,8eec784d
392,Christopher Operi,3,1,1,0,1,0,0,1169,2024-2025,27,ci CIV,Le Havre,fr Ligue 1,13,DFFW,914bb955
393,Mario Götze,3,3,0,0,0,0,0,1555,2024-2025,32,de GER,Eint Frankfurt,de Bundesliga,24,MFFW,9efa1d25
394,Teun Koopmeiners,3,2,1,0,0,0,0,2000,2024-2025,26,nl NED,Juventus,it Serie A,28,MFFW,a26fb8aa
395,Eddie Nketiah,3,2,0,0,0,1,0,1041,2024-2025,25,eng ENG,2 Teams,eng Premier League,29,FW,a53649b7
396,Kamaldeen Sulemana,3,1,0,1,1,0,0,1414,2024-2025,22,gh GHA,Southampton,eng Premier League,26,FWMF,a62f8bf1
397,Victor Boniface,3,1,0,2,0,0,0,1019,2024-2025,23,ng NGA,Leverkusen,de Bundesliga,19,FW,b146275b
398,Matteo Cancellieri,3,1,0,2,0,0,0,1437,2024-2025,22,it ITA,Parma,it Serie A,27,FWMF,b6a1cdf9
399,Harry Wilson,3,2,0,0,0,1,0,1173,2024-2025,27,wls WAL,Fulham,eng Premier League,25,FWMF,c6dc9ecd
400,Roberto Férnandez,3,0,0,0,0,2,1,1510,2024-2025,22,es ESP,Espanyol,es La Liga,19,FW,c981fc98
401,Peque,3,3,0,0,0,0,0,1146,2024-2025,21,es ESP,Sevilla,es La Liga,26,MFFW,cb971b4f
402,Elif Elmas,3,1,0,1,1,0,0,1027,2024-2025,24,mk MKD,Torino,it Serie A,13,FWMF,cf007308
403,Cyle Larin,3,1,0,0,1,1,0,1783,2024-2025,29,ca CAN,Mallorca,es La Liga,32,FW,e7af9060
404,Joel Pohjanpalo,3,1,0,0,1,1,0,1616,2024-2025,29,fi FIN,Venezia,it Serie A,20,FW,ea003d07
405,Dany Mota,3,3,0,0,0,0,0,2118,2024-2025,26,pt POR,Monza,it Serie A,31,FWMF,efc9e31f
406,Abdallah Sima,3,2,0,0,0,1,0,1250,2024-2025,23,sn SEN,Brest,fr Ligue 1,27,FWMF,fdbde523
407,Jeremie Boga,3,2,0,0,1,0,0,1063,2024-2025,27,ci CIV,Nice,fr Ligue 1,21,MFFW,fe012aca
408,Kai Havertz,3,2,0,0,1,0,0,1878,2024-2025,25,de GER,Arsenal,eng Premier League,23,FWMF,fed7cb61
409,Casper Tengstedt,3,2,0,0,1,0,0,1535,2024-2025,24,dk DEN,Hellas Verona,it Serie A,25,FW,ff2fb007
410,Pontus Almqvist,2,2,0,0,0,0,0,1120,2024-2025,25,se SWE,Parma,it Serie A,29,FWMF,0917188a
411,Takuma Asano,2,2,0,0,0,0,0,1067,2024-2025,29,jp JPN,Mallorca,es La Liga,21,FWMF,13ddc856
412,Ernest Nuamah,2,2,0,0,0,0,0,1062,2024-2025,20,gh GHA,Lyon,fr Ligue 1,23,FWMF,234a703c
413,Wahbi Khazri,2,1,0,1,0,0,0,1127,2024-2025,33,tn TUN,Montpellier,fr Ligue 1,30,FWMF,2677a1de
414,Milan Đurić,2,1,0,0,1,0,0,1545,2024-2025,34,ba BIH,2 Teams,it Serie A,27,FW,405f6586
415,Dani de Wit,2,0,0,0,1,1,0,1158,2024-2025,26,nl NED,Bochum,de Bundesliga,28,MFFW,48a2b92a
416,Angelo Fulgini,2,2,0,0,0,0,0,1055,2024-2025,27,fr FRA,Lens,fr Ligue 1,23,MFFW,4b96c347
417,Mostafa Mohamed,2,0,0,1,0,1,0,1261,2024-2025,26,eg EGY,Nantes,fr Ligue 1,30,FW,595e6f3e
418,Alex Sola,2,2,0,0,0,0,0,1041,2024-2025,25,es ESP,Getafe,es La Liga,19,MFFW,5fa714d5
419,Pep Chavarría,2,2,0,0,0,0,0,2589,2024-2025,26,es ESP,Rayo Vallecano,es La Liga,34,DFFW,63c5e56b
420,Borja Mayoral,2,1,0,0,1,0,0,1117,2024-2025,27,es ESP,Getafe,es La Liga,24,FW,64e8ed6d
421,Antoine Hainaut,2,2,0,0,0,0,0,1211,2024-2025,22,fr FRA,Parma,it Serie A,25,DFFW,6503f220
422,Anastasios Douvikas,2,2,0,0,0,0,0,1289,2024-2025,24,gr GRE,2 Teams,2 Comps,33,FW,853ca71c
423,Yann Karamoh,2,1,0,0,1,0,0,1056,2024-2025,26,fr FRA,Torino,it Serie A,29,MFFW,8b66d9cc
424,Keinan Davis,2,0,0,1,1,0,0,1072,2024-2025,26,eng ENG,Udinese,it Serie A,23,FW,9deaf2c8
425,Roberto Navarro,2,2,0,0,0,0,0,1293,2024-2025,22,es ESP,Mallorca,es La Liga,23,MFFW,c997b942
426,Morten Thorsby,2,2,0,0,0,0,0,1911,2024-2025,28,no NOR,Genoa,it Serie A,30,MFFW,d1b49282
427,Arthur Atta,2,0,0,0,2,0,0,1259,2024-2025,21,fr FRA,Udinese,it Serie A,27,MFFW,d3ddf88b
428,Jordan Ayew,2,1,0,0,1,0,0,1674,2024-2025,32,gh GHA,2 Teams,eng Premier League,31,FWMF,da052c14
429,Adri Embarba,2,2,0,0,0,0,0,1624,2024-2025,32,es ESP,Rayo Vallecano,es La Liga,35,FWMF,db8f0eba
430,Santiago Pierotti,2,2,0,0,0,0,0,1952,2024-2025,23,ar ARG,Lecce,it Serie A,36,FW,ec315772
431,Marvin,2,2,0,0,0,0,0,1042,2024-2025,24,es ESP,Las Palmas,es La Liga,23,DFFW,efaefda0
432,Ramón Terrats,2,2,0,0,0,0,0,1361,2024-2025,23,es ESP,2 Teams,es La Liga,26,MFFW,f36016a5
433,Carlos Soler,2,2,0,0,0,0,0,1419,2024-2025,27,es ESP,West Ham,eng Premier League,31,MFFW,fed17f5a
434,Marshall Munetsi,1,1,0,0,0,0,0,1080,2024-2025,28,zw ZIM,Wolves,eng Premier League,14,MFFW,2acf0cd7
435,Aleksandr Golovin,1,1,0,0,0,0,0,1159,2024-2025,28,ru RUS,Monaco,fr Ligue 1,19,MFFW,3708e9fa
436,Jesper Lindstrøm,1,1,0,0,0,0,0,1251,2024-2025,24,dk DEN,Everton,eng Premier League,25,FW,37dc1a48
437,Alessandro Zanoli,1,1,0,0,0,0,0,1727,2024-2025,23,it ITA,Genoa,it Serie A,31,FWDF,3b12b11f
438,Rasmus Højlund,1,0,0,0,0,1,0,2020,2024-2025,21,dk DEN,Manchester Utd,eng Premier League,32,FW,491a433d
439,André Ayew,1,1,0,0,0,0,0,1463,2024-2025,34,gh GHA,Le Havre,fr Ligue 1,27,FW,5dbefa9d
440,Gorka Guruzeta,1,1,0,0,0,0,0,1856,2024-2025,27,es ESP,Athletic Club,es La Liga,36,FW,6b5ea2f4
441,Abel Ruiz,1,0,0,0,1,0,0,1362,2024-2025,24,es ESP,Girona,es La Liga,23,FW,6cbf8d0d
442,Bertuğ Yıldırım,1,0,0,0,0,1,0,1093,2024-2025,22,tr TUR,Getafe,es La Liga,22,FW,7410d325
443,Adrià Altimira,1,1,0,0,0,0,0,1638,2024-2025,23,es ESP,Leganés,es La Liga,22,DFFW,757a3431
444,Esteban Lepaul,1,1,0,0,0,0,0,1638,2024-2025,24,fr FRA,Angers,fr Ligue 1,28,FW,85ce1949
