Rk,Player,Cmp_Total,Att_Total,Cmp%_Total,Key_Passes,Passes_into_Final_Third,Passes_into_Penalty_Area,Crosses_into_Penalty_Area,Progressive_Passes,Total_Distance,Progressive_Distance,Cmp_Short,Att_Short,Cmp%_Short,Cmp_Medium,Att_Medium,Cmp%_Medium,Cmp_Long,Att_Long,Cmp%_Long,Total_Minutes,Season,Age,Nation,Team,Comp,MP,Position,Player_ID
50,Nicolás Domínguez,821,947,0.867,13,81,11,1,83,11995,3387,463,508,0.911,279,312,0.894,34,55,0.618,1981,2024-2025,26,ar ARG,Nott'ham Forest,eng Premier League,34,MFFW,20b3a502
51,Antoine Semenyo,821,1119,0.7340000000000001,46,49,45,8,109,11674,2915,501,586,0.855,252,334,0.754,37,97,0.381,3211,2024-2025,24,gh GHA,Bournemouth,eng Premier League,37,FW,efd2ec23
52,Khvicha Kvaratskhelia,820,1008,0.813,53,63,43,8,100,12570,3249,481,526,0.914,255,304,0.8390000000000001,60,109,0.55,2112,2024-2025,23,ge GEO,2 Teams,2 Comps,31,FWMF,dea88efd
53,Habib Diarra,812,978,0.83,27,64,27,12,116,13413,2876,381,431,0.884,371,427,0.8690000000000001,41,67,0.612,2360,2024-2025,20,sn SEN,Strasbourg,fr Ligue 1,30,MFFW,6d0fe035
54,Junya Ito,811,1214,0.6679999999999999,82,69,67,28,133,12385,4724,443,532,0.833,247,375,0.659,75,191,0.3929999999999999,2703,2024-2025,31,jp JPN,Reims,fr Ligue 1,33,FWMF,dbd3a428
55,Matheus Cunha,811,1133,0.716,56,92,58,10,144,12850,4384,460,539,0.853,228,300,0.76,87,197,0.442,2606,2024-2025,25,br BRA,Wolves,eng Premier League,33,MFFW,dc62b55d
56,Chris Führich,807,1003,0.805,32,39,51,13,95,11366,3268,500,554,0.903,238,302,0.7879999999999999,41,80,0.513,1997,2024-2025,26,de GER,Stuttgart,de Bundesliga,33,MFFW,0cf778df
57,Domingos André Ribeiro Almeida,798,947,0.843,43,96,24,5,142,13067,3738,415,444,0.935,277,318,0.871,77,123,0.626,1997,2024-2025,24,pt POR,Valencia,es La Liga,34,MFFW,e6697917
58,Bilal El Khannouss,798,1063,0.7509999999999999,42,89,31,6,128,14413,4123,372,434,0.857,306,381,0.8029999999999999,101,170,0.594,2201,2024-2025,20,ma MAR,Leicester City,eng Premier League,32,MFFW,f7042636
59,Amad Diallo,795,949,0.838,49,27,35,7,60,11030,2193,493,542,0.91,227,264,0.86,40,72,0.556,1907,2024-2025,22,ci CIV,Manchester Utd,eng Premier League,26,MFFW,9dc96f10
60,Phil Foden,791,941,0.841,43,41,39,6,103,12385,2615,469,516,0.909,242,271,0.893,67,112,0.598,1787,2024-2025,24,eng ENG,Manchester City,eng Premier League,28,MFFW,ed1e53f3
61,Isaac Palazón Camacho,783,1015,0.7709999999999999,48,77,19,4,117,13214,3942,407,461,0.883,271,327,0.8290000000000001,86,163,0.528,2176,2024-2025,29,es ESP,Rayo Vallecano,es La Liga,35,MFFW,49dbab27
62,Ritsu Doan,783,1090,0.718,27,70,48,15,130,12072,4302,415,509,0.815,281,373,0.753,54,110,0.491,2877,2024-2025,26,jp JPN,Freiburg,de Bundesliga,34,FWMF,d01bbb6f
63,Dodi Lukebakio,780,1052,0.741,54,50,24,6,93,12204,2657,464,529,0.877,229,307,0.746,68,151,0.45,3103,2024-2025,26,be BEL,Sevilla,es La Liga,38,FW,0c61c77c
64,Eberechi Eze,777,1047,0.742,58,49,39,4,97,13221,3539,380,449,0.846,299,365,0.8190000000000001,77,168,0.4579999999999999,2605,2024-2025,26,eng ENG,Crystal Palace,eng Premier League,34,MFFW,ae4fc6a4
65,Giovani Lo Celso,766,970,0.79,43,89,41,1,132,12440,4308,383,434,0.882,265,325,0.815,74,135,0.5479999999999999,1463,2024-2025,28,ar ARG,Betis,es La Liga,25,MFFW,d7553721
66,Arda Güler,763,886,0.861,40,82,31,5,93,12391,3189,414,441,0.939,265,299,0.8859999999999999,67,112,0.598,1261,2024-2025,19,tr TUR,Real Madrid,es La Liga,28,MFFW,3741ca58
67,Teun Koopmeiners,761,953,0.799,38,63,18,3,89,12045,3133,395,437,0.904,285,328,0.8690000000000001,57,136,0.419,2000,2024-2025,26,nl NED,Juventus,it Serie A,28,MFFW,a26fb8aa
68,Charles De Ketelaere,754,995,0.758,39,81,53,9,140,11207,3089,436,514,0.848,249,326,0.764,46,77,0.597,2089,2024-2025,23,be BEL,Atalanta,it Serie A,36,MFFW,2ef7c612
