Player,Season,Team,Comp,xG,npxG,xAG,xG+xAG,xA,npxG+xAG,G-xG,np:G-xG,A-xAG,npxG/Sh,Position,Player_ID
Pablo Fornals,2024-2025,Betis,es La Liga,1.8,1.8,3.3,5.1,3.3,5.1,0.1999999999999999,0.1999999999999999,-3.3,0.08,MFFW,82927de4
Carlos Soler,2024-2025,West Ham,eng Premier League,1.8,1.8,1.4,3.2,1.4,3.2,-0.8,-0.8,-0.3999999999999999,0.07,MFFW,fed17f5a
Anass Zaroury,2024-2025,Lens,fr Ligue 1,1.7,1.7,2.9,4.6,2.9,4.6,0.3,0.3,-0.8999999999999999,0.05,FWMF,07d65234
Leon Bailey,2024-2025,Aston Villa,eng Premier League,1.7,1.7,1.5,3.2,1.5,3.2,-0.7,-0.7,0.5,0.06,FWMF,3a233281
Alieu Fadera,2024-2025,Como,it Serie A,1.7,1.7,4.0,5.7,4.0,5.7,-0.7,-0.7,-1.0,0.06,FWDF,53210e42
Danel Sinani,2024-2025,St. Pauli,de Bundesliga,1.7,1.7,3.0,4.7,3.0,4.7,0.3,0.3,-1.0,0.05,FWMF,96ddfa79
Anuar,2024-2025,Valladolid,es La Liga,1.7,1.7,1.2,2.9,1.2,2.9,0.3,0.3,-1.2,0.15,MFFW,c93231dc
Jamie Leweling,2024-2025,Stuttgart,de Bundesliga,1.6,1.6,3.8,5.4,3.8,5.4,0.3999999999999999,0.3999999999999999,-1.7999999999999998,0.05,MFFW,13fe7b69
Jacob Ramsey,2024-2025,Aston Villa,eng Premier League,1.6,1.6,2.3,3.9,2.3,3.9,-0.6000000000000001,-0.6000000000000001,0.7000000000000002,0.08,FWMF,1544f145
Ander Barrenetxea,2024-2025,Real Sociedad,es La Liga,1.6,1.6,1.9,3.5,1.9,3.5,-0.6000000000000001,-0.6000000000000001,1.1,0.07,MFFW,200e89e1
Carles Aleñá,2024-2025,2 Teams,es La Liga,1.6,1.6,1.4,3.0,1.4,3.0,-1.6,-1.6,0.6000000000000001,0.08,MFFW,6c811eb7
Vitinha,2024-2025,Genoa,it Serie A,1.6,1.6,3.3,4.9,3.3,4.9,0.3999999999999999,0.3999999999999999,-0.2999999999999998,0.05,FWMF,74d4cec6
Tomáš Suslov,2024-2025,Hellas Verona,it Serie A,1.6,1.6,1.9,3.5,1.9,3.5,-1.6,-1.6,-0.8999999999999999,0.05,MFFW,83fe71b8
Joe Willock,2024-2025,Newcastle Utd,eng Premier League,1.6,1.6,2.1,3.7,2.1,3.7,-1.6,-1.6,-0.1,0.09,MFFW,a3b03921
Jean-Ricner Bellegarde,2024-2025,Wolves,eng Premier League,1.5,1.5,3.8,5.3,3.8,5.3,0.5,0.5,3.2,0.07,MFFW,10f0fdd3
Nicolás Domínguez,2024-2025,Nott'ham Forest,eng Premier League,1.5,1.5,1.3,2.8,1.3,2.8,-1.5,-1.5,-0.3,0.07,MFFW,20b3a502
Ridle Baku,2024-2025,Wolfsburg,de Bundesliga,1.5,1.5,1.3,2.8,1.3,2.8,0.5,0.5,-0.3,0.08,FWMF,442b56fa
Sorba Thomas,2024-2025,Nantes,fr Ligue 1,1.5,1.5,3.7,5.2,3.7,5.2,-0.5,-0.5,-0.7000000000000002,0.17,FWMF,8725a42e
Kamaldeen Sulemana,2024-2025,Southampton,eng Premier League,1.5,1.5,1.0,2.5,1.0,2.5,-0.5,-0.5,0.0,0.05,FWMF,a62f8bf1
Elif Elmas,2024-2025,Torino,it Serie A,1.4,1.4,0.4,1.7999999999999998,0.4,1.7999999999999998,2.6,2.6,-0.4,0.07,FWMF,cf007308
