Rk,Player,Goals,Total_Minutes,Season,Age,Nation,Team,Comp,MP,90s,Starts,Subs,unSub,Assists,Goals_Assists,Non_Penalty_Goals,Penalties_Made,Penalties_Attempted,Penalties_Missed,Position,Player_ID
178,Eliesse Ben Seghir,6,1750,2024-2025,19,ma MAR,Monaco,fr Ligue 1,33,19.4,19,14,1,3,9,4,2,2,0,MFFW,3bd65247
179,Joshua King,6,1673,2024-2025,32,no NOR,Toulouse,fr Ligue 1,28,18.6,21,7,0,3,9,6,0,0,0,FWMF,43458538
180,Steven Skrzybski,6,1323,2024-2025,31,de GER,Holstein Kiel,de Bundesliga,24,14.7,15,9,0,3,9,5,1,1,0,MFFW,58ce23e5
181,Irvin Cardona,6,1669,2024-2025,26,fr FRA,2 Teams,2 Comps,31,18.5,18,13,2,4,10,6,0,1,1,FWMF,5e080f73
182,Ludovic Blas,6,2293,2024-2025,26,fr FRA,Rennes,fr Ligue 1,29,25.5,26,3,0,8,14,6,0,0,0,MFFW,6191093d
183,Ange-Yoan Bonny,6,2529,2024-2025,20,fr FRA,Parma,it Serie A,37,28.1,30,7,0,4,10,4,2,3,1,FW,64629ba4
184,Iñaki Williams,6,2652,2024-2025,30,gh GHA,Athletic Club,es La Liga,35,29.5,29,6,0,8,14,6,0,0,0,FW,6a99e0b1
185,Giacomo Raspadori,6,1103,2024-2025,24,it ITA,Napoli,it Serie A,26,12.3,11,15,12,1,7,6,0,0,0,FWMF,6e058f06
186,Jens Odgaard,6,1952,2024-2025,25,dk DEN,Bologna,it Serie A,29,21.7,24,5,3,1,7,6,0,0,0,MFFW,75374ee7
187,Himad Abdelli,6,2842,2024-2025,24,dz ALG,Angers,fr Ligue 1,32,31.6,32,0,0,1,7,3,3,4,1,MFFW,7978cbf0
188,Morgan Guilavogui,6,1807,2024-2025,26,gn GUI,St. Pauli,de Bundesliga,25,20.1,21,4,0,2,8,6,0,0,0,FWMF,79b51257
189,Alejandro Garnacho,6,2199,2024-2025,20,ar ARG,Manchester Utd,eng Premier League,36,24.4,23,13,0,2,8,6,0,0,0,MFFW,7aa8adfe
190,Daniel Maldini,6,1564,2024-2025,22,it ITA,2 Teams,it Serie A,30,17.4,18,12,2,0,6,6,0,0,0,MFFW,801831fe
191,Lee Kang-in,6,1663,2024-2025,23,kr KOR,Paris S-G,fr Ligue 1,30,18.5,19,11,2,6,12,6,0,0,0,FWMF,8455ad90
192,Marco Grüll,6,1181,2024-2025,26,at AUT,Werder Bremen,de Bundesliga,30,13.1,13,17,1,1,7,6,0,0,0,FWMF,8babb812
193,Rodrygo,6,1928,2024-2025,23,br BRA,Real Madrid,es La Liga,30,21.4,22,8,1,5,11,6,0,0,0,FWMF,8f5e92a6
194,Désiré Doué,6,1730,2024-2025,19,fr FRA,Paris S-G,fr Ligue 1,31,19.2,18,13,1,6,12,6,0,0,0,FWMF,9e7483ff
195,Marcus Rashford,6,1422,2024-2025,26,eng ENG,2 Teams,eng Premier League,25,15.8,16,9,1,3,9,5,1,1,0,FWMF,a1d5bd30
196,M'Bala Nzola,6,1460,2024-2025,27,ao ANG,Lens,fr Ligue 1,21,16.2,16,5,1,1,7,6,0,0,0,FW,a4948e67
197,Gabriel Strefezza,6,2619,2024-2025,27,br BRA,Como,it Serie A,37,29.1,32,5,0,4,10,6,0,0,0,FWMF,ac4a4508
198,Tiago Tomás,6,1884,2024-2025,22,pt POR,Wolfsburg,de Bundesliga,32,20.9,23,9,1,1,7,6,0,0,0,FWMF,b492126a
199,Albert Guðmundsson,6,1273,2024-2025,27,is ISL,Fiorentina,it Serie A,24,14.1,16,8,3,1,7,4,2,2,0,FWMF,b79858d5
200,Bukayo Saka,6,1729,2024-2025,22,eng ENG,Arsenal,eng Premier League,25,19.2,20,5,0,10,16,5,1,1,0,FWMF,bc7dc64d
201,Fermin López,6,1252,2024-2025,21,es ESP,Barcelona,es La Liga,28,13.9,12,16,3,5,11,6,0,0,0,MFFW,c1fe5f0b
202,Alberto Moleiro,6,2714,2024-2025,20,es ESP,Las Palmas,es La Liga,35,30.2,32,3,1,1,7,6,0,0,0,FWMF,c2c8897d
203,Yankuba Minteh,6,1838,2024-2025,20,gm GAM,Brighton,eng Premier League,32,20.4,20,12,1,4,10,6,0,0,0,FWMF,c3cf087d
204,Harry Wilson,6,1162,2024-2025,27,wls WAL,Fulham,eng Premier League,25,12.9,12,13,3,1,7,6,0,0,0,FWMF,c6dc9ecd
205,Roberto Férnandez,6,1497,2024-2025,22,es ESP,Espanyol,es La Liga,19,16.6,18,1,0,0,6,6,0,0,0,FW,c981fc98
206,Lucas Höler,6,1867,2024-2025,30,de GER,Freiburg,de Bundesliga,31,20.7,21,10,2,4,10,6,0,1,1,FWMF,ca618d23
207,Sebastian Nanasi,6,2107,2024-2025,22,se SWE,Strasbourg,fr Ligue 1,31,23.4,26,5,1,4,10,6,0,0,0,MFFW,ce747d2a
208,Álex Berenguer,6,2339,2024-2025,29,es ESP,Athletic Club,es La Liga,36,26.0,28,8,1,7,13,6,0,1,1,FWMF,dc1c2fce
209,Paulo Dybala,6,1417,2024-2025,30,ar ARG,Roma,it Serie A,24,15.7,16,8,7,3,9,3,3,3,0,FWMF,e0921a4f
210,Joel Pohjanpalo,6,1603,2024-2025,29,fi FIN,Venezia,it Serie A,20,17.8,19,1,0,0,6,3,3,4,1,FW,ea003d07
211,Enzo Millot,6,1843,2024-2025,22,fr FRA,Stuttgart,de Bundesliga,29,20.5,22,7,2,5,11,6,0,1,1,MFFW,f76022e7
212,Takumi Minamino,6,2231,2024-2025,29,jp JPN,Monaco,fr Ligue 1,31,24.8,27,4,0,3,9,6,0,0,0,MFFW,f833a830
213,Casper Tengstedt,6,1517,2024-2025,24,dk DEN,Hellas Verona,it Serie A,25,16.9,20,5,4,1,7,5,1,1,0,FW,ff2fb007
214,Kingsley Coman,5,1282,2024-2025,28,fr FRA,Bayern Munich,de Bundesliga,28,14.2,14,14,0,4,9,5,0,0,0,FW,042e8a49
215,Tom Bischof,5,2559,2024-2025,19,de GER,Hoffenheim,de Bundesliga,31,28.4,30,1,0,2,7,5,0,0,0,MFFW,07d3bfec
216,Daniel Mosquera,5,1375,2024-2025,24,co COL,Hellas Verona,it Serie A,35,15.3,12,23,2,1,6,5,0,0,0,FW,091b9eb8
217,Álvaro Morata,5,1099,2024-2025,31,es ESP,Milan,it Serie A,16,12.2,13,3,0,0,5,5,0,0,0,FWMF,129af0db
218,Callum Hudson-Odoi,5,2194,2024-2025,23,eng ENG,Nott'ham Forest,eng Premier League,31,24.4,25,6,1,2,7,5,0,0,0,FWMF,15f3ec41
219,Takefusa Kubo,5,2372,2024-2025,23,jp JPN,Real Sociedad,es La Liga,36,26.4,27,9,1,0,5,5,0,0,0,MFFW,16aa3654
220,Alfon,5,1371,2024-2025,25,es ESP,Celta Vigo,es La Liga,26,15.2,14,12,9,2,7,5,0,0,0,FWMF,1c772b46
221,Issa Soumaré,5,1902,2024-2025,23,sn SEN,Le Havre,fr Ligue 1,29,21.1,21,8,1,4,9,5,0,0,0,FWMF,1d8aa290
222,Mathias Honsak,5,1181,2024-2025,27,at AUT,Heidenheim,de Bundesliga,22,13.1,12,10,0,1,6,5,0,0,0,FWDF,3dbdbb6a
223,Milan Đurić,5,1538,2024-2025,34,ba BIH,2 Teams,it Serie A,27,17.1,16,11,3,1,6,5,0,0,0,FW,405f6586
224,Frank Magri,5,1516,2024-2025,24,cm CMR,Toulouse,fr Ligue 1,31,16.8,17,14,0,1,6,5,0,0,0,FWMF,42fdb11d
225,Facundo Buonanotte,5,1523,2024-2025,19,ar ARG,Leicester City,eng Premier League,31,16.9,14,17,3,2,7,5,0,0,0,FWMF,468a7a91
226,Lucas Beltrán,5,1953,2024-2025,23,ar ARG,Fiorentina,it Serie A,33,21.7,21,12,4,4,9,3,2,3,1,FWMF,482d2bc3
227,Darwin Núñez,5,1133,2024-2025,25,uy URU,Liverpool,eng Premier League,30,12.6,8,22,5,2,7,5,0,0,0,FW,4d77b365
228,Mostafa Mohamed,5,1252,2024-2025,26,eg EGY,Nantes,fr Ligue 1,30,13.9,11,19,0,0,5,5,0,0,0,FW,595e6f3e
229,Rubén García,5,2413,2024-2025,31,es ESP,Osasuna,es La Liga,36,26.8,30,6,0,5,10,5,0,0,0,FWMF,5c96b017
230,Lassine Sinayoko,5,2299,2024-2025,24,ml MLI,Auxerre,fr Ligue 1,34,25.5,25,9,0,8,13,4,1,1,0,FWMF,5e5249c8
231,Borja Mayoral,5,1114,2024-2025,27,es ESP,Getafe,es La Liga,24,12.4,7,17,1,1,6,4,1,1,0,FW,64e8ed6d
232,Umar Sadiq,5,1052,2024-2025,27,ng NGA,2 Teams,es La Liga,23,11.7,11,12,13,0,5,5,0,0,0,FW,686cbe7d
233,Yann Gboho,5,2333,2024-2025,23,fr FRA,Toulouse,fr Ligue 1,31,25.9,27,4,0,4,9,5,0,0,0,MFFW,6be41a31
234,Cucho,5,1139,2024-2025,25,co COL,Betis,es La Liga,15,12.7,14,1,1,1,6,5,0,0,0,FW,71b47ab9
235,Malick Fofana,5,1589,2024-2025,19,be BEL,Lyon,fr Ligue 1,29,17.7,16,13,0,4,9,5,0,0,0,FW,8236f673
236,Anastasios Douvikas,5,1280,2024-2025,24,gr GRE,2 Teams,2 Comps,33,14.2,12,21,3,3,8,5,0,0,0,FW,853ca71c
237,Mahdi Camara,5,2659,2024-2025,26,fr FRA,Brest,fr Ligue 1,34,29.5,31,3,0,3,8,5,0,0,0,MFFW,8577e60a
238,Timothy Weah,5,1638,2024-2025,24,us USA,Juventus,it Serie A,30,18.2,18,12,2,2,7,5,0,0,0,DFFW,8eec784d
239,Carlos Vicente,5,3092,2024-2025,25,es ESP,Alavés,es La Liga,37,34.4,35,2,1,5,10,4,1,1,0,FWMF,90df343e
240,Antony,5,1362,2024-2025,24,br BRA,Betis,es La Liga,17,15.1,15,2,0,2,7,5,0,0,0,FW,99127249
241,Nikola Vlašić,5,2117,2024-2025,26,hr CRO,Torino,it Serie A,30,23.5,23,7,1,4,9,3,2,2,0,MFFW,aa8e289e
242,Nico Williams,5,1996,2024-2025,22,es ESP,Athletic Club,es La Liga,29,22.2,22,7,0,5,10,5,0,0,0,FW,afdc14d7
243,Maghnes Akliouche,5,2406,2024-2025,22,fr FRA,Monaco,fr Ligue 1,32,26.7,27,5,0,10,15,4,1,1,0,FWMF,b625b241
244,Mohammed Kudus,5,2590,2024-2025,23,gh GHA,West Ham,eng Premier League,32,28.8,31,1,0,3,8,5,0,0,0,FWMF,b62878a5
245,Georginio Rutter,5,1656,2024-2025,22,fr FRA,Brighton,eng Premier League,28,18.4,19,9,0,3,8,5,0,0,0,MFFW,c64c01fc
246,Juan Cruz,5,2257,2024-2025,24,es ESP,Leganés,es La Liga,34,25.1,26,8,4,4,9,5,0,0,0,FWMF,cc2dd8a5
247,Jordan Ayew,5,1659,2024-2025,32,gh GHA,2 Teams,eng Premier League,31,18.4,19,12,6,0,5,4,1,1,0,FWMF,da052c14
248,Hákon Arnar Haraldsson,5,1755,2024-2025,21,is ISL,Lille,fr Ligue 1,25,19.5,21,4,1,3,8,5,0,0,0,MFFW,e2ae54db
249,Mamadou Sylla,5,1583,2024-2025,30,sn SEN,Valladolid,es La Liga,29,17.6,17,12,6,1,6,1,4,4,0,FWMF,e5ec95f8
250,Luis Rioja,5,2854,2024-2025,30,es ESP,2 Teams,es La Liga,37,31.7,33,4,0,3,8,3,2,2,0,FW,eb3dd471
251,Dany Mota,5,2104,2024-2025,26,pt POR,Monza,it Serie A,31,23.4,24,7,0,2,7,5,0,0,0,FWMF,efc9e31f
252,Robin Hack,4,2172,2024-2025,25,de GER,Gladbach,de Bundesliga,33,24.1,27,6,1,7,11,4,0,0,0,FWMF,0174ba21
253,Matias Fernandez-Pardo,4,1065,2024-2025,19,be BEL,Lille,fr Ligue 1,22,11.8,12,10,3,2,6,4,0,0,0,FWMF,0cdb6a2a
254,Williot Swedberg,4,1348,2024-2025,20,se SWE,Celta Vigo,es La Liga,32,15.0,15,17,1,5,9,4,0,0,0,FWMF,184fe4b2
255,Dennis Man,4,1995,2024-2025,25,ro ROU,Parma,it Serie A,33,22.2,23,10,2,4,8,4,0,0,0,FWMF,2079b3cc
256,Stephy Mavididi,4,1615,2024-2025,26,eng ENG,Leicester City,eng Premier League,30,17.9,16,14,3,1,5,4,0,0,0,FW,30144daa
257,Bernardo Silva,4,2670,2024-2025,29,pt POR,Manchester City,eng Premier League,33,29.7,29,4,5,4,8,4,0,0,0,MFFW,3eb22ec9
258,Brahim Díaz,4,1385,2024-2025,24,ma MAR,Real Madrid,es La Liga,31,15.4,16,15,0,2,6,4,0,0,0,FWMF,407feb71
259,Oumar Diakité,4,1628,2024-2025,20,ci CIV,Reims,fr Ligue 1,26,18.1,20,6,3,1,5,4,0,1,1,FW,44435c8f
260,Josué Casimir,4,1997,2024-2025,22,fr FRA,Le Havre,fr Ligue 1,27,22.2,23,4,0,4,8,4,0,0,0,FWMF,481f76cf
261,Rasmus Højlund,4,2004,2024-2025,21,dk DEN,Manchester Utd,eng Premier League,32,22.3,23,9,2,0,4,4,0,0,0,FW,491a433d
262,Isaac Palazón Camacho,4,2162,2024-2025,29,es ESP,Rayo Vallecano,es La Liga,35,24.0,25,10,0,4,8,4,0,0,0,MFFW,49dbab27
263,Neal Maupay,4,1042,2024-2025,27,fr FRA,2 Teams,2 Comps,22,11.6,13,9,11,4,8,4,0,0,0,FWMF,4bcf39f6
264,Yeremi Pino,4,1934,2024-2025,21,es ESP,Villarreal,es La Liga,34,21.5,25,9,1,7,11,4,0,0,0,MFFW,540ec57b
265,Gustav Isaksen,4,2210,2024-2025,23,dk DEN,Lazio,it Serie A,37,24.6,29,8,0,2,6,4,0,0,0,FW,5715bb71
266,Eldor Shomurodov,4,1097,2024-2025,29,uz UZB,Roma,it Serie A,27,12.2,11,16,10,4,8,4,0,0,0,FWMF,57469b2d
267,André Ayew,4,1453,2024-2025,34,gh GHA,Le Havre,fr Ligue 1,27,16.1,15,12,0,1,5,4,0,0,0,FW,5dbefa9d
268,Adrian Beck,4,1598,2024-2025,27,de GER,Heidenheim,de Bundesliga,32,17.8,18,14,1,1,5,4,0,0,0,MFFW,616c09f5
269,Abel Ruiz,4,1346,2024-2025,24,es ESP,Girona,es La Liga,23,15.0,17,6,4,0,4,3,1,2,1,FW,6cbf8d0d
270,Habib Diarra,4,2352,2024-2025,20,sn SEN,Strasbourg,fr Ligue 1,30,26.1,27,3,0,5,9,2,2,2,0,MFFW,6d0fe035
271,Pablo Durán,4,1394,2024-2025,23,es ESP,Celta Vigo,es La Liga,27,15.5,15,12,10,4,8,4,0,0,0,FWMF,6db116ec
272,Dani Rodríguez,4,2162,2024-2025,36,es ESP,Mallorca,es La Liga,37,24.0,26,11,0,7,11,4,0,0,0,MFFW,70f8e0bd
273,Arnaud Nordin,4,1166,2024-2025,26,fr FRA,Montpellier,fr Ligue 1,16,13.0,14,2,0,1,5,3,1,2,1,FW,7b9a9e25
274,Pedro Neto,4,2269,2024-2025,24,pt POR,Chelsea,eng Premier League,35,25.2,24,11,1,6,10,4,0,0,0,FW,7ba2eaa9
275,Christantus Uche,4,2486,2024-2025,21,ng NGA,Getafe,es La Liga,33,27.6,30,3,0,6,10,4,0,0,0,FWMF,87941696
276,Félix Lemaréchal,4,1779,2024-2025,20,fr FRA,Strasbourg,fr Ligue 1,27,19.8,20,7,5,3,7,4,0,0,0,MFFW,8ca9415f
277,Álvaro García,4,2559,2024-2025,31,es ESP,Rayo Vallecano,es La Liga,36,28.4,28,8,0,5,9,4,0,0,0,FWMF,90bbd822
278,Raúl Moro,4,2341,2024-2025,21,es ESP,Valladolid,es La Liga,33,26.0,26,7,0,5,9,4,0,0,0,MFFW,919dd4b1
279,Federico Dimarco,4,2177,2024-2025,26,it ITA,Inter,it Serie A,33,24.2,29,4,2,7,11,4,0,0,0,DFFW,970b8574
280,Lucas Paquetá,4,2380,2024-2025,26,br BRA,West Ham,eng Premier League,33,26.4,27,6,1,0,4,2,2,2,0,MFFW,9b6f7fd5
281,Isaac Romero,4,2156,2024-2025,24,es ESP,Sevilla,es La Liga,31,24.0,26,5,1,2,6,4,0,1,1,FW,be719093
282,Paul Onuachu,4,1050,2024-2025,30,ng NGA,Southampton,eng Premier League,25,11.7,11,14,3,1,5,4,0,0,0,FW,c06d1086
283,Joelinton,4,2393,2024-2025,27,br BRA,Newcastle Utd,eng Premier League,29,26.6,29,0,0,3,7,4,0,0,0,MFFW,c17bfb65
284,Shavy Babicka,4,1186,2024-2025,24,ga GAB,Toulouse,fr Ligue 1,30,13.2,11,19,2,2,6,4,0,0,0,MFFW,c6f0d5d4
285,Vitor Roque,4,1235,2024-2025,19,br BRA,Betis,es La Liga,22,13.7,14,8,0,0,4,4,0,0,0,FW,cb00f1e6
286,Elif Elmas,4,1021,2024-2025,24,mk MKD,Torino,it Serie A,13,11.3,12,1,1,0,4,4,0,0,0,FWMF,cf007308
287,Amin Sarr,4,1907,2024-2025,23,se SWE,Hellas Verona,it Serie A,32,21.2,25,7,4,1,5,4,0,0,0,FW,d5326924
288,Franck Honorat,4,1439,2024-2025,27,fr FRA,Gladbach,de Bundesliga,19,16.0,18,1,1,7,11,4,0,0,0,FW,db7849ca
289,Junya Ito,4,2690,2024-2025,31,jp JPN,Reims,fr Ligue 1,33,29.9,31,2,0,3,7,4,0,0,0,FWMF,dbd3a428
290,Kevin De Bruyne,4,1702,2024-2025,33,be BEL,Manchester City,eng Premier League,28,18.9,19,9,5,7,11,4,0,0,0,MFFW,e46012d4
291,Santiago Pierotti,4,1937,2024-2025,23,ar ARG,Lecce,it Serie A,36,21.5,22,14,1,2,6,4,0,0,0,FW,ec315772
292,Arnaut Danjuma,4,1535,2024-2025,27,nl NED,2 Teams,es La Liga,28,17.1,18,10,5,0,4,4,0,0,0,FW,f08490a6
293,Ramón Terrats,4,1350,2024-2025,23,es ESP,2 Teams,es La Liga,26,15.0,16,10,5,1,5,4,0,0,0,MFFW,f36016a5
294,Toni Martínez,4,1012,2024-2025,27,es ESP,Alavés,es La Liga,28,11.2,9,19,8,0,4,4,0,0,0,FW,f3945e07
295,Dwight McNeil,4,1371,2024-2025,24,eng ENG,Everton,eng Premier League,21,15.2,15,6,0,6,10,4,0,0,0,MFFW,fc15fb84
296,Tete Morente,3,2021,2024-2025,27,es ESP,Lecce,it Serie A,31,22.5,23,8,5,2,5,3,0,0,0,FWMF,004d185e
297,Joshua Zirkzee,3,1402,2024-2025,23,nl NED,Manchester Utd,eng Premier League,32,15.6,14,18,0,1,4,3,0,0,0,FWMF,028e70b9
298,Jofre,3,2165,2024-2025,23,es ESP,Espanyol,es La Liga,37,24.1,26,11,0,3,6,3,0,0,0,MFFW,030ef8d6
299,Badredine Bouanani,3,1099,2024-2025,19,dz ALG,Nice,fr Ligue 1,26,12.2,11,15,5,3,6,2,1,1,0,MFFW,0400dd2f
300,Tanguy Coulibaly,3,1485,2024-2025,23,fr FRA,Montpellier,fr Ligue 1,25,16.5,17,8,2,0,3,3,0,0,0,FWMF,05ba9d7c
301,Ernest Nuamah,3,1052,2024-2025,20,gh GHA,Lyon,fr Ligue 1,23,11.7,13,10,1,1,4,3,0,0,0,FWMF,234a703c
302,Nicolás González,3,1750,2024-2025,26,ar ARG,Juventus,it Serie A,26,19.4,23,3,1,2,5,3,0,0,0,FWMF,2374aaca
303,Juanmi Latasa,3,1398,2024-2025,23,es ESP,Valladolid,es La Liga,28,15.5,14,14,3,0,3,3,0,0,0,FW,2bea832e
304,Akor Adams,3,1209,2024-2025,24,ng NGA,2 Teams,2 Comps,19,13.4,14,5,1,1,4,3,0,0,0,FW,2ccd39ed
305,Fabio Miretti,3,1677,2024-2025,20,it ITA,Genoa,it Serie A,25,18.6,22,3,2,3,6,3,0,0,0,MFFW,34693494
306,Aleksandr Golovin,3,1153,2024-2025,28,ru RUS,Monaco,fr Ligue 1,19,12.8,13,6,2,0,3,3,0,0,0,MFFW,3708e9fa
307,Arda Güler,3,1250,2024-2025,19,tr TUR,Real Madrid,es La Liga,28,13.9,14,14,10,4,7,3,0,0,0,MFFW,3741ca58
308,Nicolas Viola,3,1267,2024-2025,34,it ITA,Cagliari,it Serie A,27,14.1,18,9,10,1,4,3,0,0,0,FWMF,45392b06
309,Jon Guridi,3,2080,2024-2025,29,es ESP,Alavés,es La Liga,33,23.1,27,6,3,1,4,2,1,1,0,MFFW,4c0a6a48
310,Oladapo Afolayan,3,1639,2024-2025,26,eng ENG,St. Pauli,de Bundesliga,32,18.2,17,15,2,1,4,3,0,0,0,FWMF,5054c359
311,Gianluca Caprari,3,1651,2024-2025,31,it ITA,Monza,it Serie A,34,18.3,18,16,0,2,5,1,2,2,0,MFFW,54e53b7e
312,Nicolas Pépé,3,1500,2024-2025,29,ci CIV,Villarreal,es La Liga,28,16.7,15,13,0,6,9,3,0,0,0,FWMF,57e3f0c7
313,Dominic Calvert-Lewin,3,1609,2024-2025,27,eng ENG,Everton,eng Premier League,26,17.9,19,7,0,1,4,3,0,0,0,FW,59e6e5bf
314,Marcus Tavernier,3,1939,2024-2025,25,eng ENG,Bournemouth,eng Premier League,29,21.5,20,9,0,5,8,3,0,0,0,FWMF,5c0da4a4
315,Gaetano Oristanio,3,2315,2024-2025,21,it ITA,Venezia,it Serie A,37,25.7,29,8,1,3,6,3,0,0,0,FWMF,5cfc74fc
316,Matteo Politano,3,2804,2024-2025,30,it ITA,Napoli,it Serie A,37,31.2,34,3,0,4,7,3,0,0,0,FWMF,5e861944
317,Francisco Conceição,3,1340,2024-2025,21,pt POR,Juventus,it Serie A,26,14.9,12,14,2,3,6,3,0,0,0,FWMF,5ef3d210
318,Jeong Woo-yeong,3,1263,2024-2025,24,kr KOR,Union Berlin,de Bundesliga,23,14.0,17,6,0,2,5,3,0,0,0,MFFW,6190474d
319,Osame Sahraoui,3,1293,2024-2025,23,ma MAR,Lille,fr Ligue 1,30,14.4,10,20,1,3,6,3,0,0,0,FWMF,6f9fa232
320,Oliver McBurnie,3,1837,2024-2025,28,sct SCO,Las Palmas,es La Liga,34,20.4,20,14,4,6,9,3,0,0,0,FW,78b8ac63
321,Léo Scienza,3,1153,2024-2025,25,br BRA,Heidenheim,de Bundesliga,25,12.8,13,12,6,3,6,3,0,0,0,FWMF,79064bc9
322,Bryan Gil,3,1721,2024-2025,23,es ESP,Girona,es La Liga,25,19.1,21,4,0,3,6,3,0,0,0,FWMF,7b5ab7f2
323,Sergio Camello,3,1134,2024-2025,23,es ESP,Rayo Vallecano,es La Liga,23,12.6,14,9,2,2,5,3,0,0,0,FW,873619c6
324,Philipp Hofmann,3,2277,2024-2025,31,de GER,Bochum,de Bundesliga,32,25.3,27,5,0,3,6,3,0,0,0,FW,877bc844
325,Kamory Doumbia,3,1322,2024-2025,21,ml MLI,Brest,fr Ligue 1,30,14.7,13,17,1,2,5,3,0,0,0,MFFW,9226aa22
326,Mario Götze,3,1542,2024-2025,32,de GER,Eint Frankfurt,de Bundesliga,24,17.1,18,6,4,2,5,3,0,0,0,MFFW,9efa1d25
327,Teun Koopmeiners,3,1994,2024-2025,26,nl NED,Juventus,it Serie A,28,22.2,23,5,1,3,6,3,0,0,0,MFFW,a26fb8aa
328,Eddie Nketiah,3,1034,2024-2025,25,eng ENG,2 Teams,eng Premier League,29,11.5,9,20,4,1,4,3,0,0,0,FW,a53649b7
329,Randy Nteka,3,1129,2024-2025,26,ao ANG,Rayo Vallecano,es La Liga,24,12.5,16,8,9,0,3,3,0,0,0,FW,a6103274
330,Benjamín Domínguez,3,1281,2024-2025,20,ar ARG,Bologna,it Serie A,24,14.2,16,8,11,2,5,3,0,0,0,FW,a83b47fa
331,Mitchel Bakker,3,1139,2024-2025,24,nl NED,Lille,fr Ligue 1,24,12.7,14,10,3,2,5,3,0,0,0,FWDF,a8567629
332,Carles Pérez,3,1431,2024-2025,26,es ESP,Getafe,es La Liga,27,15.9,15,12,11,0,3,3,0,0,0,MFFW,a8f21b9f
333,Matteo Cancellieri,3,1424,2024-2025,22,it ITA,Parma,it Serie A,27,15.8,19,8,2,0,3,3,0,0,0,FWMF,b6a1cdf9
334,Thijs Dallinga,3,1154,2024-2025,23,nl NED,Bologna,it Serie A,31,12.8,11,20,7,2,5,3,0,0,0,FW,b70afb45
335,Diego,3,1195,2024-2025,24,es ESP,Leganés,es La Liga,28,13.3,13,15,6,0,3,3,0,0,0,FW,b85a5126
336,Omari Hutchinson,3,2583,2024-2025,20,eng ENG,Ipswich Town,eng Premier League,31,28.7,30,1,1,2,5,3,0,0,0,MFFW,bd9553e6
337,Patrick Wimmer,3,1770,2024-2025,23,at AUT,Wolfsburg,de Bundesliga,29,19.7,22,7,0,4,7,3,0,0,0,MFFW,cb11b429
338,Paul Wanner,3,1771,2024-2025,18,de GER,Heidenheim,de Bundesliga,29,19.7,20,9,4,2,5,2,1,1,0,MFFW,cb64672e
339,Yaser Asprilla,3,1405,2024-2025,20,co COL,Girona,es La Liga,27,15.6,15,12,3,1,4,3,0,0,0,FWMF,d139daf9
340,Johannes Eggestein,3,1853,2024-2025,26,de GER,St. Pauli,de Bundesliga,27,20.6,22,5,5,4,7,2,1,2,1,FW,d571df78
341,Jadon Sancho,3,1764,2024-2025,24,eng ENG,Chelsea,eng Premier League,31,19.6,19,12,1,4,7,3,0,0,0,FW,dbf053da
342,Patrick Dorgu,3,1840,2024-2025,19,dk DEN,Lecce,it Serie A,21,20.4,21,0,1,1,4,3,0,0,0,DFFW,e6536124
343,Musa Al-Taamari,3,1683,2024-2025,27,jo JOR,2 Teams,fr Ligue 1,26,18.7,19,7,0,1,4,3,0,0,0,FWMF,f15f8b2b
344,Tammy Abraham,3,1184,2024-2025,26,eng ENG,2 Teams,it Serie A,29,13.2,12,17,7,4,7,2,1,2,1,FW,f586779e
345,Mohamed Ali Cho,3,1621,2024-2025,20,fr FRA,Nice,fr Ligue 1,27,18.0,21,6,2,4,7,3,0,0,0,FWMF,f8405304
346,Jeremy Doku,3,1516,2024-2025,22,be BEL,Manchester City,eng Premier League,29,16.8,16,13,4,6,9,3,0,0,0,FWMF,fffea3e5
347,Cameron Archer,2,1441,2024-2025,23,eng ENG,Southampton,eng Premier League,35,16.0,13,22,2,0,2,2,0,1,1,FW,05e8ca6d
348,Sergi Darder,2,2744,2024-2025,30,es ESP,Mallorca,es La Liga,38,30.5,34,4,0,6,8,2,0,0,0,MFFW,070a3904
349,Anass Zaroury,2,1405,2024-2025,23,ma MAR,Lens,fr Ligue 1,28,15.6,16,12,4,2,4,2,0,0,0,FWMF,07d65234
350,Antonio Sanabria,2,1318,2024-2025,28,py PAR,Torino,it Serie A,26,14.6,16,10,10,1,3,2,0,1,1,FW,0a447501
351,Chris Führich,2,1981,2024-2025,26,de GER,Stuttgart,de Bundesliga,33,22.0,23,10,0,3,5,2,0,0,0,MFFW,0cf778df
352,Jean-Ricner Bellegarde,2,1677,2024-2025,26,fr FRA,Wolves,eng Premier League,35,18.6,20,15,2,7,9,2,0,0,0,MFFW,10f0fdd3
353,Takuma Asano,2,1054,2024-2025,29,jp JPN,Mallorca,es La Liga,21,11.7,13,8,2,1,3,2,0,0,0,FWMF,13ddc856
354,Jamie Leweling,2,1663,2024-2025,23,de GER,Stuttgart,de Bundesliga,27,18.5,22,5,0,2,4,2,0,0,0,MFFW,13fe7b69
355,Mikkel Damsgaard,2,2911,2024-2025,24,dk DEN,Brentford,eng Premier League,38,32.3,34,4,0,10,12,2,0,0,0,MFFW,215f3907
356,Andrea Cambiaso,2,2221,2024-2025,24,it ITA,Juventus,it Serie A,33,24.7,25,8,0,3,5,2,0,0,0,DFFW,247ed022
