Rk,Player,Won,Lost,Won%,Total_Minutes,Season,Age,Nation,Team,Comp,MP,Position,Player_ID
92,Myron Boadu,19,20,48.7,1042,2024-2025,23,nl NED,Bochum,de Bundesliga,19,FW,5b479568
93,Robert Lewandowski,37,39,48.7,2667,2024-2025,35,pl POL,Barcelona,es La Liga,34,FW,8d78e732
94,Charles De Ketelaere,36,38,48.6,2070,2024-2025,23,be BEL,Atalanta,it Serie A,36,MFFW,2ef7c612
95,Irvin Cardona,18,19,48.6,1669,2024-2025,26,fr FRA,2 Teams,2 Comps,31,FWMF,5e080f73
96,Beto,99,105,48.5,1534,2024-2025,26,gw GNB,Everton,eng Premier League,30,FW,ed5c0319
97,Vincenzo Grifo,15,16,48.4,2432,2024-2025,31,it ITA,Freiburg,de Bundesliga,34,FWMF,54e4866f
98,Daniel Maldini,30,32,48.4,1564,2024-2025,22,it ITA,2 Teams,it Serie A,30,MFFW,801831fe
99,Unai Gómez,29,31,48.3,1284,2024-2025,21,es ESP,Athletic Club,es La Liga,32,MFFW,37db6cae
100,Oliver McBurnie,87,93,48.3,1837,2024-2025,28,sct SCO,Las Palmas,es La Liga,34,FW,78b8ac63
101,Nikola Vlašić,27,29,48.2,2117,2024-2025,26,hr CRO,Torino,it Serie A,30,MFFW,aa8e289e
102,Abdallah Sima,41,44,48.2,1238,2024-2025,23,sn SEN,Brest,fr Ligue 1,27,FWMF,fdbde523
103,Ernest Nuamah,13,14,48.1,1052,2024-2025,20,gh GHA,Lyon,fr Ligue 1,23,FWMF,234a703c
104,Dušan Vlahović,39,42,48.1,1784,2024-2025,24,rs SRB,Juventus,it Serie A,29,FW,79443529
105,Keinan Davis,37,40,48.1,1066,2024-2025,26,eng ENG,Udinese,it Serie A,23,FW,9deaf2c8
106,Akor Adams,34,37,47.9,1209,2024-2025,24,ng NGA,2 Teams,2 Comps,19,FW,2ccd39ed
107,Phillip Tietz,78,85,47.9,1686,2024-2025,27,de GER,Augsburg,de Bundesliga,34,FW,3397e7b5
108,Raúl Jiménez,91,99,47.9,2494,2024-2025,33,mx MEX,Fulham,eng Premier League,38,FW,b561db50
109,Lautaro Martínez,35,38,47.9,2564,2024-2025,26,ar ARG,Inter,it Serie A,31,FW,f7036e1c
110,Michael Olise,11,12,47.8,2334,2024-2025,22,fr FRA,Bayern Munich,de Bundesliga,34,FWMF,c4486bac
111,Antoine Griezmann,21,23,47.7,2469,2024-2025,33,fr FRA,Atlético Madrid,es La Liga,38,FWMF,df69b544
112,Jamie Vardy,50,55,47.6,2823,2024-2025,37,eng ENG,Leicester City,eng Premier League,35,FW,45963054
113,Mattia Zaccagni,19,21,47.5,2686,2024-2025,29,it ITA,Lazio,it Serie A,34,FW,d85c238b
114,Nicolas Pépé,16,18,47.1,1500,2024-2025,29,ci CIV,Villarreal,es La Liga,28,FWMF,57e3f0c7
115,Daniel Mosquera,79,89,47.0,1375,2024-2025,24,co COL,Hellas Verona,it Serie A,35,FW,091b9eb8
116,Alejo Véliz,51,58,46.8,1127,2024-2025,20,ar ARG,Espanyol,es La Liga,27,FW,3f7bafbe
117,Hugo Ekitike,52,59,46.8,2563,2024-2025,22,fr FRA,Eint Frankfurt,de Bundesliga,33,FW,5b92d896
118,Morgan Guilavogui,66,75,46.8,1807,2024-2025,26,gn GUI,St. Pauli,de Bundesliga,25,FWMF,79b51257
119,Nicolas Viola,21,24,46.7,1267,2024-2025,34,it ITA,Cagliari,it Serie A,27,FWMF,45392b06
120,Iago Aspas,7,8,46.7,1745,2024-2025,36,es ESP,Celta Vigo,es La Liga,30,FWMF,7dcf86f6
121,Lorenzo Lucca,59,68,46.5,2353,2024-2025,23,it ITA,Udinese,it Serie A,33,FW,83c06f3a
122,Antoine Semenyo,66,76,46.5,3203,2024-2025,24,gh GHA,Bournemouth,eng Premier League,37,FW,efd2ec23
123,Dodi Lukebakio,18,21,46.2,3092,2024-2025,26,be BEL,Sevilla,es La Liga,38,FW,0c61c77c
124,Pablo Fornals,18,21,46.2,1827,2024-2025,28,es ESP,Betis,es La Liga,26,MFFW,82927de4
