,,,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Touches,Touches,Touches,Touches,Touches,Touches,Touches,,-additional
Rk,Player,Touches,Min,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Pos,-9999
136,Raúl Jiménez,999,2494,2024-2025,33,mx MEX,Fulham,eng Premier League,38,2494,27.7,30,8,0,12,3,15,9,3,3,0,999,35,120,431,464,165,996,FW,b561db50
137,Gabriel Martinelli,994,2290,2024-2025,23,br BRA,Arsenal,eng Premier League,33,2290,25.4,25,8,2,8,4,12,8,0,0,0,994,17,102,247,660,182,994,FWMF,48a5a5d6
138,Alexis Claude-Maurice,994,2109,2024-2025,26,fr FRA,Augsburg,de Bundesliga,28,2109,23.4,25,3,3,9,2,11,9,0,0,0,994,13,112,479,431,64,994,MFFW,741418c3
139,Lassine Sinayoko,993,2299,2024-2025,24,ml MLI,Auxerre,fr Ligue 1,34,2299,25.5,25,9,0,5,8,13,4,1,1,0,993,35,148,390,465,127,992,FWMF,5e5249c8
140,Sebastian Nanasi,992,2107,2024-2025,22,se SWE,Strasbourg,fr Ligue 1,31,2107,23.4,26,5,1,6,4,10,6,0,0,0,992,22,141,471,393,73,992,MFFW,ce747d2a
141,Yeremi Pino,986,1934,2024-2025,21,es ESP,Villarreal,es La Liga,34,1934,21.5,25,9,1,4,7,11,4,0,0,0,986,30,169,356,477,104,986,MFFW,540ec57b
142,Mario Götze,986,1542,2024-2025,32,de GER,Eint Frankfurt,de Bundesliga,24,1542,17.1,18,6,4,3,2,5,3,0,0,0,986,12,158,493,347,43,986,MFFW,9efa1d25
143,Javi Puado,985,2974,2024-2025,26,es ESP,Espanyol,es La Liga,35,2974,33.0,35,0,0,12,4,16,7,5,5,0,985,27,140,452,413,102,980,FWMF,2683eda7
144,Tete Morente,983,2021,2024-2025,27,es ESP,Lecce,it Serie A,31,2021,22.5,23,8,5,3,2,5,3,0,0,0,983,24,146,465,388,40,983,FWMF,004d185e
145,Nikola Vlašić,983,2117,2024-2025,26,hr CRO,Torino,it Serie A,30,2117,23.5,23,7,1,5,4,9,3,2,2,0,983,15,114,460,430,59,981,MFFW,aa8e289e
146,Antony,982,1362,2024-2025,24,br BRA,Betis,es La Liga,17,1362,15.1,15,2,0,5,2,7,5,0,0,0,982,9,100,315,585,63,982,FW,99127249
147,Lautaro Martínez,981,2564,2024-2025,26,ar ARG,Inter,it Serie A,31,2564,28.5,31,0,1,12,3,15,12,0,0,0,981,15,84,413,494,162,981,FW,f7036e1c
148,Noni Madueke,980,2033,2024-2025,22,eng ENG,Chelsea,eng Premier League,32,2033,22.6,27,5,1,7,3,10,7,0,0,0,980,22,101,301,595,184,980,FW,bf34eebd
149,Alassane Pléa,979,1902,2024-2025,31,fr FRA,Gladbach,de Bundesliga,30,1902,21.1,24,6,2,11,4,15,10,1,1,0,979,3,81,494,412,77,978,MFFW,bc6bd723
150,Bukayo Saka,979,1729,2024-2025,22,eng ENG,Arsenal,eng Premier League,25,1729,19.2,20,5,0,6,10,16,5,1,1,0,979,6,57,216,715,162,978,FWMF,bc7dc64d
151,Timothy Weah,977,1638,2024-2025,24,us USA,Juventus,it Serie A,30,1638,18.2,18,12,2,5,2,7,5,0,0,0,977,31,216,394,372,35,977,DFFW,8eec784d
152,Jadon Sancho,975,1764,2024-2025,24,eng ENG,Chelsea,eng Premier League,31,1764,19.6,19,12,1,3,4,7,3,0,0,0,975,13,117,283,585,121,975,FW,dbf053da
153,Dani Rodríguez,971,2162,2024-2025,36,es ESP,Mallorca,es La Liga,37,2162,24.0,26,11,0,4,7,11,4,0,0,0,971,27,126,463,395,54,971,MFFW,70f8e0bd
154,Christantus Uche,971,2486,2024-2025,21,ng NGA,Getafe,es La Liga,33,2486,27.6,30,3,0,4,6,10,4,0,0,0,971,17,102,391,498,105,971,FWMF,87941696
155,Serhou Guirassy,965,2598,2024-2025,28,gn GUI,Dortmund,de Bundesliga,30,2598,28.9,29,1,0,21,4,25,18,3,4,1,965,40,76,485,410,160,961,FW,923f4dda
156,Adrian Beck,962,1598,2024-2025,27,de GER,Heidenheim,de Bundesliga,32,1598,17.8,18,14,1,4,1,5,4,0,0,0,962,23,184,502,296,53,962,MFFW,616c09f5
157,Dango Ouattara,959,2005,2024-2025,22,bf BFA,Bournemouth,eng Premier League,32,2005,22.3,21,11,0,7,4,11,7,0,0,0,959,62,165,316,497,128,959,FW,2f9e4435
158,Yann Gboho,953,2333,2024-2025,23,fr FRA,Toulouse,fr Ligue 1,31,2333,25.9,27,4,0,5,4,9,5,0,0,0,953,5,84,402,494,124,953,MFFW,6be41a31
159,Andrea Pinamonti,952,2850,2024-2025,25,it ITA,Genoa,it Serie A,36,2850,31.7,33,3,1,10,1,11,10,0,1,1,952,32,77,531,349,116,951,FW,08aa9cd1
160,Jonathan David,952,2554,2024-2025,24,ca CAN,Lille,fr Ligue 1,32,2554,28.4,28,4,0,16,5,21,10,6,7,1,952,16,56,396,507,145,945,FW,ce50fd99
161,Juan Cruz,951,2257,2024-2025,24,es ESP,Leganés,es La Liga,34,2257,25.1,26,8,4,5,4,9,5,0,0,0,951,23,176,381,413,41,951,FWMF,cc2dd8a5
162,Jack Harrison,948,2076,2024-2025,27,eng ENG,Everton,eng Premier League,34,2076,23.1,24,10,4,1,0,1,1,0,0,0,948,36,157,336,463,69,948,FW,aa849a12
163,Amine Gouiri,946,2085,2024-2025,24,dz ALG,2 Teams,fr Ligue 1,33,2085,23.2,23,10,0,13,5,18,13,0,0,0,946,8,58,370,528,129,946,FWMF,aad56ca3
164,Gavi,943,1085,2024-2025,19,es ESP,Barcelona,es La Liga,26,1085,12.1,14,12,3,1,1,2,1,0,0,0,943,10,107,601,240,34,943,MFFW,19cae58d
165,Jon Guridi,940,2080,2024-2025,29,es ESP,Alavés,es La Liga,33,2080,23.1,27,6,3,3,1,4,2,1,1,0,940,23,122,493,335,60,939,MFFW,4c0a6a48
166,João Pedro,940,1948,2024-2025,22,br BRA,Brighton,eng Premier League,27,1948,21.6,23,4,0,10,6,16,5,5,5,0,940,12,60,387,508,122,935,FWMF,e8832875
167,Philipp Hofmann,938,2277,2024-2025,31,de GER,Bochum,de Bundesliga,32,2277,25.3,27,5,0,3,3,6,3,0,0,0,938,40,88,548,307,100,938,FW,877bc844
168,Félix Lemaréchal,935,1779,2024-2025,20,fr FRA,Strasbourg,fr Ligue 1,27,1779,19.8,20,7,5,4,3,7,4,0,0,0,935,25,175,449,322,56,935,MFFW,8ca9415f
169,Paul Wanner,935,1771,2024-2025,18,de GER,Heidenheim,de Bundesliga,29,1771,19.7,20,9,4,3,2,5,2,1,1,0,935,19,138,480,338,41,934,MFFW,cb64672e
170,Kingsley Coman,934,1282,2024-2025,28,fr FRA,Bayern Munich,de Bundesliga,28,1282,14.2,14,14,0,5,4,9,5,0,0,0,934,13,84,323,537,85,934,FW,042e8a49
171,Sandro Ramírez,930,2034,2024-2025,29,es ESP,Las Palmas,es La Liga,31,2034,22.6,25,6,1,9,3,12,8,1,1,0,930,26,146,383,417,64,929,FWMF,833fb62e
172,Dani Raba,930,1879,2024-2025,28,es ESP,Leganés,es La Liga,29,1879,20.9,24,5,5,8,6,14,4,4,5,1,930,23,111,445,398,43,925,FWMF,ea6a7ab4
173,Evann Guessand,926,2565,2024-2025,23,ci CIV,Nice,fr Ligue 1,33,2565,28.5,30,3,1,12,8,20,12,0,0,0,926,19,97,414,444,134,926,FWMF,b73f17f8
174,Yoane Wissa,925,2919,2024-2025,27,cd COD,Brentford,eng Premier League,35,2919,32.4,34,1,0,19,4,23,19,0,0,0,925,34,136,376,432,163,925,FW,2500cef9
175,Patrick Wimmer,920,1770,2024-2025,23,at AUT,Wolfsburg,de Bundesliga,29,1770,19.7,22,7,0,3,4,7,3,0,0,0,920,20,160,410,370,63,920,MFFW,cb11b429
176,Roberto Piccoli,919,3127,2024-2025,23,it ITA,Cagliari,it Serie A,37,3127,34.7,37,0,0,10,1,11,9,1,1,0,919,29,76,468,385,144,918,FW,1cadaf34
177,Harry Kane,917,2381,2024-2025,31,eng ENG,Bayern Munich,de Bundesliga,31,2381,26.5,28,3,0,26,9,35,17,9,9,0,917,20,77,333,511,162,908,FW,21a66f6a
178,Riccardo Orsolini,916,1878,2024-2025,27,it ITA,Bologna,it Serie A,30,1878,20.9,23,7,3,15,4,19,12,3,3,0,916,9,85,349,494,88,913,FW,e14ec482
179,Ludovic Ajorque,914,2495,2024-2025,30,fr FRA,Brest,fr Ligue 1,31,2495,27.7,29,2,0,13,2,15,13,0,1,1,914,32,84,446,389,125,913,FW,462475ed
180,Gianluca Caprari,912,1651,2024-2025,31,it ITA,Monza,it Serie A,34,1651,18.3,18,16,0,3,2,5,1,2,2,0,912,3,70,450,399,39,910,MFFW,54e53b7e
181,Paulo Dybala,909,1417,2024-2025,30,ar ARG,Roma,it Serie A,24,1417,15.7,16,8,7,6,3,9,3,3,3,0,909,6,67,415,439,75,906,FWMF,e0921a4f
182,Derrick Köhn,908,1343,2024-2025,25,de GER,Werder Bremen,de Bundesliga,27,1343,14.9,14,13,4,2,2,4,2,0,0,0,908,34,232,360,325,31,908,DFFW,b735b590
183,Loïs Openda,904,2453,2024-2025,24,be BEL,RB Leipzig,de Bundesliga,33,2453,27.3,28,5,0,9,5,14,9,0,1,1,904,12,54,368,492,158,903,FWMF,8652a85c
184,Benjamin Šeško,901,2380,2024-2025,21,si SVN,RB Leipzig,de Bundesliga,33,2380,26.4,30,3,0,13,5,18,11,2,2,0,901,25,90,473,357,91,899,FWMF,3260690c
185,Rémy Cabella,900,1011,2024-2025,34,fr FRA,Lille,fr Ligue 1,23,1011,11.2,12,11,4,1,2,3,1,0,0,0,900,6,75,357,483,51,900,FWMF,148e136f
186,Shuto Machino,899,1953,2024-2025,24,jp JPN,Holstein Kiel,de Bundesliga,32,1953,21.7,23,9,2,11,2,13,9,2,2,0,899,33,139,389,377,63,897,FWMF,964dde35
187,Ange-Yoan Bonny,898,2529,2024-2025,20,fr FRA,Parma,it Serie A,37,2529,28.1,30,7,0,6,4,10,4,2,3,1,898,14,70,412,435,112,895,FW,64629ba4
188,Kamory Doumbia,895,1322,2024-2025,21,ml MLI,Brest,fr Ligue 1,30,1322,14.7,13,17,1,3,2,5,3,0,0,0,895,18,149,498,260,34,895,MFFW,9226aa22
189,Kiké,894,2542,2024-2025,34,es ESP,Alavés,es La Liga,35,2542,28.2,29,6,2,13,0,13,10,3,3,0,894,24,70,404,433,120,891,FW,e897d8ba
190,Anass Zaroury,893,1405,2024-2025,23,ma MAR,Lens,fr Ligue 1,28,1405,15.6,16,12,4,2,2,4,2,0,0,0,893,11,106,387,408,26,893,FWMF,07d65234
191,Cody Gakpo,888,1935,2024-2025,25,nl NED,Liverpool,eng Premier League,35,1935,21.5,23,12,0,10,4,14,10,0,0,0,888,28,91,258,557,110,888,FW,1971591f
192,Yunus Musah,888,1571,2024-2025,21,us USA,Milan,it Serie A,29,1571,17.5,19,10,5,0,2,2,0,0,0,0,888,19,144,468,293,37,888,MFFW,b51b1b9c
193,Arnaud Kalimuendo,885,2578,2024-2025,22,fr FRA,Rennes,fr Ligue 1,33,2578,28.6,31,2,0,17,3,20,12,5,8,3,885,18,74,432,392,126,877,FWMF,bf4c41f9
194,Nicolás González,883,1750,2024-2025,26,ar ARG,Juventus,it Serie A,26,1750,19.4,23,3,1,3,2,5,3,0,0,0,883,44,158,363,376,65,883,FWMF,2374aaca
195,Kevin Schade,883,2293,2024-2025,22,de GER,Brentford,eng Premier League,38,2293,25.5,26,12,0,11,2,13,11,0,0,0,883,43,154,238,507,146,883,FW,52afb588
196,Matthis Abline,878,2768,2024-2025,21,fr FRA,Nantes,fr Ligue 1,34,2768,30.8,33,1,0,9,2,11,8,1,1,0,878,34,75,382,438,142,877,FW,0e46fa2f
197,Christopher Operi,878,1169,2024-2025,27,ci CIV,Le Havre,fr Ligue 1,13,1169,13.0,13,0,0,0,2,2,0,0,0,0,878,41,237,347,302,12,878,DFFW,914bb955
198,Facundo Buonanotte,874,1523,2024-2025,19,ar ARG,Leicester City,eng Premier League,31,1523,16.9,14,17,3,5,2,7,5,0,0,0,874,26,128,452,307,39,874,FWMF,468a7a91
199,Mateo Retegui,874,2383,2024-2025,25,it ITA,Atalanta,it Serie A,36,2383,26.5,32,4,0,25,8,33,21,4,5,1,874,19,30,378,474,173,869,FW,e7695e6c
200,Jamie Gittens,873,1776,2024-2025,19,eng ENG,Dortmund,de Bundesliga,32,1776,19.7,21,11,2,8,3,11,8,0,0,0,873,8,85,293,520,110,873,FWMF,10745192
201,Tyler Dibling,868,1874,2024-2025,18,eng ENG,Southampton,eng Premier League,33,1874,20.8,20,13,1,2,0,2,2,0,0,0,868,27,129,390,369,41,868,FWMF,bdcc89ae
202,Stephy Mavididi,863,1615,2024-2025,26,eng ENG,Leicester City,eng Premier League,30,1615,17.9,16,14,3,4,1,5,4,0,0,0,863,23,132,327,421,61,863,FW,30144daa
203,Fermin López,858,1252,2024-2025,21,es ESP,Barcelona,es La Liga,28,1252,13.9,12,16,3,6,5,11,6,0,0,0,858,5,58,366,441,59,858,MFFW,c1fe5f0b
204,Lucas Höler,854,1867,2024-2025,30,de GER,Freiburg,de Bundesliga,31,1867,20.7,21,10,2,6,4,10,6,0,1,1,854,40,132,382,352,89,853,FWMF,ca618d23
205,Brennan Johnson,853,2177,2024-2025,23,wls WAL,Tottenham,eng Premier League,33,2177,24.2,24,9,2,11,3,14,11,0,0,0,853,18,98,292,475,125,853,FW,0cd31129
206,Marvin Pieringer,849,2206,2024-2025,24,de GER,Heidenheim,de Bundesliga,31,2206,24.5,26,5,0,7,4,11,4,3,3,0,849,31,103,427,328,97,846,FWMF,11407d95
207,Fabio Miretti,847,1677,2024-2025,20,it ITA,Genoa,it Serie A,25,1677,18.6,22,3,2,3,3,6,3,0,0,0,847,15,137,407,316,56,847,MFFW,34693494
208,Adri Embarba,847,1607,2024-2025,32,es ESP,Rayo Vallecano,es La Liga,35,1607,17.9,18,17,3,1,1,2,1,0,0,0,847,17,104,333,433,44,847,FWMF,db8f0eba
209,Alieu Fadera,844,1644,2024-2025,22,gm GAM,Como,it Serie A,28,1644,18.3,20,8,6,1,3,4,1,0,0,0,844,16,148,326,391,60,844,FWDF,53210e42
210,Jean-Ricner Bellegarde,843,1677,2024-2025,26,fr FRA,Wolves,eng Premier League,35,1677,18.6,20,15,2,2,7,9,2,0,0,0,843,24,148,394,318,48,843,MFFW,10f0fdd3
211,Nicolas Pépé,842,1500,2024-2025,29,ci CIV,Villarreal,es La Liga,28,1500,16.7,15,13,0,3,6,9,3,0,0,0,842,20,112,266,477,89,842,FWMF,57e3f0c7
212,Farid El Melali,842,1893,2024-2025,27,dz ALG,Angers,fr Ligue 1,32,1893,21.0,22,10,0,2,3,5,2,0,0,0,842,11,142,287,441,70,842,FW,d21e361a
213,Robert Lewandowski,841,2667,2024-2025,35,pl POL,Barcelona,es La Liga,34,2667,29.6,32,2,2,27,2,29,24,3,4,1,841,32,59,314,475,179,837,FW,8d78e732
214,Romain Del Castillo,840,1259,2024-2025,28,fr FRA,Brest,fr Ligue 1,26,1259,14.0,14,12,0,6,4,10,3,3,4,1,840,6,69,392,393,41,836,FW,0be95d34
215,Aleksandr Golovin,840,1153,2024-2025,28,ru RUS,Monaco,fr Ligue 1,19,1153,12.8,13,6,2,3,0,3,3,0,0,0,840,7,108,444,302,31,840,MFFW,3708e9fa
216,Jofre,839,2165,2024-2025,23,es ESP,Espanyol,es La Liga,37,2165,24.1,26,11,0,3,3,6,3,0,0,0,839,23,137,334,384,71,839,MFFW,030ef8d6
217,Issa Soumaré,839,1902,2024-2025,23,sn SEN,Le Havre,fr Ligue 1,29,1902,21.1,21,8,1,5,4,9,5,0,0,0,839,30,132,354,379,87,839,FWMF,1d8aa290
218,Lorenzo Colombo,837,2233,2024-2025,22,it ITA,Empoli,it Serie A,37,2233,24.8,26,11,0,6,2,8,5,1,1,0,837,18,77,417,355,83,836,FWMF,04df29a5
219,Yankuba Minteh,836,1838,2024-2025,20,gm GAM,Brighton,eng Premier League,32,1838,20.4,20,12,1,6,4,10,6,0,0,0,836,30,135,228,491,146,836,FWMF,c3cf087d
220,Valentín Castellanos,835,2384,2024-2025,25,ar ARG,Lazio,it Serie A,29,2384,26.5,28,1,2,10,3,13,8,2,3,1,835,20,57,353,434,155,832,FW,da76bab4
221,Brahim Díaz,833,1385,2024-2025,24,ma MAR,Real Madrid,es La Liga,31,1385,15.4,16,15,0,4,2,6,4,0,0,0,833,5,76,417,350,66,833,FWMF,407feb71
222,Morgan Guilavogui,832,1807,2024-2025,26,gn GUI,St. Pauli,de Bundesliga,25,1807,20.1,21,4,0,6,2,8,6,0,0,0,832,30,116,343,384,103,832,FWMF,79b51257
223,Yaser Asprilla,831,1405,2024-2025,20,co COL,Girona,es La Liga,27,1405,15.6,15,12,3,3,1,4,3,0,0,0,831,11,69,319,453,48,831,FWMF,d139daf9
224,Marcus Thuram,830,2290,2024-2025,26,fr FRA,Inter,it Serie A,32,2290,25.4,27,5,3,14,4,18,14,0,0,0,830,21,71,333,439,160,830,FW,6f8cd6d0
225,Malick Fofana,828,1589,2024-2025,19,be BEL,Lyon,fr Ligue 1,29,1589,17.7,16,13,0,5,4,9,5,0,0,0,828,7,79,284,487,95,828,FW,8236f673
226,Adrià Altimira,826,1630,2024-2025,23,es ESP,Leganés,es La Liga,22,1630,18.1,19,3,14,0,0,0,0,0,0,0,826,57,248,380,209,8,826,DFFW,757a3431
227,Dany Mota,820,2104,2024-2025,26,pt POR,Monza,it Serie A,31,2104,23.4,24,7,0,5,2,7,5,0,0,0,820,24,85,376,368,80,820,FWMF,efc9e31f
228,Josué Casimir,814,1997,2024-2025,22,fr FRA,Le Havre,fr Ligue 1,27,1997,22.2,23,4,0,4,4,8,4,0,0,0,814,23,161,301,370,76,814,FWMF,481f76cf
229,Arthur Atta,813,1251,2024-2025,21,fr FRA,Udinese,it Serie A,27,1251,13.9,12,15,3,0,1,1,0,0,0,0,813,21,125,417,289,39,813,MFFW,d3ddf88b
230,Tomáš Suslov,811,2080,2024-2025,22,sk SVK,Hellas Verona,it Serie A,31,2080,23.1,27,4,0,0,1,1,0,0,0,0,811,18,137,393,306,28,811,MFFW,83fe71b8
231,Jonas Wind,810,1966,2024-2025,25,dk DEN,Wolfsburg,de Bundesliga,31,1966,21.8,21,10,2,9,3,12,8,1,2,1,810,17,63,426,325,88,808,FWMF,2077ae86
232,Harvey Barnes,810,1755,2024-2025,26,eng ENG,Newcastle Utd,eng Premier League,33,1755,19.5,17,16,1,9,4,13,9,0,0,0,810,17,97,257,462,128,810,FW,3ea50f67
233,Jordan Ayew,810,1659,2024-2025,32,gh GHA,2 Teams,eng Premier League,31,1659,18.4,19,12,6,5,0,5,4,1,1,0,810,21,103,414,317,56,809,FWMF,da052c14
234,Osame Sahraoui,804,1293,2024-2025,23,ma MAR,Lille,fr Ligue 1,30,1293,14.4,10,20,1,3,3,6,3,0,0,0,804,11,58,300,456,67,804,FWMF,6f9fa232
235,Boulaye Dia,802,2177,2024-2025,27,sn SEN,Lazio,it Serie A,35,2177,24.2,27,8,2,9,3,12,9,0,0,0,802,19,85,436,293,94,802,MFFW,244bc2c8
236,Che Adams,802,2652,2024-2025,28,sct SCO,Torino,it Serie A,36,2652,29.5,30,6,1,9,3,12,9,0,1,1,802,19,53,387,371,104,801,FW,f2bf1b0f
237,Jamie Leweling,801,1663,2024-2025,23,de GER,Stuttgart,de Bundesliga,27,1663,18.5,22,5,0,2,2,4,2,0,0,0,801,18,97,306,418,67,801,MFFW,13fe7b69
238,Angelo Fulgini,801,1045,2024-2025,27,fr FRA,Lens,fr Ligue 1,23,1045,11.6,11,12,6,1,1,2,1,0,0,0,801,8,87,340,381,50,801,MFFW,4b96c347
239,Adama Traoré,801,1772,2024-2025,28,es ESP,Fulham,eng Premier League,36,1772,19.7,18,18,1,2,7,9,2,0,0,0,801,4,83,285,455,91,801,FWMF,9a28eba4
240,Dani Olmo,797,1212,2024-2025,26,es ESP,Barcelona,es La Liga,25,1212,13.5,13,12,2,10,3,13,8,2,2,0,797,18,64,351,390,77,795,MFFW,ae44e8e2
241,Deniz Undav,797,1726,2024-2025,28,de GER,Stuttgart,de Bundesliga,27,1726,19.2,20,7,0,9,3,12,9,0,0,0,797,11,61,379,369,118,797,FWMF,dd549382
242,Carlos Soler,794,1409,2024-2025,27,es ESP,West Ham,eng Premier League,31,1409,15.7,14,17,2,1,1,2,1,0,0,0,794,27,180,409,210,26,794,MFFW,fed17f5a
243,Lucas Beltrán,791,1953,2024-2025,23,ar ARG,Fiorentina,it Serie A,33,1953,21.7,21,12,4,5,4,9,3,2,3,1,791,15,91,423,285,51,788,FWMF,482d2bc3
244,Aitor Ruibal,790,1313,2024-2025,28,es ESP,Betis,es La Liga,29,1313,14.6,13,16,2,1,3,4,1,0,0,0,790,45,231,321,248,33,790,DFFW,a55d8df5
245,Jonathan Burkardt,788,2109,2024-2025,24,de GER,Mainz 05,de Bundesliga,29,2109,23.4,28,1,0,18,2,20,16,2,2,0,788,19,49,364,378,121,786,FW,05f99a4a
246,Nick Woltemade,788,1622,2024-2025,22,de GER,Stuttgart,de Bundesliga,28,1622,18.0,17,11,5,12,2,14,10,2,3,1,788,19,60,332,405,159,785,FWMF,7ca196eb
247,Ante Budimir,788,2952,2024-2025,33,hr CRO,Osasuna,es La Liga,38,2952,32.8,34,4,0,21,4,25,13,8,8,0,788,31,52,335,407,170,780,FW,8f3565b3
248,Kai Havertz,785,1875,2024-2025,25,de GER,Arsenal,eng Premier League,23,1875,20.8,21,2,1,9,3,12,9,0,0,0,785,31,92,287,411,107,785,FWMF,fed7cb61
249,Mikel Merino,783,1586,2024-2025,28,es ESP,Arsenal,eng Premier League,28,1586,17.6,17,11,0,7,2,9,7,0,0,0,783,37,140,330,323,79,783,MFFW,d080ed5e
250,Bryan Zaragoza,782,1836,2024-2025,23,es ESP,Osasuna,es La Liga,27,1836,20.4,22,5,1,1,6,7,1,0,0,0,782,4,70,286,444,84,782,FWMF,a96103b2
251,Tiago Tomás,782,1884,2024-2025,22,pt POR,Wolfsburg,de Bundesliga,32,1884,20.9,23,9,1,6,1,7,6,0,0,0,782,18,114,342,339,78,782,FWMF,b492126a
252,Marius Bülter,774,1729,2024-2025,31,de GER,Hoffenheim,de Bundesliga,25,1729,19.2,22,3,0,7,2,9,7,0,0,0,774,25,108,297,379,83,774,FWDF,ab5b7dc1
253,Chris Wood,770,2959,2024-2025,32,nz NZL,Nott'ham Forest,eng Premier League,36,2959,32.9,35,1,0,20,3,23,17,3,3,0,770,40,89,361,322,105,767,FW,4e9a0555
254,Thomas Müller,763,1225,2024-2025,34,de GER,Bayern Munich,de Bundesliga,30,1225,13.6,12,18,4,1,4,5,1,0,0,0,763,13,46,274,443,103,763,MFFW,3c6089ab
255,Jacob Ramsey,762,1623,2024-2025,23,eng ENG,Aston Villa,eng Premier League,29,1623,18.0,19,10,0,1,3,4,1,0,0,0,762,12,146,272,359,74,762,FWMF,1544f145
256,Franck Honorat,762,1439,2024-2025,27,fr FRA,Gladbach,de Bundesliga,19,1439,16.0,18,1,1,4,7,11,4,0,0,0,762,30,127,260,389,60,762,FW,db7849ca
257,Adam Hložek,761,1871,2024-2025,22,cz CZE,Hoffenheim,de Bundesliga,27,1871,20.8,22,5,0,8,4,12,8,0,0,0,761,20,73,334,367,114,761,FWMF,5521f419
258,Jens Odgaard,759,1952,2024-2025,25,dk DEN,Bologna,it Serie A,29,1952,21.7,24,5,3,6,1,7,6,0,0,0,759,11,60,340,368,68,759,MFFW,75374ee7
259,Gaetano Oristanio,758,2315,2024-2025,21,it ITA,Venezia,it Serie A,37,2315,25.7,29,8,1,3,3,6,3,0,0,0,758,5,70,300,416,88,757,FWMF,5cfc74fc
260,Serge Gnabry,758,1242,2024-2025,29,de GER,Bayern Munich,de Bundesliga,27,1242,13.8,13,14,2,7,5,12,7,0,1,1,758,9,68,288,407,96,757,FWMF,88e357ef
261,Mitchel Bakker,758,1139,2024-2025,24,nl NED,Lille,fr Ligue 1,24,1139,12.7,14,10,3,3,2,5,3,0,0,0,758,12,101,328,334,32,758,FWDF,a8567629
262,Iván Sánchez,755,1404,2024-2025,31,es ESP,Valladolid,es La Liga,32,1404,15.6,11,21,6,2,1,3,2,0,0,0,755,12,127,331,308,22,755,MFFW,70107d4d
263,Carles Aleñá,753,1542,2024-2025,26,es ESP,2 Teams,es La Liga,24,1542,17.1,18,6,8,0,2,2,0,0,0,0,753,7,89,374,299,32,753,MFFW,6c811eb7
264,Morten Thorsby,753,1898,2024-2025,28,no NOR,Genoa,it Serie A,30,1898,21.1,22,8,2,0,1,1,0,0,0,0,753,29,142,371,247,66,753,MFFW,d1b49282
265,Ander Barrenetxea,751,1263,2024-2025,22,es ESP,Real Sociedad,es La Liga,30,1263,14.0,14,16,3,1,3,4,1,0,0,0,751,11,102,263,402,63,751,MFFW,200e89e1
266,Lilian Raolisoa,751,1318,2024-2025,24,fr FRA,Angers,fr Ligue 1,29,1318,14.6,14,15,1,0,3,3,0,0,0,0,751,47,228,281,259,19,751,DFFW,79a793b7
267,Isaac Romero,751,2156,2024-2025,24,es ESP,Sevilla,es La Liga,31,2156,24.0,26,5,1,4,2,6,4,0,1,1,751,21,69,340,349,89,750,FW,be719093
268,Óscar Rodríguez Arnaiz,749,1330,2024-2025,26,es ESP,Leganés,es La Liga,29,1330,14.8,12,17,5,1,4,5,1,0,0,0,749,19,113,395,251,21,749,MFFW,19709006
269,Dwight McNeil,748,1371,2024-2025,24,eng ENG,Everton,eng Premier League,21,1371,15.2,15,6,0,4,6,10,4,0,0,0,748,6,73,328,368,25,748,MFFW,fc15fb84
270,Irvin Cardona,743,1669,2024-2025,26,fr FRA,2 Teams,2 Comps,31,1669,18.5,18,13,2,6,4,10,6,0,1,1,743,18,75,259,415,76,742,FWMF,5e080f73
271,Manuel Fuster,742,1003,2024-2025,26,es ESP,Las Palmas,es La Liga,28,1003,11.1,8,20,10,2,1,3,2,0,0,0,742,19,93,364,288,23,742,FWMF,618f396a
272,Alexandre Lacazette,742,2051,2024-2025,33,fr FRA,Lyon,fr Ligue 1,30,2051,22.8,24,6,0,15,2,17,10,5,6,1,742,11,50,281,416,137,736,FW,9dbb75ca
273,Oladapo Afolayan,741,1639,2024-2025,26,eng ENG,St. Pauli,de Bundesliga,32,1639,18.2,17,15,2,3,1,4,3,0,0,0,741,13,84,304,365,62,741,FWMF,5054c359
274,Jean-Philippe Mateta,739,2648,2024-2025,27,fr FRA,Crystal Palace,eng Premier League,37,2648,29.4,33,4,0,14,2,16,12,2,2,0,739,26,64,351,338,95,737,FW,50e6dc35
275,Francisco Conceição,739,1340,2024-2025,21,pt POR,Juventus,it Serie A,26,1340,14.9,12,14,2,3,3,6,3,0,0,0,739,11,87,244,425,92,739,FWMF,5ef3d210
276,Jørgen Strand Larsen,736,2587,2024-2025,24,no NOR,Wolves,eng Premier League,35,2587,28.7,30,5,0,14,4,18,14,0,0,0,736,36,85,348,304,108,736,FW,f553b2b3
277,Vedat Muriqi,733,2058,2024-2025,30,xk KVX,Mallorca,es La Liga,29,2058,22.9,24,5,0,7,2,9,5,2,3,1,733,48,75,358,307,114,730,FW,0cadc46d
