,,,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Standard,Standard,Standard,Standard,Standard,Standard,Standard,,-additional
Rk,Player,Sh,Min,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Sh,G/Sh▼,G/SoT,SoT,SoT%,Dist,FK,Pos,-9999
347,Brahim Díaz,28,1395,2024-2025,24,ma MAR,Real Madrid,es La Liga,31,1395,15.5,16,15,0,4,2,6,4,0,0,0,28,0.14,0.27,15,53.6,12.6,0,FWMF,407feb71
348,Keane Lewis-Potter,28,3102,2024-2025,23,eng ENG,Brentford,eng Premier League,38,3102,34.5,36,2,0,1,3,4,1,0,0,0,28,0.04,0.07,14,50.0,20.2,1,DFFW,41f08ac8
349,Alieu Fadera,28,1656,2024-2025,22,gm GAM,Como,it Serie A,28,1656,18.4,20,8,6,1,3,4,1,0,0,0,28,0.04,0.11,9,32.1,18.6,0,FWDF,53210e42
350,Gianluca Caprari,28,1666,2024-2025,31,it ITA,Monza,it Serie A,34,1666,18.5,18,16,0,3,2,5,1,2,2,0,28,0.04,0.11,9,32.1,22.0,2,MFFW,54e53b7e
351,Tyler Dibling,28,1884,2024-2025,18,eng ENG,Southampton,eng Premier League,33,1884,20.9,20,13,1,2,0,2,2,0,0,0,28,0.07,0.22,9,32.1,19.3,0,FWMF,bdcc89ae
352,Sebastian Nanasi,28,2129,2024-2025,22,se SWE,Strasbourg,fr Ligue 1,31,2129,23.7,26,5,1,6,4,10,6,0,0,0,28,0.21,0.50,12,42.9,12.4,1,MFFW,ce747d2a
353,Luis Rioja,28,2872,2024-2025,30,es ESP,2 Teams,es La Liga,37,2872,31.9,33,4,0,5,3,8,3,2,2,0,28,0.11,0.25,12,42.9,21.2,1,FW,eb3dd471
354,Nathan Tella,28,1373,2024-2025,25,ng NGA,Leverkusen,de Bundesliga,27,1373,15.3,17,10,3,2,4,6,2,0,0,0,28,0.07,0.20,10,35.7,15.5,0,MFFW,f1e94cd6
355,Álvaro Morata,27,1106,2024-2025,31,es ESP,Milan,it Serie A,16,1106,12.3,13,3,0,5,0,5,5,0,0,0,27,0.19,0.50,10,37.0,11.3,0,FWMF,129af0db
356,Josué Casimir,27,2010,2024-2025,22,fr FRA,Le Havre,fr Ligue 1,27,2010,22.3,23,4,0,4,4,8,4,0,0,0,27,0.15,0.44,9,33.3,15.7,0,FWMF,481f76cf
357,Christian Kouamé,27,1135,2024-2025,26,ci CIV,2 Teams,it Serie A,26,1135,12.6,10,16,3,1,1,2,1,0,0,0,27,0.04,0.17,6,22.2,14.3,0,FWMF,58e933d2
358,Myron Boadu,27,1050,2024-2025,23,nl NED,Bochum,de Bundesliga,19,1050,11.7,11,8,3,9,1,10,8,1,1,0,27,0.30,0.62,13,48.1,11.7,0,FW,5b479568
359,Rubén García,27,2439,2024-2025,31,es ESP,Osasuna,es La Liga,36,2439,27.1,30,6,0,5,5,10,5,0,0,0,27,0.19,0.50,10,37.0,16.1,3,FWMF,5c96b017
360,Alexander Bernhardsson,27,1274,2024-2025,25,se SWE,Holstein Kiel,de Bundesliga,19,1274,14.2,15,4,1,7,2,9,7,0,0,0,27,0.26,0.50,14,51.9,17.5,0,FWMF,dea1d183
361,Gonçalo Guedes,27,1003,2024-2025,27,pt POR,Wolves,eng Premier League,29,1003,11.1,10,19,4,2,4,6,2,0,0,0,27,0.07,0.25,8,29.6,18.9,0,MFFW,e6bc67d7
362,Pontus Almqvist,26,1120,2024-2025,25,se SWE,Parma,it Serie A,29,1120,12.4,10,19,7,1,1,2,1,0,0,0,26,0.04,0.11,9,34.6,17.4,0,FWMF,0917188a
363,Stephy Mavididi,26,1628,2024-2025,26,eng ENG,Leicester City,eng Premier League,30,1628,18.1,16,14,3,4,1,5,4,0,0,0,26,0.15,0.57,7,26.9,16.1,1,FW,30144daa
364,Oumar Diakité,26,1646,2024-2025,20,ci CIV,Reims,fr Ligue 1,26,1646,18.3,20,6,3,4,1,5,4,0,1,1,26,0.15,0.44,9,34.6,12.1,0,FW,44435c8f
365,Lucas Beltrán,26,1969,2024-2025,23,ar ARG,Fiorentina,it Serie A,33,1969,21.9,21,12,4,5,4,9,3,2,3,1,26,0.12,0.50,6,23.1,15.9,0,FWMF,482d2bc3
366,Angelo Fulgini,26,1055,2024-2025,27,fr FRA,Lens,fr Ligue 1,23,1055,11.7,11,12,6,1,1,2,1,0,0,0,26,0.04,0.11,9,34.6,17.9,2,MFFW,4b96c347
367,Carlos Martín,26,1346,2024-2025,22,es ESP,Alavés,es La Liga,26,1346,15.0,16,10,10,2,2,4,2,0,0,0,26,0.08,0.17,12,46.2,17.0,0,FWMF,64035864
368,Pablo Durán,26,1405,2024-2025,23,es ESP,Celta Vigo,es La Liga,27,1405,15.6,15,12,10,4,4,8,4,0,0,0,26,0.15,0.44,9,34.6,14.8,0,FWMF,6db116ec
369,Arnaud Nordin,26,1172,2024-2025,26,fr FRA,Montpellier,fr Ligue 1,16,1172,13.0,14,2,0,4,1,5,3,1,2,1,26,0.12,0.27,11,42.3,18.2,0,FW,7b9a9e25
370,Arthur Atta,26,1259,2024-2025,21,fr FRA,Udinese,it Serie A,27,1259,14.0,12,15,3,0,1,1,0,0,0,0,26,0.00,0.00,7,26.9,20.6,0,MFFW,d3ddf88b
371,Tammy Abraham,26,1192,2024-2025,26,eng ENG,2 Teams,it Serie A,29,1192,13.2,12,17,7,3,4,7,2,1,2,1,26,0.08,0.18,11,42.3,13.4,0,FW,f586779e
372,Ander Barrenetxea,25,1274,2024-2025,22,es ESP,Real Sociedad,es La Liga,30,1274,14.2,14,16,3,1,3,4,1,0,0,0,25,0.04,0.13,8,32.0,16.2,0,MFFW,200e89e1
373,Fares Chaïbi,25,1021,2024-2025,21,dz ALG,Eint Frankfurt,de Bundesliga,26,1021,11.3,10,16,4,1,3,4,1,0,0,0,25,0.04,0.17,6,24.0,18.4,2,MFFW,357103bd
374,Jeong Woo-yeong,25,1278,2024-2025,24,kr KOR,Union Berlin,de Bundesliga,23,1278,14.2,17,6,0,3,2,5,3,0,0,0,25,0.12,0.50,6,24.0,18.5,1,MFFW,6190474d
375,Umar Sadiq,25,1061,2024-2025,27,ng NGA,2 Teams,es La Liga,23,1061,11.8,11,12,13,5,0,5,5,0,0,0,25,0.20,0.71,7,28.0,14.3,0,FW,686cbe7d
376,Adam Armstrong,25,1258,2024-2025,27,eng ENG,Southampton,eng Premier League,20,1258,14.0,15,5,4,2,2,4,2,0,1,1,25,0.08,0.29,7,28.0,16.6,0,FWMF,68c720b5
377,Habib Diarra,25,2360,2024-2025,20,sn SEN,Strasbourg,fr Ligue 1,30,2360,26.2,27,3,0,4,5,9,2,2,2,0,25,0.08,0.20,10,40.0,20.2,1,MFFW,6d0fe035
378,Yann Karamoh,25,1056,2024-2025,26,fr FRA,Torino,it Serie A,29,1056,11.7,10,19,7,0,1,1,0,0,0,0,25,0.00,0.00,6,24.0,17.7,0,MFFW,8b66d9cc
379,Marco Grüll,25,1192,2024-2025,26,at AUT,Werder Bremen,de Bundesliga,30,1192,13.2,13,17,1,6,1,7,6,0,0,0,25,0.24,0.60,10,40.0,15.9,1,FWMF,8babb812
380,Félix Lemaréchal,25,1789,2024-2025,20,fr FRA,Strasbourg,fr Ligue 1,27,1789,19.9,20,7,5,4,3,7,4,0,0,0,25,0.16,0.44,9,36.0,14.4,0,MFFW,8ca9415f
381,Albert Guðmundsson,25,1285,2024-2025,27,is ISL,Fiorentina,it Serie A,24,1285,14.3,16,8,3,6,1,7,4,2,2,0,25,0.16,0.31,13,52.0,20.8,2,FWMF,b79858d5
382,Alexis Saelemaekers,25,1494,2024-2025,25,be BEL,2 Teams,it Serie A,23,1494,16.6,18,5,5,7,3,10,7,0,0,0,25,0.28,0.58,12,48.0,16.7,0,DFFW,ee251371
383,Dwight McNeil,25,1376,2024-2025,24,eng ENG,Everton,eng Premier League,21,1376,15.3,15,6,0,4,6,10,4,0,0,0,25,0.16,0.40,10,40.0,21.9,0,MFFW,fc15fb84
384,Carlos Soler,25,1419,2024-2025,27,es ESP,West Ham,eng Premier League,31,1419,15.8,14,17,2,1,1,2,1,0,0,0,25,0.04,0.13,8,32.0,19.0,1,MFFW,fed17f5a
385,Fabio Miretti,24,1696,2024-2025,20,it ITA,Genoa,it Serie A,25,1696,18.8,22,3,2,3,3,6,3,0,0,0,24,0.13,0.50,6,25.0,17.4,1,MFFW,34693494
386,Aleksandr Golovin,24,1159,2024-2025,28,ru RUS,Monaco,fr Ligue 1,19,1159,12.9,13,6,2,3,0,3,3,0,0,0,24,0.13,0.33,9,37.5,21.4,0,MFFW,3708e9fa
387,Paul Wanner,24,1786,2024-2025,18,de GER,Heidenheim,de Bundesliga,29,1786,19.8,20,9,4,3,2,5,2,1,1,0,24,0.08,0.40,5,20.8,18.2,3,MFFW,cb64672e
388,Jadon Sancho,24,1775,2024-2025,24,eng ENG,Chelsea,eng Premier League,31,1775,19.7,19,12,1,3,4,7,3,0,0,0,24,0.13,0.38,8,33.3,15.1,0,FW,dbf053da
389,Coba da Costa,23,1014,2024-2025,22,es ESP,Getafe,es La Liga,19,1014,11.3,12,7,11,1,1,2,1,0,0,0,23,0.04,0.13,8,34.8,18.3,0,MFFW,0b3358f0
390,Matias Fernandez-Pardo,23,1075,2024-2025,19,be BEL,Lille,fr Ligue 1,22,1075,11.9,12,10,3,4,2,6,4,0,0,0,23,0.17,0.33,12,52.2,17.8,0,FWMF,0cdb6a2a
391,Jon Guridi,23,2101,2024-2025,29,es ESP,Alavés,es La Liga,33,2101,23.3,27,6,3,3,1,4,2,1,1,0,23,0.09,0.18,11,47.8,14.9,0,MFFW,4c0a6a48
392,Osame Sahraoui,23,1301,2024-2025,23,ma MAR,Lille,fr Ligue 1,30,1301,14.5,10,20,1,3,3,6,3,0,0,0,23,0.13,0.38,8,34.8,15.6,0,FWMF,6f9fa232
393,Pablo Fornals,23,1841,2024-2025,28,es ESP,Betis,es La Liga,26,1841,20.5,22,4,2,2,0,2,2,0,0,0,23,0.09,0.50,4,17.4,21.7,0,MFFW,82927de4
394,Mitchel Bakker,23,1147,2024-2025,24,nl NED,Lille,fr Ligue 1,24,1147,12.7,14,10,3,3,2,5,3,0,0,0,23,0.13,0.30,10,43.5,18.9,5,FWDF,a8567629
395,Zito Luvumbo,23,1619,2024-2025,22,ao ANG,Cagliari,it Serie A,26,1619,18.0,19,7,2,2,2,4,2,0,0,0,23,0.09,0.50,4,17.4,16.0,0,FWMF,b09e0873
396,Amin Sarr,23,1927,2024-2025,23,se SWE,Hellas Verona,it Serie A,32,1927,21.4,25,7,4,4,1,5,4,0,0,0,23,0.17,0.57,7,30.4,14.3,0,FW,d5326924
397,Jesus Rodríguez,23,1126,2024-2025,18,es ESP,Betis,es La Liga,21,1126,12.5,15,6,3,2,0,2,2,0,0,0,23,0.09,0.25,8,34.8,17.9,0,FW,f9f74e43
398,Jean-Ricner Bellegarde,22,1695,2024-2025,26,fr FRA,Wolves,eng Premier League,35,1695,18.8,20,15,2,2,7,9,2,0,0,0,22,0.09,0.40,5,22.7,21.2,2,MFFW,10f0fdd3
399,Sofiane Diop,22,1070,2024-2025,24,fr FRA,Nice,fr Ligue 1,28,1070,11.9,8,20,1,6,4,10,6,0,0,0,22,0.27,0.55,11,50.0,16.4,3,MFFW,19053e31
400,Marshall Munetsi,22,1080,2024-2025,28,zw ZIM,Wolves,eng Premier League,14,1080,12.0,12,2,0,2,1,3,2,0,0,0,22,0.09,0.29,7,31.8,15.0,0,MFFW,2acf0cd7
401,André Ayew,22,1463,2024-2025,34,gh GHA,Le Havre,fr Ligue 1,27,1463,16.3,15,12,0,4,1,5,4,0,0,0,22,0.18,0.44,9,40.9,12.0,2,FW,5dbefa9d
402,Sheraldo Becker,22,1003,2024-2025,29,sr SUR,Real Sociedad,es La Liga,22,1003,11.1,11,11,4,2,1,3,2,0,0,0,22,0.09,0.15,13,59.1,19.1,0,FWMF,8eb55dbb
403,Kamory Doumbia,22,1334,2024-2025,21,ml MLI,Brest,fr Ligue 1,30,1334,14.8,13,17,1,3,2,5,3,0,0,0,22,0.14,0.30,10,45.5,16.7,1,MFFW,9226aa22
404,Marcos André,22,1200,2024-2025,27,br BRA,Valladolid,es La Liga,22,1200,13.3,14,8,13,1,2,3,1,0,0,0,22,0.05,0.50,2,9.1,14.0,0,FW,ae86d473
405,Yunus Musah,22,1582,2024-2025,21,us USA,Milan,it Serie A,29,1582,17.6,19,10,5,0,2,2,0,0,0,0,22,0.00,0.00,5,22.7,19.5,0,MFFW,b51b1b9c
406,Matteo Cancellieri,22,1437,2024-2025,22,it ITA,Parma,it Serie A,27,1437,16.0,19,8,2,3,0,3,3,0,0,0,22,0.14,0.43,7,31.8,17.6,0,FWMF,b6a1cdf9
407,Emmanuel Gyasi,22,3225,2024-2025,30,gh GHA,Empoli,it Serie A,37,3225,35.8,37,0,0,2,1,3,2,0,0,0,22,0.09,0.25,8,36.4,11.4,0,DFFW,f9758dae
408,Nicolás Domínguez,21,1981,2024-2025,26,ar ARG,Nott'ham Forest,eng Premier League,34,1981,22.0,23,11,3,0,1,1,0,0,0,0,21,0.00,0.00,9,42.9,18.9,0,MFFW,20b3a502
409,Sammie Szmodics,21,1005,2024-2025,28,ie IRL,Ipswich Town,eng Premier League,20,1005,11.2,13,7,2,4,0,4,4,0,0,0,21,0.19,0.33,12,57.1,14.0,0,FWMF,39944392
410,Abel Ruiz,21,1362,2024-2025,24,es ESP,Girona,es La Liga,23,1362,15.1,17,6,4,4,0,4,3,1,2,1,21,0.14,0.43,7,33.3,14.0,0,FW,6cbf8d0d
411,Timothy Weah,21,1648,2024-2025,24,us USA,Juventus,it Serie A,30,1648,18.3,18,12,2,5,2,7,5,0,0,0,21,0.24,0.56,9,42.9,20.3,0,DFFW,8eec784d
412,Roberto Férnandez,21,1510,2024-2025,22,es ESP,Espanyol,es La Liga,19,1510,16.8,18,1,0,6,0,6,6,0,0,0,21,0.29,0.67,9,42.9,14.0,0,FW,c981fc98
413,Ramón Terrats,21,1361,2024-2025,23,es ESP,2 Teams,es La Liga,26,1361,15.1,16,10,5,4,1,5,4,0,0,0,21,0.19,0.50,8,38.1,21.5,1,MFFW,f36016a5
414,Dani de Wit,20,1158,2024-2025,26,nl NED,Bochum,de Bundesliga,28,1158,12.9,11,17,5,2,1,3,2,0,0,0,20,0.10,0.29,7,35.0,11.7,0,MFFW,48a2b92a
415,Tim Skarke,20,1174,2024-2025,27,de GER,Union Berlin,de Bundesliga,33,1174,13.0,11,22,1,0,2,2,0,0,0,0,20,0.00,0.00,9,45.0,18.5,0,FWMF,65857fdf
416,Carles Aleñá,20,1555,2024-2025,26,es ESP,2 Teams,es La Liga,24,1555,17.3,18,6,8,0,2,2,0,0,0,0,20,0.00,0.00,5,25.0,18.3,1,MFFW,6c811eb7
417,Shavy Babicka,20,1195,2024-2025,24,ga GAB,Toulouse,fr Ligue 1,30,1195,13.3,11,19,2,4,2,6,4,0,0,0,20,0.20,0.44,9,45.0,14.6,0,MFFW,c6f0d5d4
418,Jacob Ramsey,19,1636,2024-2025,23,eng ENG,Aston Villa,eng Premier League,29,1636,18.2,19,10,0,1,3,4,1,0,0,0,19,0.05,0.25,4,21.1,16.8,0,FWMF,1544f145
419,Unai Gómez,19,1296,2024-2025,21,es ESP,Athletic Club,es La Liga,32,1296,14.4,14,18,4,1,3,4,1,0,0,0,19,0.05,0.25,4,21.1,17.5,1,MFFW,37db6cae
