,,,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Standard,Standard,Standard,Standard,Standard,Standard,Standard,,-additional
Rk,Player,Sh,Min,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Sh,G/Sh▼,G/SoT,SoT,SoT%,Dist,FK,Pos,-9999
64,Alexis Claude-Maurice,59,2127,2024-2025,26,fr FRA,Augsburg,de Bundesliga,28,2127,23.6,25,3,3,9,2,11,9,0,0,0,59,0.15,0.41,22,37.3,20.5,1,MFFW,741418c3
65,Danny Welbeck,59,2128,2024-2025,33,eng ENG,Brighton,eng Premier League,30,2128,23.6,24,6,0,10,4,14,9,1,1,0,59,0.15,0.39,23,39.0,15.3,9,FW,ce5143da
66,Morgan Rogers,55,3132,2024-2025,22,eng ENG,Aston Villa,eng Premier League,37,3132,34.8,37,0,0,8,10,18,8,0,0,0,55,0.15,0.40,20,36.4,15.9,0,FWMF,2e5915f1
67,Gabriel Martinelli,55,2305,2024-2025,23,br BRA,Arsenal,eng Premier League,33,2305,25.6,25,8,2,8,4,12,8,0,0,0,55,0.15,0.33,24,43.6,12.9,0,FWMF,48a5a5d6
68,Christian Pulisic,53,2496,2024-2025,25,us USA,Milan,it Serie A,34,2496,27.7,29,5,0,11,9,20,8,3,4,1,53,0.15,0.40,20,37.7,16.7,1,FWMF,1bf33a9a
69,Jamie Gittens,52,1793,2024-2025,19,eng ENG,Dortmund,de Bundesliga,32,1793,19.9,21,11,2,8,3,11,8,0,0,0,52,0.15,0.33,24,46.2,17.1,0,FWMF,10745192
70,Georges Mikautadze,52,1455,2024-2025,23,ge GEO,Lyon,fr Ligue 1,34,1455,16.2,13,21,0,11,6,17,8,3,4,1,52,0.15,0.36,22,42.3,14.1,0,FW,4788cb6b
71,Gonçalo Ramos,52,1073,2024-2025,23,pt POR,Paris S-G,fr Ligue 1,22,1073,11.9,12,10,0,10,3,13,8,2,3,1,52,0.15,0.28,29,55.8,11.3,0,FW,f63cda26
72,Charles De Ketelaere,48,2089,2024-2025,23,be BEL,Atalanta,it Serie A,36,2089,23.2,25,11,0,7,7,14,7,0,0,0,48,0.15,0.35,20,41.7,12.2,0,MFFW,2ef7c612
73,Serge Gnabry,48,1250,2024-2025,29,de GER,Bayern Munich,de Bundesliga,27,1250,13.9,13,14,2,7,5,12,7,0,1,1,48,0.15,0.41,17,35.4,15.7,0,FWMF,88e357ef
74,Antoine Griezmann,48,2489,2024-2025,33,fr FRA,Atlético Madrid,es La Liga,38,2489,27.7,29,9,0,8,7,15,7,1,2,1,48,0.15,0.41,17,35.4,18.5,5,FWMF,df69b544
75,Dejan Kulusevski,47,2394,2024-2025,24,se SWE,Tottenham,eng Premier League,32,2394,26.6,27,5,0,7,4,11,7,0,0,0,47,0.15,0.41,17,36.2,14.7,0,MFFW,df3cda47
76,Karim Adeyemi,46,1447,2024-2025,22,de GER,Dortmund,de Bundesliga,25,1447,16.1,17,8,0,7,6,13,7,0,0,0,46,0.15,0.39,18,39.1,17.6,0,FWMF,501055d8
77,Raphinha,112,2848,2024-2025,27,br BRA,Barcelona,es La Liga,36,2848,31.6,32,4,1,18,9,27,16,2,2,0,112,0.14,0.40,40,35.7,19.1,18,FWMF,3423f250
78,Matheus Cunha,110,2606,2024-2025,25,br BRA,Wolves,eng Premier League,33,2606,29.0,29,4,0,15,6,21,15,0,0,0,110,0.14,0.34,44,40.0,20.5,12,MFFW,dc62b55d
79,Ante Budimir,91,2971,2024-2025,33,hr CRO,Osasuna,es La Liga,38,2971,33.0,34,4,0,21,4,25,13,8,8,0,91,0.14,0.45,29,31.9,13.3,0,FW,8f3565b3
80,Jarrod Bowen,86,2980,2024-2025,27,eng ENG,West Ham,eng Premier League,34,2980,33.1,34,0,0,13,8,21,12,1,1,0,86,0.14,0.33,36,41.9,17.4,1,FWMF,79c84d1c
81,Michael Olise,86,2352,2024-2025,22,fr FRA,Bayern Munich,de Bundesliga,34,2352,26.1,28,6,0,12,15,27,12,0,0,0,86,0.14,0.33,36,41.9,17.6,7,FWMF,c4486bac
82,Evanilson,72,2339,2024-2025,24,br BRA,Bournemouth,eng Premier League,31,2339,26.0,28,3,1,10,1,11,10,0,1,1,72,0.14,0.32,31,43.1,12.8,0,FW,6f3cc2fe
