,,,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,,-additional
Rk,Player,GCA,Min,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,GCA,PassLive,PassDead,TO,Sh,Fld,Def,Pos,-9999
140,Dan Ndoye,9,2155,2024-2025,23,ch SUI,Bologna,it Serie A,30,2155,23.9,26,4,1,8,4,12,6,2,2,0,9,8,0,0,0,1,0,FW,8e697a8f
141,Rodrygo,9,1945,2024-2025,23,br BRA,Real Madrid,es La Liga,30,1945,21.6,22,8,1,6,5,11,6,0,0,0,9,7,0,1,0,1,0,FWMF,8f5e92a6
142,Carlos Vicente,9,3099,2024-2025,25,es ESP,Alavés,es La Liga,37,3099,34.4,35,2,1,5,5,10,4,1,1,0,9,6,1,1,1,0,0,FWMF,90df343e
143,Raúl Moro,9,2350,2024-2025,21,es ESP,Valladolid,es La Liga,33,2350,26.1,26,7,0,4,5,9,4,0,0,0,9,6,0,2,0,1,0,MFFW,919dd4b1
144,Shuto Machino,9,1967,2024-2025,24,jp JPN,Holstein Kiel,de Bundesliga,32,1967,21.9,23,9,2,11,2,13,9,2,2,0,9,8,1,0,0,0,0,FWMF,964dde35
145,Antony,9,1366,2024-2025,24,br BRA,Betis,es La Liga,17,1366,15.2,15,2,0,5,2,7,5,0,0,0,9,6,0,1,2,0,0,FW,99127249
146,Bryan Zaragoza,9,1856,2024-2025,23,es ESP,Osasuna,es La Liga,27,1856,20.6,22,5,1,1,6,7,1,0,0,0,9,6,1,1,1,0,0,FWMF,a96103b2
147,Joelinton,9,2403,2024-2025,27,br BRA,Newcastle Utd,eng Premier League,29,2403,26.7,29,0,0,4,3,7,4,0,0,0,9,7,0,0,1,0,1,MFFW,c17bfb65
148,Diego López,9,2763,2024-2025,22,es ESP,Valencia,es La Liga,38,2763,30.7,35,3,0,8,5,13,8,0,0,0,9,7,0,1,0,1,0,MFFW,c487901c
149,Giovani Lo Celso,9,1463,2024-2025,28,ar ARG,Betis,es La Liga,25,1463,16.3,15,10,0,8,3,11,6,2,3,1,9,6,1,2,0,0,0,MFFW,d7553721
150,Mattia Zaccagni,9,2708,2024-2025,29,it ITA,Lazio,it Serie A,34,2708,30.1,33,1,0,8,6,14,6,2,2,0,9,7,2,0,0,0,0,FW,d85c238b
151,Junya Ito,9,2703,2024-2025,31,jp JPN,Reims,fr Ligue 1,33,2703,30.0,31,2,0,4,3,7,4,0,0,0,9,7,1,0,1,0,0,FWMF,dbd3a428
152,Dejan Kulusevski,9,2394,2024-2025,24,se SWE,Tottenham,eng Premier League,32,2394,26.6,27,5,0,7,4,11,7,0,0,0,9,7,1,1,0,0,0,MFFW,df3cda47
153,João Pedro,9,1957,2024-2025,22,br BRA,Brighton,eng Premier League,27,1957,21.7,23,4,0,10,6,16,5,5,5,0,9,6,0,0,0,3,0,FWMF,e8832875
154,Phil Foden,9,1787,2024-2025,24,eng ENG,Manchester City,eng Premier League,28,1787,19.9,20,8,5,7,2,9,7,0,0,0,9,5,1,0,3,0,0,MFFW,ed1e53f3
155,Tammy Abraham,9,1192,2024-2025,26,eng ENG,2 Teams,it Serie A,29,1192,13.2,12,17,7,3,4,7,2,1,2,1,9,7,0,0,1,1,0,FW,f586779e
156,Valentino Lazaro,8,2324,2024-2025,28,at AUT,Torino,it Serie A,33,2324,25.8,26,7,1,0,6,6,0,0,0,0,8,5,3,0,0,0,0,DFFW,016ff750
157,Jonathan Burkardt,8,2127,2024-2025,24,de GER,Mainz 05,de Bundesliga,29,2127,23.6,28,1,0,18,2,20,16,2,2,0,8,6,0,0,1,1,0,FW,05f99a4a
158,Chris Führich,8,1997,2024-2025,26,de GER,Stuttgart,de Bundesliga,33,1997,22.2,23,10,0,2,3,5,2,0,0,0,8,6,1,0,1,0,0,MFFW,0cf778df
159,Jacob Ramsey,8,1636,2024-2025,23,eng ENG,Aston Villa,eng Premier League,29,1636,18.2,19,10,0,1,3,4,1,0,0,0,8,7,0,0,0,1,0,FWMF,1544f145
160,Takefusa Kubo,8,2388,2024-2025,23,jp JPN,Real Sociedad,es La Liga,36,2388,26.5,27,9,1,5,0,5,5,0,0,0,8,2,0,5,0,1,0,MFFW,16aa3654
161,Williot Swedberg,8,1361,2024-2025,20,se SWE,Celta Vigo,es La Liga,32,1361,15.1,15,17,1,4,5,9,4,0,0,0,8,6,0,1,1,0,0,FWMF,184fe4b2
162,Cody Gakpo,8,1952,2024-2025,25,nl NED,Liverpool,eng Premier League,35,1952,21.7,23,12,0,10,4,14,10,0,0,0,8,3,0,3,1,1,0,FW,1971591f
163,Roberto Piccoli,8,3145,2024-2025,23,it ITA,Cagliari,it Serie A,37,3145,34.9,37,0,0,10,1,11,9,1,1,0,8,3,0,1,1,3,0,FW,1cadaf34
164,Boulaye Dia,8,2199,2024-2025,27,sn SEN,Lazio,it Serie A,35,2199,24.4,27,8,2,9,3,12,9,0,0,0,8,7,0,0,1,0,0,MFFW,244bc2c8
165,Leandro Trossard,8,2559,2024-2025,29,be BEL,Arsenal,eng Premier League,38,2559,28.4,28,10,0,8,7,15,8,0,0,0,8,8,0,0,0,0,0,FW,38ceb24a
166,Bernardo Silva,8,2671,2024-2025,29,pt POR,Manchester City,eng Premier League,33,2671,29.7,29,4,5,4,4,8,4,0,0,0,8,8,0,0,0,0,0,MFFW,3eb22ec9
167,Keane Lewis-Potter,8,3102,2024-2025,23,eng ENG,Brentford,eng Premier League,38,3102,34.5,36,2,0,1,3,4,1,0,0,0,8,6,0,0,0,2,0,DFFW,41f08ac8
168,Ludovic Ajorque,8,2508,2024-2025,30,fr FRA,Brest,fr Ligue 1,31,2508,27.9,29,2,0,13,2,15,13,0,1,1,8,3,0,1,3,1,0,FW,462475ed
169,Josué Casimir,8,2010,2024-2025,22,fr FRA,Le Havre,fr Ligue 1,27,2010,22.3,23,4,0,4,4,8,4,0,0,0,8,3,0,1,1,3,0,FWMF,481f76cf
170,Jon Guridi,8,2101,2024-2025,29,es ESP,Alavés,es La Liga,33,2101,23.3,27,6,3,3,1,4,2,1,1,0,8,5,0,2,1,0,0,MFFW,4c0a6a48
171,Iliman Ndiaye,8,2444,2024-2025,24,sn SEN,Everton,eng Premier League,33,2444,27.2,29,4,0,9,0,9,7,2,2,0,8,5,0,2,0,1,0,FW,5ed97752
172,Ange-Yoan Bonny,8,2551,2024-2025,20,fr FRA,Parma,it Serie A,37,2551,28.3,30,7,0,6,4,10,4,2,3,1,8,4,0,2,1,1,0,FW,64629ba4
173,Habib Diarra,8,2360,2024-2025,20,sn SEN,Strasbourg,fr Ligue 1,30,2360,26.2,27,3,0,4,5,9,2,2,2,0,8,6,0,0,0,2,0,MFFW,6d0fe035
174,Evanilson,8,2339,2024-2025,24,br BRA,Bournemouth,eng Premier League,31,2339,26.0,28,3,1,10,1,11,10,0,1,1,8,2,0,1,1,4,0,FW,6f3cc2fe
175,Cucho,8,1150,2024-2025,25,co COL,Betis,es La Liga,15,1150,12.8,14,1,1,5,1,6,5,0,0,0,8,5,0,1,0,2,0,FW,71b47ab9
176,Dušan Vlahović,8,1792,2024-2025,24,rs SRB,Juventus,it Serie A,29,1792,19.9,21,8,3,10,4,14,6,4,4,0,8,5,0,3,0,0,0,FW,79443529
177,John McGinn,8,2238,2024-2025,29,sct SCO,Aston Villa,eng Premier League,34,2238,24.9,27,7,0,1,4,5,1,0,0,0,8,6,2,0,0,0,0,MFFW,90f91999
178,Lucas Stassin,8,1900,2024-2025,19,be BEL,Saint-Étienne,fr Ligue 1,28,1900,21.1,23,5,0,12,4,16,12,0,0,0,8,4,0,2,1,1,0,FW,a47d6f3a
179,Nikola Vlašić,8,2128,2024-2025,26,hr CRO,Torino,it Serie A,30,2128,23.6,23,7,1,5,4,9,3,2,2,0,8,6,0,1,0,1,0,MFFW,aa8e289e
180,Tiago Tomás,8,1901,2024-2025,22,pt POR,Wolfsburg,de Bundesliga,32,1901,21.1,23,9,1,6,1,7,6,0,0,0,8,4,0,1,2,1,0,FWMF,b492126a
181,Noni Madueke,8,2052,2024-2025,22,eng ENG,Chelsea,eng Premier League,32,2052,22.8,27,5,1,7,3,10,7,0,0,0,8,5,0,0,1,1,1,FW,bf34eebd
182,Georginio Rutter,8,1672,2024-2025,22,fr FRA,Brighton,eng Premier League,28,1672,18.6,19,9,0,5,3,8,5,0,0,0,8,3,0,3,1,1,0,MFFW,c64c01fc
183,Jonathan David,8,2562,2024-2025,24,ca CAN,Lille,fr Ligue 1,32,2562,28.5,28,4,0,16,5,21,10,6,7,1,8,5,0,1,1,1,0,FW,ce50fd99
184,Danny Welbeck,8,2128,2024-2025,33,eng ENG,Brighton,eng Premier League,30,2128,23.6,24,6,0,10,4,14,9,1,1,0,8,7,0,0,1,0,0,FW,ce5143da
185,Franck Honorat,8,1456,2024-2025,27,fr FRA,Gladbach,de Bundesliga,19,1456,16.2,18,1,1,4,7,11,4,0,0,0,8,4,4,0,0,0,0,FW,db7849ca
186,Deniz Undav,8,1735,2024-2025,28,de GER,Stuttgart,de Bundesliga,27,1735,19.3,20,7,0,9,3,12,9,0,0,0,8,4,0,0,3,0,1,FWMF,dd549382
187,Paulo Dybala,8,1428,2024-2025,30,ar ARG,Roma,it Serie A,24,1428,15.9,16,8,7,6,3,9,3,3,3,0,8,5,1,0,0,2,0,FWMF,e0921a4f
188,Gonçalo Guedes,8,1003,2024-2025,27,pt POR,Wolves,eng Premier League,29,1003,11.1,10,19,4,2,4,6,2,0,0,0,8,7,0,1,0,0,0,MFFW,e6bc67d7
189,Dominic Solanke,8,2208,2024-2025,26,eng ENG,Tottenham,eng Premier League,27,2208,24.5,25,2,1,9,3,12,8,1,1,0,8,6,0,0,1,1,0,FW,e77dc3b2
190,Lautaro Martínez,8,2580,2024-2025,26,ar ARG,Inter,it Serie A,31,2580,28.7,31,0,1,12,3,15,12,0,0,0,8,5,0,1,2,0,0,FW,f7036e1c
191,Viktor Tsyhankov,8,1925,2024-2025,26,ua UKR,Girona,es La Liga,27,1925,21.4,23,4,1,2,5,7,2,0,0,0,8,4,3,0,0,1,0,FWMF,f7e87032
192,Sergi Darder,7,2767,2024-2025,30,es ESP,Mallorca,es La Liga,38,2767,30.7,34,4,0,2,6,8,2,0,0,0,7,5,2,0,0,0,0,MFFW,070a3904
193,Tom Bischof,7,2570,2024-2025,19,de GER,Hoffenheim,de Bundesliga,31,2570,28.6,30,1,0,5,2,7,5,0,0,0,7,6,1,0,0,0,0,MFFW,07d3bfec
194,Brennan Johnson,7,2185,2024-2025,23,wls WAL,Tottenham,eng Premier League,33,2185,24.3,24,9,2,11,3,14,11,0,0,0,7,5,0,1,0,1,0,FW,0cd31129
195,Marvin Pieringer,7,2225,2024-2025,24,de GER,Heidenheim,de Bundesliga,31,2225,24.7,26,5,0,7,4,11,4,3,3,0,7,3,0,0,1,2,1,FWMF,11407d95
196,Jim Allevinah,7,1771,2024-2025,29,ga GAB,Angers,fr Ligue 1,28,1771,19.7,23,5,0,1,3,4,1,0,0,0,7,4,0,0,2,1,0,FW,1956b948
197,Alfon,7,1381,2024-2025,25,es ESP,Celta Vigo,es La Liga,26,1381,15.3,14,12,9,5,2,7,5,0,0,0,7,4,0,0,2,1,0,FWMF,1c772b46
198,Dennis Man,7,2007,2024-2025,25,ro ROU,Parma,it Serie A,33,2007,22.3,23,10,2,4,4,8,4,0,0,0,7,5,1,0,1,0,0,FWMF,2079b3cc
199,Javi Puado,7,2989,2024-2025,26,es ESP,Espanyol,es La Liga,35,2989,33.2,35,0,0,12,4,16,7,5,5,0,7,6,0,0,0,1,0,FWMF,2683eda7
200,Benedict Hollerbach,7,2559,2024-2025,23,de GER,Union Berlin,de Bundesliga,34,2559,28.4,30,4,0,9,1,10,9,0,0,0,7,3,0,1,1,2,0,FWMF,2a158218
201,Stephy Mavididi,7,1628,2024-2025,26,eng ENG,Leicester City,eng Premier League,30,1628,18.1,16,14,3,4,1,5,4,0,0,0,7,6,0,1,0,0,0,FW,30144daa
202,Fares Chaïbi,7,1021,2024-2025,21,dz ALG,Eint Frankfurt,de Bundesliga,26,1021,11.3,10,16,4,1,3,4,1,0,0,0,7,6,1,0,0,0,0,MFFW,357103bd
203,Eliesse Ben Seghir,7,1761,2024-2025,19,ma MAR,Monaco,fr Ligue 1,33,1761,19.6,19,14,1,6,3,9,4,2,2,0,7,4,1,0,1,1,0,MFFW,3bd65247
204,Moise Kean,7,2712,2024-2025,24,it ITA,Fiorentina,it Serie A,32,2712,30.1,31,1,0,19,3,22,18,1,2,1,7,2,0,3,2,0,0,FW,3d50bcdb
205,Nikola Krstović,7,3070,2024-2025,24,me MNE,Lecce,it Serie A,37,3070,34.1,37,0,0,11,5,16,9,2,3,1,7,6,0,0,1,0,0,FW,473803c9
206,Gabriel Martinelli,7,2305,2024-2025,23,br BRA,Arsenal,eng Premier League,33,2305,25.6,25,8,2,8,4,12,8,0,0,0,7,4,0,1,1,1,0,FWMF,48a5a5d6
207,Simon Adingra,7,1107,2024-2025,22,ci CIV,Brighton,eng Premier League,29,1107,12.3,12,17,6,2,2,4,2,0,0,0,7,5,0,1,1,0,0,FWMF,4dcec659
208,Alieu Fadera,7,1656,2024-2025,22,gm GAM,Como,it Serie A,28,1656,18.4,20,8,6,1,3,4,1,0,0,0,7,6,0,1,0,0,0,FWDF,53210e42
209,Eldor Shomurodov,7,1106,2024-2025,29,uz UZB,Roma,it Serie A,27,1106,12.3,11,16,10,4,4,8,4,0,0,0,7,7,0,0,0,0,0,FWMF,57469b2d
210,Nicolas Pépé,7,1509,2024-2025,29,ci CIV,Villarreal,es La Liga,28,1509,16.8,15,13,0,3,6,9,3,0,0,0,7,7,0,0,0,0,0,FWMF,57e3f0c7
211,Gaetano Oristanio,7,2339,2024-2025,21,it ITA,Venezia,it Serie A,37,2339,26.0,29,8,1,3,3,6,3,0,0,0,7,4,0,1,0,2,0,FWMF,5cfc74fc
212,Maximilian Beier,7,1601,2024-2025,21,de GER,Dortmund,de Bundesliga,29,1601,17.8,17,12,1,8,5,13,8,0,0,0,7,5,0,1,1,0,0,FWMF,5db45ee5
213,Yann Gboho,7,2346,2024-2025,23,fr FRA,Toulouse,fr Ligue 1,31,2346,26.1,27,4,0,5,4,9,5,0,0,0,7,5,0,0,2,0,0,MFFW,6be41a31
214,Borja Iglesias,7,1975,2024-2025,31,es ESP,Celta Vigo,es La Liga,37,1975,21.9,24,13,1,11,3,14,11,0,0,0,7,3,0,0,1,3,0,FW,75645f0e
215,Léo Scienza,7,1164,2024-2025,25,br BRA,Heidenheim,de Bundesliga,25,1164,12.9,13,12,6,3,3,6,3,0,0,0,7,3,2,0,0,2,0,FWMF,79064bc9
216,Gaëtan Laborde,7,1846,2024-2025,30,fr FRA,Nice,fr Ligue 1,28,1846,20.5,20,8,0,11,4,15,7,4,4,0,7,6,0,0,0,1,0,FW,7cdda3bf
217,Mahdi Camara,7,2673,2024-2025,26,fr FRA,Brest,fr Ligue 1,34,2673,29.7,31,3,0,5,3,8,5,0,0,0,7,4,0,1,1,1,0,MFFW,8577e60a
218,Álvaro García,7,2573,2024-2025,31,es ESP,Rayo Vallecano,es La Liga,36,2573,28.6,28,8,0,4,5,9,4,0,0,0,7,6,0,0,1,0,0,FWMF,90bbd822
219,Kamory Doumbia,7,1334,2024-2025,21,ml MLI,Brest,fr Ligue 1,30,1334,14.8,13,17,1,3,2,5,3,0,0,0,7,2,1,1,1,0,2,MFFW,9226aa22
220,Ferrán Torres,7,1115,2024-2025,24,es ESP,Barcelona,es La Liga,27,1115,12.4,12,15,2,10,6,16,10,0,0,0,7,6,0,1,0,0,0,FWMF,9e1035f8
221,Benjamín Domínguez,7,1294,2024-2025,20,ar ARG,Bologna,it Serie A,24,1294,14.4,16,8,11,3,2,5,3,0,0,0,7,6,0,1,0,0,0,FW,a83b47fa
222,Marius Bülter,7,1742,2024-2025,31,de GER,Hoffenheim,de Bundesliga,25,1742,19.4,22,3,0,7,2,9,7,0,0,0,7,4,0,2,0,1,0,FWDF,ab5b7dc1
223,Raúl Jiménez,7,2515,2024-2025,33,mx MEX,Fulham,eng Premier League,38,2515,27.9,30,8,0,12,3,15,9,3,3,0,7,4,0,0,1,1,1,FW,b561db50
224,Isaac Romero,7,2174,2024-2025,24,es ESP,Sevilla,es La Liga,31,2174,24.2,26,5,1,4,2,6,4,0,1,1,7,4,0,1,2,0,0,FW,be719093
225,Abde Ezzalzouli,7,2004,2024-2025,22,ma MAR,Betis,es La Liga,32,2004,22.3,23,9,1,2,2,4,2,0,1,1,7,4,0,0,2,1,0,FWMF,bed68338
226,Fermin López,7,1258,2024-2025,21,es ESP,Barcelona,es La Liga,28,1258,14.0,12,16,3,6,5,11,6,0,0,0,7,7,0,0,0,0,0,MFFW,c1fe5f0b
227,Zakaria Aboukhlal,7,1914,2024-2025,24,ma MAR,Toulouse,fr Ligue 1,26,1914,21.3,22,4,0,7,2,9,6,1,2,1,7,3,0,1,0,3,0,MFFW,c2a6033c
228,Paul Wanner,7,1786,2024-2025,18,de GER,Heidenheim,de Bundesliga,29,1786,19.8,20,9,4,3,2,5,2,1,1,0,7,5,0,0,2,0,0,MFFW,cb64672e
229,Yaser Asprilla,7,1414,2024-2025,20,co COL,Girona,es La Liga,27,1414,15.7,15,12,3,3,1,4,3,0,0,0,7,5,2,0,0,0,0,FWMF,d139daf9
230,Keito Nakamura,7,2663,2024-2025,24,jp JPN,Reims,fr Ligue 1,32,2663,29.6,31,1,0,11,2,13,11,0,0,0,7,4,0,1,2,0,0,FWMF,d97af612
231,Liam Delap,7,2622,2024-2025,21,eng ENG,Ipswich Town,eng Premier League,37,2622,29.1,32,5,0,12,2,14,10,2,2,0,7,3,0,2,0,2,0,FW,dd897ee7
232,Alexander Bernhardsson,7,1274,2024-2025,25,se SWE,Holstein Kiel,de Bundesliga,19,1274,14.2,15,4,1,7,2,9,7,0,0,0,7,2,0,2,1,1,1,FWMF,dea1d183
233,Hákon Arnar Haraldsson,7,1769,2024-2025,21,is ISL,Lille,fr Ligue 1,25,1769,19.7,21,4,1,5,3,8,5,0,0,0,7,5,1,0,1,0,0,MFFW,e2ae54db
234,Patrick Dorgu,7,1841,2024-2025,19,dk DEN,Lecce,it Serie A,21,1841,20.5,21,0,1,3,1,4,3,0,0,0,7,5,0,0,1,1,0,DFFW,e6536124
235,Ermedin Demirović,7,1869,2024-2025,26,ba BIH,Stuttgart,de Bundesliga,34,1869,20.8,20,14,0,15,1,16,15,0,2,2,7,4,0,0,2,1,0,FW,ed79b7d3
236,Nathan Tella,7,1373,2024-2025,25,ng NGA,Leverkusen,de Bundesliga,27,1373,15.3,17,10,3,2,4,6,2,0,0,0,7,6,0,1,0,0,0,MFFW,f1e94cd6
237,Bilal El Khannouss,7,2201,2024-2025,20,ma MAR,Leicester City,eng Premier League,32,2201,24.5,27,5,3,2,3,5,2,0,0,0,7,5,1,0,1,0,0,MFFW,f7042636
238,Takumi Minamino,7,2248,2024-2025,29,jp JPN,Monaco,fr Ligue 1,31,2248,25.0,27,4,0,6,3,9,6,0,0,0,7,5,0,1,1,0,0,MFFW,f833a830
239,Vedat Muriqi,6,2070,2024-2025,30,xk KVX,Mallorca,es La Liga,29,2070,23.0,24,5,0,7,2,9,5,2,3,1,6,5,0,0,0,1,0,FW,0cadc46d
240,Matias Fernandez-Pardo,6,1075,2024-2025,19,be BEL,Lille,fr Ligue 1,22,1075,11.9,12,10,3,4,2,6,4,0,0,0,6,3,0,1,0,1,1,FWMF,0cdb6a2a
241,Rémy Cabella,6,1019,2024-2025,34,fr FRA,Lille,fr Ligue 1,23,1019,11.3,12,11,4,1,2,3,1,0,0,0,6,2,1,0,1,2,0,FWMF,148e136f
242,Ander Barrenetxea,6,1274,2024-2025,22,es ESP,Real Sociedad,es La Liga,30,1274,14.2,14,16,3,1,3,4,1,0,0,0,6,4,0,0,2,0,0,MFFW,200e89e1
243,Jonas Wind,6,1978,2024-2025,25,dk DEN,Wolfsburg,de Bundesliga,31,1978,22.0,21,10,2,9,3,12,8,1,2,1,6,5,0,0,1,0,0,FWMF,2077ae86
244,Dango Ouattara,6,2019,2024-2025,22,bf BFA,Bournemouth,eng Premier League,32,2019,22.4,21,11,0,7,4,11,7,0,0,0,6,4,0,1,1,0,0,FW,2f9e4435
245,Fabio Miretti,6,1696,2024-2025,20,it ITA,Genoa,it Serie A,25,1696,18.8,22,3,2,3,3,6,3,0,0,0,6,4,2,0,0,0,0,MFFW,34693494
246,Oladapo Afolayan,6,1652,2024-2025,26,eng ENG,St. Pauli,de Bundesliga,32,1652,18.4,17,15,2,3,1,4,3,0,0,0,6,3,0,3,0,0,0,FWMF,5054c359
247,Thierno Barry,6,2333,2024-2025,21,fr FRA,Villarreal,es La Liga,35,2333,25.9,25,10,0,11,4,15,10,1,1,0,6,5,0,1,0,0,0,FW,52c3244b
248,Artem Dovbyk,6,2435,2024-2025,27,ua UKR,Roma,it Serie A,32,2435,27.1,27,5,3,12,2,14,10,2,2,0,6,3,0,2,1,0,0,FW,5b847bb0
249,Irvin Cardona,6,1683,2024-2025,26,fr FRA,2 Teams,2 Comps,31,1683,18.7,18,13,2,6,4,10,6,0,1,1,6,4,0,0,2,0,0,FWMF,5e080f73
250,Manuel Fuster,6,1008,2024-2025,26,es ESP,Las Palmas,es La Liga,28,1008,11.2,8,20,10,2,1,3,2,0,0,0,6,5,0,0,0,0,1,FWMF,618f396a
251,Miguel,6,1736,2024-2025,24,es ESP,Leganés,es La Liga,34,1736,19.3,17,17,3,1,3,4,0,1,2,1,6,5,0,1,0,0,0,FW,6763373d
252,Osame Sahraoui,6,1301,2024-2025,23,ma MAR,Lille,fr Ligue 1,30,1301,14.5,10,20,1,3,3,6,3,0,0,0,6,5,0,0,1,0,0,FWMF,6f9fa232
253,Alexis Claude-Maurice,6,2127,2024-2025,26,fr FRA,Augsburg,de Bundesliga,28,2127,23.6,25,3,3,9,2,11,9,0,0,0,6,3,0,1,0,2,0,MFFW,741418c3
254,Jens Odgaard,6,1972,2024-2025,25,dk DEN,Bologna,it Serie A,29,1972,21.9,24,5,3,6,1,7,6,0,0,0,6,4,0,0,2,0,0,MFFW,75374ee7
255,Oliver McBurnie,6,1849,2024-2025,28,sct SCO,Las Palmas,es La Liga,34,1849,20.5,20,14,4,3,6,9,3,0,0,0,6,6,0,0,0,0,0,FW,78b8ac63
256,Alejandro Garnacho,6,2208,2024-2025,20,ar ARG,Manchester Utd,eng Premier League,36,2208,24.5,23,13,0,6,2,8,6,0,0,0,6,4,0,0,1,1,0,MFFW,7aa8adfe
257,Sebastiano Esposito,6,2350,2024-2025,22,it ITA,Empoli,it Serie A,33,2350,26.1,27,6,1,8,0,8,7,1,2,1,6,0,0,2,3,1,0,FWMF,7ff93107
258,Daniel Maldini,6,1577,2024-2025,22,it ITA,2 Teams,it Serie A,30,1577,17.5,18,12,2,6,0,6,6,0,0,0,6,4,0,0,2,0,0,MFFW,801831fe
259,Sandro Ramírez,6,2052,2024-2025,29,es ESP,Las Palmas,es La Liga,31,2052,22.8,25,6,1,9,3,12,8,1,1,0,6,3,1,0,0,2,0,FWMF,833fb62e
260,Lee Kang-in,6,1677,2024-2025,23,kr KOR,Paris S-G,fr Ligue 1,30,1677,18.6,19,11,2,6,6,12,6,0,0,0,6,5,1,0,0,0,0,FWMF,8455ad90
261,Sorba Thomas,6,1335,2024-2025,24,wls WAL,Nantes,fr Ligue 1,25,1335,14.8,15,10,4,1,3,4,1,0,0,0,6,6,0,0,0,0,0,FWMF,8725a42e
262,Assane Diao,6,1539,2024-2025,18,sn SEN,2 Teams,2 Comps,25,1539,17.1,16,9,8,9,3,12,9,0,0,0,6,4,0,1,0,1,0,FWMF,8ae7d0ec
263,Félix Lemaréchal,6,1789,2024-2025,20,fr FRA,Strasbourg,fr Ligue 1,27,1789,19.9,20,7,5,4,3,7,4,0,0,0,6,6,0,0,0,0,0,MFFW,8ca9415f
264,Lucas Paquetá,6,2390,2024-2025,26,br BRA,West Ham,eng Premier League,33,2390,26.6,27,6,1,4,0,4,2,2,2,0,6,3,0,0,2,1,0,MFFW,9b6f7fd5
265,Patrick Cutrone,6,2065,2024-2025,26,it ITA,Como,it Serie A,33,2065,22.9,23,10,5,7,4,11,7,0,1,1,6,6,0,0,0,0,0,FW,a4fe8cda
266,Omari Hutchinson,6,2594,2024-2025,20,eng ENG,Ipswich Town,eng Premier League,31,2594,28.8,30,1,1,3,2,5,3,0,0,0,6,6,0,0,0,0,0,MFFW,bd9553e6
267,Arnaud Kalimuendo,6,2593,2024-2025,22,fr FRA,Rennes,fr Ligue 1,33,2593,28.8,31,2,0,17,3,20,12,5,8,3,6,4,0,0,2,0,0,FWMF,bf4c41f9
268,Randal Kolo Muani,6,1525,2024-2025,25,fr FRA,2 Teams,2 Comps,26,1525,16.9,15,11,4,10,2,12,8,2,2,0,6,2,0,2,1,1,0,FW,c0b3669f
269,Alberto Moleiro,6,2729,2024-2025,20,es ESP,Las Palmas,es La Liga,35,2729,30.3,32,3,1,6,1,7,6,0,0,0,6,3,0,1,1,1,0,FWMF,c2c8897d
270,Lucas Höler,6,1880,2024-2025,30,de GER,Freiburg,de Bundesliga,31,1880,20.9,21,10,2,6,4,10,6,0,1,1,6,3,0,1,1,1,0,FWMF,ca618d23
271,Juan Cruz,6,2272,2024-2025,24,es ESP,Leganés,es La Liga,34,2272,25.2,26,8,4,5,4,9,5,0,0,0,6,6,0,0,0,0,0,FWMF,cc2dd8a5
272,Domingos André Ribeiro Almeida,6,1997,2024-2025,24,pt POR,Valencia,es La Liga,34,1997,22.2,24,10,2,0,4,4,0,0,0,0,6,5,1,0,0,0,0,MFFW,e6697917
273,Musa Al-Taamari,6,1692,2024-2025,27,jo JOR,2 Teams,fr Ligue 1,26,1692,18.8,19,7,0,3,1,4,3,0,0,0,6,3,0,1,1,1,0,FWMF,f15f8b2b
274,Jørgen Strand Larsen,6,2606,2024-2025,24,no NOR,Wolves,eng Premier League,35,2606,29.0,30,5,0,14,4,18,14,0,0,0,6,6,0,0,0,0,0,FW,f553b2b3
275,Gonçalo Ramos,6,1073,2024-2025,23,pt POR,Paris S-G,fr Ligue 1,22,1073,11.9,12,10,0,10,3,13,8,2,3,1,6,4,0,0,1,1,0,FW,f63cda26
276,Jofre,5,2188,2024-2025,23,es ESP,Espanyol,es La Liga,37,2188,24.3,26,11,0,3,3,6,3,0,0,0,5,4,0,0,0,1,0,MFFW,030ef8d6
277,Phil Harres,5,1553,2024-2025,22,de GER,Holstein Kiel,de Bundesliga,26,1553,17.3,17,9,1,8,1,9,8,0,0,0,5,1,0,0,2,2,0,FW,07db670d
278,Andrea Pinamonti,5,2863,2024-2025,25,it ITA,Genoa,it Serie A,36,2863,31.8,33,3,1,10,1,11,10,0,1,1,5,3,0,0,2,0,0,FW,08aa9cd1
279,Giuseppe Pezzella,5,2889,2024-2025,26,it ITA,Empoli,it Serie A,35,2889,32.1,34,1,2,0,3,3,0,0,0,0,5,5,0,0,0,0,0,DFFW,149c5f5d
280,Akor Adams,5,1215,2024-2025,24,ng NGA,2 Teams,2 Comps,19,1215,13.5,14,5,1,3,1,4,3,0,0,0,5,2,0,1,0,2,0,FW,2ccd39ed
281,Phillip Tietz,5,1700,2024-2025,27,de GER,Augsburg,de Bundesliga,34,1700,18.9,19,15,0,7,2,9,6,1,1,0,5,2,0,1,2,0,0,FW,3397e7b5
