,,,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,,-additional
Rk,Player,Won%,Min,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Won,Lost,Won%,Pos,-9999
66,Mikel Merino,51.8,1586,2024-2025,28,es ESP,Arsenal,eng Premier League,28,1586,17.6,17,11,0,7,2,9,7,0,0,0,59,55,51.8,MFFW,d080ed5e
67,Umar Sadiq,51.6,1052,2024-2025,27,ng NGA,2 Teams,es La Liga,23,1052,11.7,11,12,13,5,0,5,5,0,0,0,32,30,51.6,FW,686cbe7d
68,Marcos André,51.6,1188,2024-2025,27,br BRA,Valladolid,es La Liga,22,1188,13.2,14,8,13,1,2,3,1,0,0,0,47,44,51.6,FW,ae86d473
69,Moise Kean,51.5,2704,2024-2025,24,it ITA,Fiorentina,it Serie A,32,2704,30.0,31,1,0,19,3,22,18,1,2,1,51,48,51.5,FW,3d50bcdb
70,Ben Johnson,51.4,1354,2024-2025,24,eng ENG,Ipswich Town,eng Premier League,23,1354,15.0,14,9,9,1,2,3,1,0,0,0,19,18,51.4,DFFW,9319781b
71,M'Bala Nzola,51.4,1460,2024-2025,27,ao ANG,Lens,fr Ligue 1,21,1460,16.2,16,5,1,6,1,7,6,0,0,0,38,36,51.4,FW,a4948e67
72,Mathias Honsak,51.2,1181,2024-2025,27,at AUT,Heidenheim,de Bundesliga,22,1181,13.1,12,10,0,5,1,6,5,0,0,0,22,21,51.2,FWDF,3dbdbb6a
73,Dominic Calvert-Lewin,51.2,1609,2024-2025,27,eng ENG,Everton,eng Premier League,26,1609,17.9,19,7,0,3,1,4,3,0,0,0,85,81,51.2,FW,59e6e5bf
74,Matteo Cancellieri,50.9,1424,2024-2025,22,it ITA,Parma,it Serie A,27,1424,15.8,19,8,2,3,0,3,3,0,0,0,29,28,50.9,FWMF,b6a1cdf9
75,Ante Budimir,50.7,2952,2024-2025,33,hr CRO,Osasuna,es La Liga,38,2952,32.8,34,4,0,21,4,25,13,8,8,0,136,132,50.7,FW,8f3565b3
76,Adam Hložek,50.6,1871,2024-2025,22,cz CZE,Hoffenheim,de Bundesliga,27,1871,20.8,22,5,0,8,4,12,8,0,0,0,40,39,50.6,FWMF,5521f419
77,Gaëtan Laborde,50.5,1829,2024-2025,30,fr FRA,Nice,fr Ligue 1,28,1829,20.3,20,8,0,11,4,15,7,4,4,0,48,47,50.5,FW,7cdda3bf
78,Coba da Costa,50.0,1006,2024-2025,22,es ESP,Getafe,es La Liga,19,1006,11.2,12,7,11,1,1,2,1,0,0,0,19,19,50.0,MFFW,0b3358f0
79,Breel Embolo,50.0,1841,2024-2025,27,ch SUI,Monaco,fr Ligue 1,29,1841,20.5,19,10,5,6,4,10,6,0,0,0,30,30,50.0,FWMF,0b4f388a
80,Anthony Gordon,50.0,2434,2024-2025,23,eng ENG,Newcastle Utd,eng Premier League,34,2434,27.0,28,6,0,6,5,11,5,1,2,1,8,8,50.0,FWMF,2bd83368
81,Leonardo Spinazzola,50.0,1517,2024-2025,31,it ITA,Napoli,it Serie A,27,1517,16.9,17,10,6,1,1,2,1,0,0,0,3,3,50.0,DFFW,3626daea
82,Alessandro Zanoli,50.0,1711,2024-2025,23,it ITA,Genoa,it Serie A,31,1711,19.0,19,12,4,1,0,1,1,0,0,0,19,19,50.0,FWDF,3b12b11f
83,Iván Sánchez,50.0,1404,2024-2025,31,es ESP,Valladolid,es La Liga,32,1404,15.6,11,21,6,2,1,3,2,0,0,0,11,11,50.0,MFFW,70107d4d
84,Teun Koopmeiners,50.0,1994,2024-2025,26,nl NED,Juventus,it Serie A,28,1994,22.2,23,5,1,3,3,6,3,0,0,0,22,22,50.0,MFFW,a26fb8aa
85,Dani Olmo,50.0,1212,2024-2025,26,es ESP,Barcelona,es La Liga,25,1212,13.5,13,12,2,10,3,13,8,2,2,0,9,9,50.0,MFFW,ae44e8e2
86,Arnaut Danjuma,50.0,1535,2024-2025,27,nl NED,2 Teams,es La Liga,28,1535,17.1,18,10,5,4,0,4,4,0,0,0,3,3,50.0,FW,f08490a6
87,Jonas Wind,49.5,1966,2024-2025,25,dk DEN,Wolfsburg,de Bundesliga,31,1966,21.8,21,10,2,9,3,12,8,1,2,1,98,100,49.5,FWMF,2077ae86
88,Fábio Silva,49.5,1866,2024-2025,22,pt POR,Las Palmas,es La Liga,24,1866,20.7,22,2,0,10,3,13,8,2,3,1,51,52,49.5,FW,e7aa9d7c
89,Kaoru Mitoma,49.1,2603,2024-2025,27,jp JPN,Brighton,eng Premier League,36,2603,28.9,28,8,0,10,4,14,10,0,0,0,26,27,49.1,FWMF,74618572
90,Adama Traoré,49.0,1772,2024-2025,28,es ESP,Fulham,eng Premier League,36,1772,19.7,18,18,1,2,7,9,2,0,0,0,25,26,49.0,FWMF,9a28eba4
91,João Pedro,48.8,1948,2024-2025,22,br BRA,Brighton,eng Premier League,27,1948,21.6,23,4,0,10,6,16,5,5,5,0,41,43,48.8,FWMF,e8832875
