,,,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,,-additional
Rk,Player,Won%,Min,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Won,Lost,Won%,Pos,-9999
297,Florian Thauvin,33.3,1956,2024-2025,31,fr FRA,Udinese,it Serie A,25,1956,21.7,24,1,0,8,3,11,7,1,3,2,5,10,33.3,FWMF,2b9fdeea
298,Jesper Lindstrøm,33.3,1239,2024-2025,24,dk DEN,Everton,eng Premier League,25,1239,13.8,15,10,3,0,1,1,0,0,0,0,6,12,33.3,FW,37dc1a48
299,Gianluca Gaetano,33.3,1009,2024-2025,24,it ITA,2 Teams,it Serie A,28,1009,11.2,8,20,7,2,4,6,2,0,0,0,10,20,33.3,MFFW,3b387cc7
300,Bernardo Silva,33.3,2670,2024-2025,29,pt POR,Manchester City,eng Premier League,33,2670,29.7,29,4,5,4,4,8,4,0,0,0,5,10,33.3,MFFW,3eb22ec9
301,Facundo Buonanotte,33.3,1523,2024-2025,19,ar ARG,Leicester City,eng Premier League,31,1523,16.9,14,17,3,5,2,7,5,0,0,0,18,36,33.3,FWMF,468a7a91
302,Lee Kang-in,33.3,1663,2024-2025,23,kr KOR,Paris S-G,fr Ligue 1,30,1663,18.5,19,11,2,6,6,12,6,0,0,0,5,10,33.3,FWMF,8455ad90
303,Álvaro García,33.3,2559,2024-2025,31,es ESP,Rayo Vallecano,es La Liga,36,2559,28.4,28,8,0,4,5,9,4,0,0,0,9,18,33.3,FWMF,90bbd822
304,Raúl Moro,33.3,2341,2024-2025,21,es ESP,Valladolid,es La Liga,33,2341,26.0,26,7,0,4,5,9,4,0,0,0,8,16,33.3,MFFW,919dd4b1
305,Son Heung-min,33.3,2110,2024-2025,32,kr KOR,Tottenham,eng Premier League,30,2110,23.4,24,6,0,7,9,16,6,1,2,1,6,12,33.3,FW,92e7e919
306,Alexandre Lacazette,33.3,2051,2024-2025,33,fr FRA,Lyon,fr Ligue 1,30,2051,22.8,24,6,0,15,2,17,10,5,6,1,16,32,33.3,FW,9dbb75ca
307,Rayan Cherki,33.3,2041,2024-2025,20,fr FRA,Lyon,fr Ligue 1,30,2041,22.7,22,8,0,8,11,19,8,0,0,0,4,8,33.3,FWMF,b34c63a5
308,Bukayo Saka,33.3,1729,2024-2025,22,eng ENG,Arsenal,eng Premier League,25,1729,19.2,20,5,0,6,10,16,5,1,1,0,10,20,33.3,FWMF,bc7dc64d
309,Fermin López,33.3,1252,2024-2025,21,es ESP,Barcelona,es La Liga,28,1252,13.9,12,16,3,6,5,11,6,0,0,0,9,18,33.3,MFFW,c1fe5f0b
310,Yankuba Minteh,33.3,1838,2024-2025,20,gm GAM,Brighton,eng Premier League,32,1838,20.4,20,12,1,6,4,10,6,0,0,0,17,34,33.3,FWMF,c3cf087d
311,Keito Nakamura,33.3,2649,2024-2025,24,jp JPN,Reims,fr Ligue 1,32,2649,29.4,31,1,0,11,2,13,11,0,0,0,7,14,33.3,FWMF,d97af612
312,Viktor Tsyhankov,33.3,1913,2024-2025,26,ua UKR,Girona,es La Liga,27,1913,21.3,23,4,1,2,5,7,2,0,0,0,9,18,33.3,FWMF,f7e87032
313,Sávio,33.3,1766,2024-2025,20,br BRA,Manchester City,eng Premier League,29,1766,19.6,21,8,7,1,8,9,1,0,0,0,1,2,33.3,FWMF,fe6e7156
314,Junior Adamu,32.9,1545,2024-2025,23,at AUT,Freiburg,de Bundesliga,25,1545,17.2,19,6,5,2,2,4,2,0,0,0,53,108,32.9,FW,82e12fe7
315,Frank Magri,32.8,1516,2024-2025,24,cm CMR,Toulouse,fr Ligue 1,31,1516,16.8,17,14,0,5,1,6,5,0,0,0,40,82,32.8,FWMF,42fdb11d
316,Valentin Mihaila,32.5,1288,2024-2025,24,ro ROU,Parma,it Serie A,21,1288,14.3,16,5,2,0,3,3,0,0,0,0,13,27,32.5,FWMF,81a4c239
317,Kamaldeen Sulemana,32.5,1402,2024-2025,22,gh GHA,Southampton,eng Premier League,26,1402,15.6,17,9,2,1,1,2,1,0,0,0,13,27,32.5,FWMF,a62f8bf1
318,Carles Pérez,32.5,1431,2024-2025,26,es ESP,Getafe,es La Liga,27,1431,15.9,15,12,11,3,0,3,3,0,0,0,13,27,32.5,MFFW,a8f21b9f
319,Mohamed Ali Cho,32.5,1621,2024-2025,20,fr FRA,Nice,fr Ligue 1,27,1621,18.0,21,6,2,3,4,7,3,0,0,0,13,27,32.5,FWMF,f8405304
320,Omar Marmoush,32.4,2623,2024-2025,25,eg EGY,2 Teams,2 Comps,33,2623,29.1,31,2,0,22,9,31,20,2,2,0,12,25,32.4,FWMF,0e0102eb
321,Fabio Miretti,32.4,1677,2024-2025,20,it ITA,Genoa,it Serie A,25,1677,18.6,22,3,2,3,3,6,3,0,0,0,11,23,32.4,MFFW,34693494
322,Abel Ruiz,32.1,1346,2024-2025,24,es ESP,Girona,es La Liga,23,1346,15.0,17,6,4,4,0,4,3,1,2,1,9,19,32.1,FW,6cbf8d0d
323,Alexander Isak,32.1,2756,2024-2025,24,se SWE,Newcastle Utd,eng Premier League,34,2756,30.6,34,0,0,23,6,29,19,4,4,0,26,55,32.1,FW,8e92be30
324,Paulo Dybala,32.0,1417,2024-2025,30,ar ARG,Roma,it Serie A,24,1417,15.7,16,8,7,6,3,9,3,3,3,0,8,17,32.0,FWMF,e0921a4f
325,Alassane Pléa,31.9,1902,2024-2025,31,fr FRA,Gladbach,de Bundesliga,30,1902,21.1,24,6,2,11,4,15,10,1,1,0,15,32,31.9,MFFW,bc6bd723
326,Jordan Ayew,31.9,1659,2024-2025,32,gh GHA,2 Teams,eng Premier League,31,1659,18.4,19,12,6,5,0,5,4,1,1,0,38,81,31.9,FWMF,da052c14
327,Sebastiano Esposito,31.7,2331,2024-2025,22,it ITA,Empoli,it Serie A,33,2331,25.9,27,6,1,8,0,8,7,1,2,1,26,56,31.7,FWMF,7ff93107
328,Bryan Mbeumo,31.5,3414,2024-2025,24,cm CMR,Brentford,eng Premier League,38,3414,37.9,38,0,0,20,7,27,15,5,6,1,34,74,31.5,FW,6afaebf2
329,Giacomo Raspadori,31.3,1103,2024-2025,24,it ITA,Napoli,it Serie A,26,1103,12.3,11,15,12,6,1,7,6,0,0,0,5,11,31.3,FWMF,6e058f06
330,Kamory Doumbia,31.3,1322,2024-2025,21,ml MLI,Brest,fr Ligue 1,30,1322,14.7,13,17,1,3,2,5,3,0,0,0,10,22,31.3,MFFW,9226aa22
331,Giovani Lo Celso,31.3,1457,2024-2025,28,ar ARG,Betis,es La Liga,25,1457,16.2,15,10,0,8,3,11,6,2,3,1,5,11,31.3,MFFW,d7553721
332,Antonio Sanabria,31.0,1318,2024-2025,28,py PAR,Torino,it Serie A,26,1318,14.6,16,10,10,2,1,3,2,0,1,1,26,58,31.0,FW,0a447501
333,Isaac Palazón Camacho,31.0,2162,2024-2025,29,es ESP,Rayo Vallecano,es La Liga,35,2162,24.0,25,10,0,4,4,8,4,0,0,0,18,40,31.0,MFFW,49dbab27
334,Matheus Cunha,31.0,2597,2024-2025,25,br BRA,Wolves,eng Premier League,33,2597,28.9,29,4,0,15,6,21,15,0,0,0,13,29,31.0,MFFW,dc62b55d
335,Benedict Hollerbach,30.9,2540,2024-2025,23,de GER,Union Berlin,de Bundesliga,34,2540,28.2,30,4,0,9,1,10,9,0,0,0,29,65,30.9,FWMF,2a158218
336,Mikkel Damsgaard,30.8,2911,2024-2025,24,dk DEN,Brentford,eng Premier League,38,2911,32.3,34,4,0,2,10,12,2,0,0,0,12,27,30.8,MFFW,215f3907
337,Ritsu Doan,30.8,2862,2024-2025,26,jp JPN,Freiburg,de Bundesliga,34,2862,31.8,33,1,0,10,7,17,10,0,0,0,16,36,30.8,FWMF,d01bbb6f
338,Nathan Tella,30.6,1359,2024-2025,25,ng NGA,Leverkusen,de Bundesliga,27,1359,15.1,17,10,3,2,4,6,2,0,0,0,11,25,30.6,MFFW,f1e94cd6
339,Lorenzo Colombo,30.5,2233,2024-2025,22,it ITA,Empoli,it Serie A,37,2233,24.8,26,11,0,6,2,8,5,1,1,0,53,121,30.5,FWMF,04df29a5
340,Mikel Oyarzabal,30.5,2250,2024-2025,27,es ESP,Real Sociedad,es La Liga,35,2250,25.0,28,7,2,9,3,12,5,4,4,0,32,73,30.5,FW,8c3c640c
341,Gabriel Martinelli,30.4,2290,2024-2025,23,br BRA,Arsenal,eng Premier League,33,2290,25.4,25,8,2,8,4,12,8,0,0,0,17,39,30.4,FWMF,48a5a5d6
342,Rodrygo,30.4,1928,2024-2025,23,br BRA,Real Madrid,es La Liga,30,1928,21.4,22,8,1,6,5,11,6,0,0,0,7,16,30.4,FWMF,8f5e92a6
343,Eren Dinkçi,30.0,1196,2024-2025,22,de GER,Freiburg,de Bundesliga,23,1196,13.3,13,10,2,0,3,3,0,0,0,0,6,14,30.0,MFFW,4ccd8957
344,Oumar Diakité,29.8,1628,2024-2025,20,ci CIV,Reims,fr Ligue 1,26,1628,18.1,20,6,3,4,1,5,4,0,1,1,25,59,29.8,FW,44435c8f
345,Oladapo Afolayan,29.7,1639,2024-2025,26,eng ENG,St. Pauli,de Bundesliga,32,1639,18.2,17,15,2,3,1,4,3,0,0,0,19,45,29.7,FWMF,5054c359
346,Lassine Sinayoko,29.7,2299,2024-2025,24,ml MLI,Auxerre,fr Ligue 1,34,2299,25.5,25,9,0,5,8,13,4,1,1,0,27,64,29.7,FWMF,5e5249c8
347,Mohamed Amoura,29.7,2467,2024-2025,24,dz ALG,Wolfsburg,de Bundesliga,31,2467,27.4,29,2,0,10,9,19,8,2,2,0,19,45,29.7,FW,6597f8b6
348,Sergio Camello,29.7,1134,2024-2025,23,es ESP,Rayo Vallecano,es La Liga,23,1134,12.6,14,9,2,3,2,5,3,0,0,0,11,26,29.7,FW,873619c6
349,Enzo Millot,29.6,1843,2024-2025,22,fr FRA,Stuttgart,de Bundesliga,29,1843,20.5,22,7,2,6,5,11,6,0,1,1,8,19,29.6,MFFW,f76022e7
350,Julián Álvarez,29.5,2509,2024-2025,24,ar ARG,Atlético Madrid,es La Liga,37,2509,27.9,30,7,0,17,4,21,13,4,4,0,13,31,29.5,FW,15ab5a2b
351,Jim Allevinah,29.4,1750,2024-2025,29,ga GAB,Angers,fr Ligue 1,28,1750,19.4,23,5,0,1,3,4,1,0,0,0,10,24,29.4,FW,1956b948
352,Gabriel Strefezza,29.4,2619,2024-2025,27,br BRA,Como,it Serie A,37,2619,29.1,32,5,0,6,4,10,6,0,0,0,10,24,29.4,FWMF,ac4a4508
353,Borja Mayoral,29.3,1114,2024-2025,27,es ESP,Getafe,es La Liga,24,1114,12.4,7,17,1,5,1,6,4,1,1,0,17,41,29.3,FW,64e8ed6d
354,Sorba Thomas,29.2,1321,2024-2025,24,wls WAL,Nantes,fr Ligue 1,25,1321,14.7,15,10,4,1,3,4,1,0,0,0,7,17,29.2,FWMF,8725a42e
355,Shavy Babicka,29.2,1186,2024-2025,24,ga GAB,Toulouse,fr Ligue 1,30,1186,13.2,11,19,2,4,2,6,4,0,0,0,7,17,29.2,MFFW,c6f0d5d4
356,Pablo Durán,28.9,1394,2024-2025,23,es ESP,Celta Vigo,es La Liga,27,1394,15.5,15,12,10,4,4,8,4,0,0,0,13,32,28.9,FWMF,6db116ec
357,Ayoze Pérez,28.9,1970,2024-2025,31,es ESP,Villarreal,es La Liga,30,1970,21.9,22,8,0,19,2,21,19,0,0,0,13,32,28.9,FW,819aa8e7
358,Anass Zaroury,28.6,1405,2024-2025,23,ma MAR,Lens,fr Ligue 1,28,1405,15.6,16,12,4,2,2,4,2,0,0,0,2,5,28.6,FWMF,07d65234
359,Harvey Barnes,28.6,1755,2024-2025,26,eng ENG,Newcastle Utd,eng Premier League,33,1755,19.5,17,16,1,9,4,13,9,0,0,0,6,15,28.6,FW,3ea50f67
360,Serge Gnabry,28.6,1242,2024-2025,29,de GER,Bayern Munich,de Bundesliga,27,1242,13.8,13,14,2,7,5,12,7,0,1,1,4,10,28.6,FWMF,88e357ef
361,Marcus Rashford,28.6,1422,2024-2025,26,eng ENG,2 Teams,eng Premier League,25,1422,15.8,16,9,1,6,3,9,5,1,1,0,6,15,28.6,FWMF,a1d5bd30
362,Amine Gouiri,28.6,2085,2024-2025,24,dz ALG,2 Teams,fr Ligue 1,33,2085,23.2,23,10,0,13,5,18,13,0,0,0,10,25,28.6,FWMF,aad56ca3
363,Tyler Dibling,28.6,1874,2024-2025,18,eng ENG,Southampton,eng Premier League,33,1874,20.8,20,13,1,2,0,2,2,0,0,0,10,25,28.6,FWMF,bdcc89ae
364,Adri Embarba,28.3,1607,2024-2025,32,es ESP,Rayo Vallecano,es La Liga,35,1607,17.9,18,17,3,1,1,2,1,0,0,0,13,33,28.3,FWMF,db8f0eba
365,Josué Casimir,28.1,1997,2024-2025,22,fr FRA,Le Havre,fr Ligue 1,27,1997,22.2,23,4,0,4,4,8,4,0,0,0,9,23,28.1,FWMF,481f76cf
366,Joshua Zirkzee,28.0,1402,2024-2025,23,nl NED,Manchester Utd,eng Premier League,32,1402,15.6,14,18,0,3,1,4,3,0,0,0,21,54,28.0,FWMF,028e70b9
367,Jack Clarke,28.0,1181,2024-2025,23,eng ENG,Ipswich Town,eng Premier League,32,1181,13.1,12,20,3,0,4,4,0,0,0,0,7,18,28.0,FWMF,e16932d8
368,Wahbi Khazri,27.6,1118,2024-2025,33,tn TUN,Montpellier,fr Ligue 1,30,1118,12.4,10,20,2,1,1,2,1,0,0,0,8,21,27.6,FWMF,2677a1de
369,Jonathan David,27.6,2554,2024-2025,24,ca CAN,Lille,fr Ligue 1,32,2554,28.4,28,4,0,16,5,21,10,6,7,1,16,42,27.6,FW,ce50fd99
370,Rémy Cabella,27.3,1011,2024-2025,34,fr FRA,Lille,fr Ligue 1,23,1011,11.2,12,11,4,1,2,3,1,0,0,0,3,8,27.3,FWMF,148e136f
371,Sofiane Diop,27.3,1064,2024-2025,24,fr FRA,Nice,fr Ligue 1,28,1064,11.8,8,20,1,6,4,10,6,0,0,0,3,8,27.3,MFFW,19053e31
372,Boulaye Dia,27.3,2177,2024-2025,27,sn SEN,Lazio,it Serie A,35,2177,24.2,27,8,2,9,3,12,9,0,0,0,21,56,27.3,MFFW,244bc2c8
373,Georges Mikautadze,27.3,1449,2024-2025,23,ge GEO,Lyon,fr Ligue 1,34,1449,16.1,13,21,0,11,6,17,8,3,4,1,15,40,27.3,FW,4788cb6b
374,Jesus Rodríguez,27.3,1111,2024-2025,18,es ESP,Betis,es La Liga,21,1111,12.3,15,6,3,2,0,2,2,0,0,0,3,8,27.3,FW,f9f74e43
375,Arnaud Kalimuendo,27.2,2578,2024-2025,22,fr FRA,Rennes,fr Ligue 1,33,2578,28.6,31,2,0,17,3,20,12,5,8,3,22,59,27.2,FWMF,bf4c41f9
376,Yassine Kechta,27.0,2096,2024-2025,22,ma MAR,Le Havre,fr Ligue 1,31,2096,23.3,25,6,2,2,0,2,2,0,0,0,10,27,27.0,MFFW,abefc3af
377,Gaetano Oristanio,26.9,2315,2024-2025,21,it ITA,Venezia,it Serie A,37,2315,25.7,29,8,1,3,3,6,3,0,0,0,14,38,26.9,FWMF,5cfc74fc
378,Pedro Neto,26.8,2269,2024-2025,24,pt POR,Chelsea,eng Premier League,35,2269,25.2,24,11,1,4,6,10,4,0,0,0,11,30,26.8,FW,7ba2eaa9
379,Antony,26.3,1362,2024-2025,24,br BRA,Betis,es La Liga,17,1362,15.1,15,2,0,5,2,7,5,0,0,0,5,14,26.3,FW,99127249
380,Joe Willock,26.3,1086,2024-2025,24,eng ENG,Newcastle Utd,eng Premier League,32,1086,12.1,11,21,1,0,2,2,0,0,0,0,5,14,26.3,MFFW,a3b03921
381,Zito Luvumbo,26.1,1606,2024-2025,22,ao ANG,Cagliari,it Serie A,26,1606,17.8,19,7,2,2,2,4,2,0,0,0,6,17,26.1,FWMF,b09e0873
382,Brennan Johnson,25.9,2177,2024-2025,23,wls WAL,Tottenham,eng Premier League,33,2177,24.2,24,9,2,11,3,14,11,0,0,0,7,20,25.9,FW,0cd31129
383,Andrej Kramarić,25.8,2767,2024-2025,33,hr CRO,Hoffenheim,de Bundesliga,32,2767,30.7,32,0,0,11,8,19,8,3,3,0,8,23,25.8,MFFW,603cb947
384,Patrick Cutrone,25.8,2047,2024-2025,26,it ITA,Como,it Serie A,33,2047,22.7,23,10,5,7,4,11,7,0,1,1,23,66,25.8,FW,a4fe8cda
385,Luis Díaz,25.5,2399,2024-2025,27,co COL,Liverpool,eng Premier League,36,2399,26.7,28,8,2,13,5,18,13,0,0,0,13,38,25.5,FW,4a1a9578
386,Lamine Yamal,25.0,2856,2024-2025,17,es ESP,Barcelona,es La Liga,35,2856,31.7,31,4,0,9,13,22,9,0,0,0,1,3,25.0,FW,82ec26c1
387,Antoniu,25.0,1022,2024-2025,21,es ESP,Espanyol,es La Liga,26,1022,11.4,13,13,9,0,1,1,0,0,0,0,6,18,25.0,FWMF,af784a9e
388,Albert Guðmundsson,25.0,1273,2024-2025,27,is ISL,Fiorentina,it Serie A,24,1273,14.1,16,8,3,6,1,7,4,2,2,0,4,12,25.0,FWMF,b79858d5
389,Domingos André Ribeiro Almeida,25.0,1977,2024-2025,24,pt POR,Valencia,es La Liga,34,1977,22.0,24,10,2,0,4,4,0,0,0,0,5,15,25.0,MFFW,e6697917
390,Dani Raba,25.0,1879,2024-2025,28,es ESP,Leganés,es La Liga,29,1879,20.9,24,5,5,8,6,14,4,4,5,1,5,15,25.0,FWMF,ea6a7ab4
391,Phil Foden,25.0,1777,2024-2025,24,eng ENG,Manchester City,eng Premier League,28,1777,19.7,20,8,5,7,2,9,7,0,0,0,3,9,25.0,MFFW,ed1e53f3
392,Rasmus Højlund,24.8,2004,2024-2025,21,dk DEN,Manchester Utd,eng Premier League,32,2004,22.3,23,9,2,4,0,4,4,0,0,0,31,94,24.8,FW,491a433d
393,Johannes Eggestein,24.8,1853,2024-2025,26,de GER,St. Pauli,de Bundesliga,27,1853,20.6,22,5,5,3,4,7,2,1,2,1,28,85,24.8,FW,d571df78
394,Ange-Yoan Bonny,24.7,2529,2024-2025,20,fr FRA,Parma,it Serie A,37,2529,28.1,30,7,0,6,4,10,4,2,3,1,23,70,24.7,FW,64629ba4
395,Casper Tengstedt,24.7,1517,2024-2025,24,dk DEN,Hellas Verona,it Serie A,25,1517,16.9,20,5,4,6,1,7,5,1,1,0,20,61,24.7,FW,ff2fb007
396,Steven Skrzybski,24.0,1323,2024-2025,31,de GER,Holstein Kiel,de Bundesliga,24,1323,14.7,15,9,0,6,3,9,5,1,1,0,6,19,24.0,MFFW,58ce23e5
397,Iliman Ndiaye,24.0,2430,2024-2025,24,sn SEN,Everton,eng Premier League,33,2430,27.0,29,4,0,9,0,9,7,2,2,0,6,19,24.0,FW,5ed97752
398,Ridle Baku,23.8,1170,2024-2025,26,de GER,Wolfsburg,de Bundesliga,15,1170,13.0,14,1,0,2,1,3,2,0,0,0,5,16,23.8,FWMF,442b56fa
399,Danel Sinani,23.8,1250,2024-2025,27,lu LUX,St. Pauli,de Bundesliga,26,1250,13.9,14,12,7,2,2,4,2,0,0,0,10,32,23.8,FWMF,96ddfa79
400,Jacob Murphy,23.8,2360,2024-2025,29,eng ENG,Newcastle Utd,eng Premier League,35,2360,26.2,31,4,2,8,12,20,8,0,0,0,5,16,23.8,FW,de112b84
401,Kevin De Bruyne,23.8,1702,2024-2025,33,be BEL,Manchester City,eng Premier League,28,1702,18.9,19,9,5,4,7,11,4,0,0,0,5,16,23.8,MFFW,e46012d4
402,Peque,23.5,1134,2024-2025,21,es ESP,Sevilla,es La Liga,26,1134,12.6,14,12,11,1,1,2,1,0,0,0,8,26,23.5,MFFW,cb971b4f
403,Kenan Yıldız,23.5,2402,2024-2025,19,tr TUR,Juventus,it Serie A,35,2402,26.7,28,7,1,7,4,11,7,0,0,0,8,26,23.5,FWMF,d8cda243
404,Miguel,23.2,1724,2024-2025,24,es ESP,Leganés,es La Liga,34,1724,19.2,17,17,3,1,3,4,0,1,2,1,29,96,23.2,FW,6763373d
405,Cameron Archer,23.1,1441,2024-2025,23,eng ENG,Southampton,eng Premier League,35,1441,16.0,13,22,2,2,0,2,2,0,1,1,9,30,23.1,FW,05e8ca6d
406,Callum Hudson-Odoi,23.1,2194,2024-2025,23,eng ENG,Nott'ham Forest,eng Premier League,31,2194,24.4,25,6,1,5,2,7,5,0,0,0,3,10,23.1,FWMF,15f3ec41
407,Javi Puado,23.1,2974,2024-2025,26,es ESP,Espanyol,es La Liga,35,2974,33.0,35,0,0,12,4,16,7,5,5,0,9,30,23.1,FWMF,2683eda7
408,David Neres,23.1,1283,2024-2025,27,br BRA,Napoli,it Serie A,28,1283,14.3,13,15,1,2,4,6,2,0,0,0,3,10,23.1,FW,4f1e6a0b
409,Matteo Politano,23.1,2804,2024-2025,30,it ITA,Napoli,it Serie A,37,2804,31.2,34,3,0,3,4,7,3,0,0,0,6,20,23.1,FWMF,5e861944
410,Mario Götze,23.1,1542,2024-2025,32,de GER,Eint Frankfurt,de Bundesliga,24,1542,17.1,18,6,4,3,2,5,3,0,0,0,3,10,23.1,MFFW,9efa1d25
411,Mitchel Bakker,23.1,1139,2024-2025,24,nl NED,Lille,fr Ligue 1,24,1139,12.7,14,10,3,3,2,5,3,0,0,0,3,10,23.1,FWDF,a8567629
412,Tiago Tomás,23.1,1884,2024-2025,22,pt POR,Wolfsburg,de Bundesliga,32,1884,20.9,23,9,1,6,1,7,6,0,0,0,9,30,23.1,FWMF,b492126a
413,Zuriko Davitashvili,23.0,2778,2024-2025,23,ge GEO,Saint-Étienne,fr Ligue 1,33,2778,30.9,32,1,0,9,8,17,7,2,2,0,14,47,23.0,FWMF,88b4d2e3
414,Ludovic Blas,22.9,2293,2024-2025,26,fr FRA,Rennes,fr Ligue 1,29,2293,25.5,26,3,0,6,8,14,6,0,0,0,11,37,22.9,MFFW,6191093d
415,Jofre,22.7,2165,2024-2025,23,es ESP,Espanyol,es La Liga,37,2165,24.1,26,11,0,3,3,6,3,0,0,0,5,17,22.7,MFFW,030ef8d6
416,Gianluca Caprari,22.2,1651,2024-2025,31,it ITA,Monza,it Serie A,34,1651,18.3,18,16,0,3,2,5,1,2,2,0,4,14,22.2,MFFW,54e53b7e
417,Farid El Melali,22.2,1893,2024-2025,27,dz ALG,Angers,fr Ligue 1,32,1893,21.0,22,10,0,2,3,5,2,0,0,0,6,21,22.2,FW,d21e361a
418,Cole Palmer,22.2,3191,2024-2025,22,eng ENG,Chelsea,eng Premier League,37,3191,35.5,36,1,0,15,8,23,11,4,5,1,2,7,22.2,MFFW,dc7f8a28
419,Mohammed Kudus,21.6,2590,2024-2025,23,gh GHA,West Ham,eng Premier League,32,2590,28.8,31,1,0,5,3,8,5,0,0,0,11,40,21.6,FWMF,b62878a5
420,Sebastian Nanasi,21.4,2107,2024-2025,22,se SWE,Strasbourg,fr Ligue 1,31,2107,23.4,26,5,1,6,4,10,6,0,0,0,3,11,21.4,MFFW,ce747d2a
421,Christian Pulisic,20.8,2478,2024-2025,25,us USA,Milan,it Serie A,34,2478,27.5,29,5,0,11,9,20,8,3,4,1,11,42,20.8,FWMF,1bf33a9a
422,Moses Simon,20.8,2609,2024-2025,29,ng NGA,Nantes,fr Ligue 1,32,2609,29.0,31,1,0,8,10,18,4,4,4,0,10,38,20.8,FWMF,5f3eaaf5
423,Marco Grüll,20.8,1181,2024-2025,26,at AUT,Werder Bremen,de Bundesliga,30,1181,13.1,13,17,1,6,1,7,6,0,0,0,5,19,20.8,FWMF,8babb812
424,Diego López,20.3,2737,2024-2025,22,es ESP,Valencia,es La Liga,38,2737,30.4,35,3,0,8,5,13,8,0,0,0,14,55,20.3,MFFW,c487901c
425,Morgan Rogers,20.0,3114,2024-2025,22,eng ENG,Aston Villa,eng Premier League,37,3114,34.6,37,0,0,8,10,18,8,0,0,0,13,52,20.0,FWMF,2e5915f1
426,Leandro Trossard,20.0,2546,2024-2025,29,be BEL,Arsenal,eng Premier League,38,2546,28.3,28,10,0,8,7,15,8,0,0,0,6,24,20.0,FW,38ceb24a
427,Tim Skarke,20.0,1164,2024-2025,27,de GER,Union Berlin,de Bundesliga,33,1164,12.9,11,22,1,0,2,2,0,0,0,0,10,40,20.0,FWMF,65857fdf
428,Jarrod Bowen,20.0,2973,2024-2025,27,eng ENG,West Ham,eng Premier League,34,2973,33.0,34,0,0,13,8,21,12,1,1,0,12,48,20.0,FWMF,79c84d1c
429,Harry Wilson,20.0,1162,2024-2025,27,wls WAL,Fulham,eng Premier League,25,1162,12.9,12,13,3,6,1,7,6,0,0,0,5,20,20.0,FWMF,c6dc9ecd
430,Florian Wirtz,20.0,2351,2024-2025,21,de GER,Leverkusen,de Bundesliga,31,2351,26.1,25,6,0,10,12,22,8,2,4,2,9,36,20.0,MFFW,e7fcf289
431,Jonathan Burkardt,19.0,2109,2024-2025,24,de GER,Mainz 05,de Bundesliga,29,2109,23.4,28,1,0,18,2,20,16,2,2,0,20,85,19.0,FW,05f99a4a
432,Gaëtan Perrin,18.8,2691,2024-2025,28,fr FRA,Auxerre,fr Ligue 1,34,2691,29.9,31,3,0,10,11,21,10,0,0,0,3,13,18.8,MFFW,10dd88f9
433,Manuel Fuster,18.8,1003,2024-2025,26,es ESP,Las Palmas,es La Liga,28,1003,11.1,8,20,10,2,1,3,2,0,0,0,3,13,18.8,FWMF,618f396a
434,Léo Scienza,18.8,1153,2024-2025,25,br BRA,Heidenheim,de Bundesliga,25,1153,12.8,13,12,6,3,3,6,3,0,0,0,3,13,18.8,FWMF,79064bc9
435,Omari Hutchinson,18.8,2583,2024-2025,20,eng ENG,Ipswich Town,eng Premier League,31,2583,28.7,30,1,1,3,2,5,3,0,0,0,6,26,18.8,MFFW,bd9553e6
436,Alberto Moleiro,18.5,2714,2024-2025,20,es ESP,Las Palmas,es La Liga,35,2714,30.2,32,3,1,6,1,7,6,0,0,0,5,22,18.5,FWMF,c2c8897d
437,Alex Iwobi,18.4,2981,2024-2025,28,ng NGA,Fulham,eng Premier League,38,2981,33.1,35,3,0,9,6,15,9,0,0,0,7,31,18.4,FWMF,6ca5ec4b
438,Francisco Conceição,18.2,1340,2024-2025,21,pt POR,Juventus,it Serie A,26,1340,14.9,12,14,2,3,3,6,3,0,0,0,2,9,18.2,FWMF,5ef3d210
439,Maghnes Akliouche,17.9,2406,2024-2025,22,fr FRA,Monaco,fr Ligue 1,32,2406,26.7,27,5,0,5,10,15,4,1,1,0,5,23,17.9,FWMF,b625b241
440,Alfon,17.6,1371,2024-2025,25,es ESP,Celta Vigo,es La Liga,26,1371,15.2,14,12,9,5,2,7,5,0,0,0,3,14,17.6,FWMF,1c772b46
441,Brahim Díaz,17.6,1385,2024-2025,24,ma MAR,Real Madrid,es La Liga,31,1385,15.4,16,15,0,4,2,6,4,0,0,0,3,14,17.6,FWMF,407feb71
442,Tomáš Suslov,16.7,2080,2024-2025,22,sk SVK,Hellas Verona,it Serie A,31,2080,23.1,27,4,0,0,1,1,0,0,0,0,5,25,16.7,MFFW,83fe71b8
443,Bryan Zaragoza,16.7,1836,2024-2025,23,es ESP,Osasuna,es La Liga,27,1836,20.4,22,5,1,1,6,7,1,0,0,0,2,10,16.7,FWMF,a96103b2
444,Takuma Asano,16.1,1054,2024-2025,29,jp JPN,Mallorca,es La Liga,21,1054,11.7,13,8,2,2,1,3,2,0,0,0,5,26,16.1,FWMF,13ddc856
