,,,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Total,Total,Total,,,,,,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,,-additional
Rk,Player,Cmp,Min,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Cmp,Att,Cmp%,KP,1/3,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Pos,-9999
305,Valentin Mihaila,325,1300,2024-2025,24,ro ROU,Parma,it Serie A,21,1300,14.4,16,5,2,0,3,3,0,0,0,0,325,431,75.4,17,28,17,3,41,4879,1423,181,217,83.4,103,130,79.2,24,50,48.0,FWMF,81a4c239
306,Mathias Honsak,324,1186,2024-2025,27,at AUT,Heidenheim,de Bundesliga,22,1186,13.2,12,10,0,5,1,6,5,0,0,0,324,462,70.1,14,22,12,9,29,5737,1580,147,189,77.8,139,182,76.4,34,65,52.3,FWDF,3dbdbb6a
307,Kevin Schade,323,2313,2024-2025,22,de GER,Brentford,eng Premier League,38,2313,25.7,26,12,0,11,2,13,11,0,0,0,323,541,59.7,23,32,11,3,38,4930,1389,185,265,69.8,111,180,61.7,18,43,41.9,FW,52afb588
308,Daniel Maldini,322,1577,2024-2025,22,it ITA,2 Teams,it Serie A,30,1577,17.5,18,12,2,6,0,6,6,0,0,0,322,479,67.2,15,17,9,2,41,5042,1000,178,229,77.7,109,152,71.7,25,52,48.1,MFFW,801831fe
309,Amin Sarr,322,1927,2024-2025,23,se SWE,Hellas Verona,it Serie A,32,1927,21.4,25,7,4,4,1,5,4,0,0,0,322,460,70.0,22,26,16,2,41,4253,808,194,249,77.9,84,116,72.4,15,23,65.2,FW,d5326924
310,Artem Dovbyk,321,2435,2024-2025,27,ua UKR,Roma,it Serie A,32,2435,27.1,27,5,3,12,2,14,10,2,2,0,321,433,74.1,25,17,4,0,16,3515,432,212,275,77.1,62,80,77.5,5,6,83.3,FW,5b847bb0
311,Oladapo Afolayan,320,1652,2024-2025,26,eng ENG,St. Pauli,de Bundesliga,32,1652,18.4,17,15,2,3,1,4,3,0,0,0,320,461,69.4,21,23,14,10,32,5556,1270,148,185,80.0,129,165,78.2,35,55,63.6,FWMF,5054c359
312,Chris Wood,315,2980,2024-2025,32,nz NZL,Nott'ham Forest,eng Premier League,36,2980,33.1,35,1,0,20,3,23,17,3,3,0,315,490,64.3,22,19,12,1,42,4434,1018,186,272,68.4,88,134,65.7,19,26,73.1,FW,4e9a0555
313,Ayoze Pérez,314,1982,2024-2025,31,es ESP,Villarreal,es La Liga,30,1982,22.0,22,8,0,19,2,21,19,0,0,0,314,414,75.8,32,37,21,5,73,5024,1316,143,175,81.7,138,166,83.1,19,30,63.3,FW,819aa8e7
314,Steven Skrzybski,312,1333,2024-2025,31,de GER,Holstein Kiel,de Bundesliga,24,1333,14.8,15,9,0,6,3,9,5,1,1,0,312,446,70.0,22,36,16,7,64,5441,1645,144,184,78.3,130,175,74.3,31,62,50.0,MFFW,58ce23e5
315,Santiago Pierotti,311,1952,2024-2025,23,ar ARG,Lecce,it Serie A,36,1952,21.7,22,14,1,4,2,6,4,0,0,0,311,436,71.3,25,27,9,3,38,4334,1135,192,234,82.1,93,126,73.8,13,22,59.1,FW,ec315772
316,Isaac Romero,310,2174,2024-2025,24,es ESP,Sevilla,es La Liga,31,2174,24.2,26,5,1,4,2,6,4,0,1,1,310,441,70.3,20,20,11,4,29,4995,703,172,222,77.5,92,130,70.8,31,43,72.1,FW,be719093
317,Fábio Silva,309,1879,2024-2025,22,pt POR,Las Palmas,es La Liga,24,1879,20.9,22,2,0,10,3,13,8,2,3,1,309,466,66.3,16,13,14,3,26,4149,710,181,250,72.4,83,125,66.4,16,29,55.2,FW,e7aa9d7c
318,Mathias Pereira Lage,308,1583,2024-2025,27,pt POR,Brest,fr Ligue 1,29,1583,17.6,18,11,5,2,7,9,2,0,0,0,308,490,62.9,22,23,14,6,41,4867,1688,167,215,77.7,108,162,66.7,26,75,34.7,FWMF,8846a40f
319,Gaetano Oristanio,307,2339,2024-2025,21,it ITA,Venezia,it Serie A,37,2339,26.0,29,8,1,3,3,6,3,0,0,0,307,443,69.3,33,32,22,8,64,4984,1398,157,196,80.1,105,147,71.4,30,50,60.0,FWMF,5cfc74fc
320,Ollie Watkins,307,2617,2024-2025,28,eng ENG,Aston Villa,eng Premier League,38,2617,29.1,31,7,0,16,8,24,14,2,2,0,307,424,72.4,24,12,13,0,31,3915,656,192,246,78.0,85,110,77.3,9,13,69.2,FW,aed3a70f
321,Fares Chaïbi,304,1021,2024-2025,21,dz ALG,Eint Frankfurt,de Bundesliga,26,1021,11.3,10,16,4,1,3,4,1,0,0,0,304,462,65.8,24,31,18,6,52,5146,1801,155,191,81.2,105,140,75.0,31,92,33.7,MFFW,357103bd
322,Nicolas Jackson,303,2242,2024-2025,23,sn SEN,Chelsea,eng Premier League,30,2242,24.9,28,2,1,10,5,15,10,0,0,0,303,399,75.9,28,22,10,1,38,4088,884,182,223,81.6,92,118,78.0,9,15,60.0,FW,9c36ed83
323,Jack Clarke,302,1192,2024-2025,23,eng ENG,Ipswich Town,eng Premier League,32,1192,13.2,12,20,3,0,4,4,0,0,0,0,302,393,76.8,28,27,9,0,44,4942,1242,151,173,87.3,131,153,85.6,16,31,51.6,FWMF,e16932d8
324,Phillip Tietz,300,1700,2024-2025,27,de GER,Augsburg,de Bundesliga,34,1700,18.9,19,15,0,7,2,9,6,1,1,0,300,481,62.4,22,18,9,1,29,4032,671,183,263,69.6,89,133,66.9,8,18,44.4,FW,3397e7b5
325,Joe Willock,300,1094,2024-2025,24,eng ENG,Newcastle Utd,eng Premier League,32,1094,12.2,11,21,1,0,2,2,0,0,0,0,300,363,82.6,22,28,8,0,41,4282,903,174,195,89.2,107,123,87.0,10,22,45.5,MFFW,a3b03921
326,Breel Embolo,299,1852,2024-2025,27,ch SUI,Monaco,fr Ligue 1,29,1852,20.6,19,10,5,6,4,10,6,0,0,0,299,432,69.2,32,22,23,0,55,4346,1127,172,240,71.7,98,121,81.0,17,29,58.6,FWMF,0b4f388a
327,Karim Adeyemi,298,1447,2024-2025,22,de GER,Dortmund,de Bundesliga,25,1447,16.1,17,8,0,7,6,13,7,0,0,0,298,401,74.3,28,10,19,2,28,4376,889,164,202,81.2,99,123,80.5,16,23,69.6,FWMF,501055d8
328,Gorka Guruzeta,298,1856,2024-2025,27,es ESP,Athletic Club,es La Liga,36,1856,20.6,21,15,1,7,2,9,7,0,0,0,298,411,72.5,15,23,2,0,31,4403,655,170,215,79.1,98,131,74.8,16,31,51.6,FW,6b5ea2f4
329,Ben Johnson,298,1357,2024-2025,24,eng ENG,Ipswich Town,eng Premier League,23,1357,15.1,14,9,9,1,2,3,1,0,0,0,298,416,71.6,12,22,3,2,27,4835,2045,170,197,86.3,101,135,74.8,24,49,49.0,DFFW,9319781b
330,Jesper Lindstrøm,297,1251,2024-2025,24,dk DEN,Everton,eng Premier League,25,1251,13.9,15,10,3,0,1,1,0,0,0,0,297,428,69.4,19,18,12,7,25,4593,1335,194,225,86.2,65,99,65.7,29,65,44.6,FW,37dc1a48
331,Eren Dinkçi,297,1204,2024-2025,22,de GER,Freiburg,de Bundesliga,23,1204,13.4,13,10,2,0,3,3,0,0,0,0,297,394,75.4,23,24,11,3,35,4230,1090,159,187,85.0,109,133,82.0,12,26,46.2,MFFW,4ccd8957
332,Hugo Duro,296,2177,2024-2025,24,es ESP,Valencia,es La Liga,31,2177,24.2,25,6,2,11,2,13,10,1,1,0,296,428,69.2,14,18,3,0,28,4100,492,172,223,77.1,96,132,72.7,11,21,52.4,FW,37e103f8
333,Dani de Wit,296,1158,2024-2025,26,nl NED,Bochum,de Bundesliga,28,1158,12.9,11,17,5,2,1,3,2,0,0,0,296,411,72.0,10,24,5,2,33,4084,1104,175,225,77.8,85,115,73.9,14,23,60.9,MFFW,48a2b92a
334,Vedat Muriqi,295,2070,2024-2025,30,xk KVX,Mallorca,es La Liga,29,2070,23.0,24,5,0,7,2,9,5,2,3,1,295,487,60.6,26,23,6,0,30,4299,870,176,244,72.1,85,154,55.2,17,28,60.7,FW,0cadc46d
335,Jørgen Strand Larsen,295,2606,2024-2025,24,no NOR,Wolves,eng Premier League,35,2606,29.0,30,5,0,14,4,18,14,0,0,0,295,457,64.6,21,19,4,1,29,3818,697,182,254,71.7,73,112,65.2,14,20,70.0,FW,f553b2b3
336,Mathys Tel,293,1174,2024-2025,19,fr FRA,2 Teams,2 Comps,21,1174,13.0,13,8,10,2,2,4,1,1,1,0,293,394,74.4,15,17,18,5,30,4877,995,147,178,82.6,111,141,78.7,27,47,57.4,FW,829aa60c
337,Joshua Zirkzee,292,1411,2024-2025,23,nl NED,Manchester Utd,eng Premier League,32,1411,15.7,14,18,0,3,1,4,3,0,0,0,292,410,71.2,12,26,6,0,44,3600,901,196,251,78.1,61,82,74.4,9,18,50.0,FWMF,028e70b9
338,Tanguy Coulibaly,292,1494,2024-2025,23,fr FRA,Montpellier,fr Ligue 1,25,1494,16.6,17,8,2,3,0,3,3,0,0,0,292,372,78.5,18,8,5,2,20,3857,626,184,212,86.8,81,102,79.4,8,18,44.4,FWMF,05ba9d7c
339,Ramón Terrats,292,1361,2024-2025,23,es ESP,2 Teams,es La Liga,26,1361,15.1,16,10,5,4,1,5,4,0,0,0,292,431,67.7,17,36,11,4,43,4907,1476,149,174,85.6,106,150,70.7,27,81,33.3,MFFW,f36016a5
340,Oumar Diakité,291,1646,2024-2025,20,ci CIV,Reims,fr Ligue 1,26,1646,18.3,20,6,3,4,1,5,4,0,1,1,291,354,82.2,11,22,12,2,44,4122,691,155,183,84.7,100,115,87.0,11,13,84.6,FW,44435c8f
341,Jean-Philippe Mateta,291,2661,2024-2025,27,fr FRA,Crystal Palace,eng Premier League,37,2661,29.6,33,4,0,14,2,16,12,2,2,0,291,447,65.1,29,35,16,2,53,3856,1025,175,231,75.8,84,131,64.1,7,23,30.4,FW,50e6dc35
342,Maximilian Beier,291,1601,2024-2025,21,de GER,Dortmund,de Bundesliga,29,1601,17.8,17,12,1,8,5,13,8,0,0,0,291,413,70.5,24,13,14,3,33,3569,852,187,240,77.9,70,100,70.0,5,9,55.6,FWMF,5db45ee5
343,Simon Adingra,290,1107,2024-2025,22,ci CIV,Brighton,eng Premier League,29,1107,12.3,12,17,6,2,2,4,2,0,0,0,290,382,75.9,16,5,17,6,18,4148,820,187,217,86.2,81,109,74.3,16,29,55.2,FWMF,4dcec659
344,Assane Diao,290,1539,2024-2025,18,sn SEN,2 Teams,2 Comps,25,1539,17.1,16,9,8,9,3,12,9,0,0,0,290,370,78.4,16,15,14,1,37,3937,837,185,215,86.0,81,92,88.0,10,15,66.7,FWMF,8ae7d0ec
345,Patrik Schick,287,1695,2024-2025,28,cz CZE,Leverkusen,de Bundesliga,31,1695,18.8,19,12,2,21,0,21,20,1,1,0,287,368,78.0,11,11,6,0,21,3565,473,192,234,82.1,75,95,78.9,3,4,75.0,FW,5d4f7d61
346,Nicolas Viola,285,1284,2024-2025,34,it ITA,Cagliari,it Serie A,27,1284,14.3,18,9,10,3,1,4,3,0,0,0,285,452,63.1,28,34,11,2,46,5124,2017,146,178,82.0,80,134,59.7,48,101,47.5,FWMF,45392b06
347,Kamaldeen Sulemana,285,1414,2024-2025,22,gh GHA,Southampton,eng Premier League,26,1414,15.7,17,9,2,1,1,2,1,0,0,0,285,357,79.8,10,6,13,7,27,4101,627,177,201,88.1,86,103,83.5,13,28,46.4,FWMF,a62f8bf1
348,Pablo Durán,284,1405,2024-2025,23,es ESP,Celta Vigo,es La Liga,27,1405,15.6,15,12,10,4,4,8,4,0,0,0,284,400,71.0,17,21,10,3,30,4181,735,157,194,80.9,98,124,79.0,16,37,43.2,FWMF,6db116ec
349,Giacomo Raspadori,280,1112,2024-2025,24,it ITA,Napoli,it Serie A,26,1112,12.4,11,15,12,6,1,7,6,0,0,0,280,410,68.3,28,27,7,3,42,5058,1374,132,162,81.5,110,148,74.3,33,71,46.5,FWMF,6e058f06
350,Peque,279,1146,2024-2025,21,es ESP,Sevilla,es La Liga,26,1146,12.7,14,12,11,1,1,2,1,0,0,0,279,349,79.9,12,25,6,1,35,4138,852,165,192,85.9,86,105,81.9,17,26,65.4,MFFW,cb971b4f
351,Leon Bailey,277,1150,2024-2025,26,jm JAM,Aston Villa,eng Premier League,24,1150,12.8,14,10,5,1,2,3,1,0,0,0,277,390,71.0,16,16,20,2,35,4313,1055,152,186,81.7,100,123,81.3,18,38,47.4,FWMF,3a233281
352,Oliver McBurnie,276,1849,2024-2025,28,sct SCO,Las Palmas,es La Liga,34,1849,20.5,20,14,4,3,6,9,3,0,0,0,276,419,65.9,24,23,7,1,27,3391,779,185,253,73.1,63,106,59.4,6,9,66.7,FW,78b8ac63
353,Emanuel Emegha,273,2307,2024-2025,21,nl NED,Strasbourg,fr Ligue 1,27,2307,25.6,27,0,0,14,3,17,14,0,0,0,273,340,80.3,18,4,4,0,14,3373,347,174,214,81.3,71,78,91.0,5,7,71.4,FW,a0c590b9
354,Benjamín Domínguez,272,1294,2024-2025,20,ar ARG,Bologna,it Serie A,24,1294,14.4,16,8,11,3,2,5,3,0,0,0,272,348,78.2,10,12,13,1,32,3724,625,187,213,87.8,64,83,77.1,13,21,61.9,FW,a83b47fa
355,Gerrit Holtmann,270,1146,2024-2025,29,ph PHI,Bochum,de Bundesliga,23,1146,12.7,12,11,2,2,1,3,2,0,0,0,270,411,65.7,20,16,25,16,33,4724,1601,138,162,85.2,95,139,68.3,31,64,48.4,DFFW,2979c05a
356,Julio Enciso,270,1174,2024-2025,20,py PAR,2 Teams,eng Premier League,25,1174,13.0,14,11,7,2,3,5,2,0,0,0,270,398,67.8,18,31,12,2,42,4243,1211,140,177,79.1,101,137,73.7,15,44,34.1,MFFW,9cfbad36
357,Elif Elmas,270,1027,2024-2025,24,mk MKD,Torino,it Serie A,13,1027,11.4,12,1,1,4,0,4,4,0,0,0,270,336,80.4,9,22,15,5,34,4155,1051,149,166,89.8,98,117,83.8,14,28,50.0,FWMF,cf007308
358,Ferrán Torres,267,1115,2024-2025,24,es ESP,Barcelona,es La Liga,27,1115,12.4,12,15,2,10,6,16,10,0,0,0,267,360,74.2,19,17,18,2,35,3409,773,164,192,85.4,71,91,78.0,11,30,36.7,FWMF,9e1035f8
359,Williot Swedberg,266,1361,2024-2025,20,se SWE,Celta Vigo,es La Liga,32,1361,15.1,15,17,1,4,5,9,4,0,0,0,266,363,73.3,16,16,12,1,28,3749,737,161,196,82.1,75,100,75.0,14,24,58.3,FWMF,184fe4b2
360,Alfon,263,1381,2024-2025,25,es ESP,Celta Vigo,es La Liga,26,1381,15.3,14,12,9,5,2,7,5,0,0,0,263,377,69.8,24,8,7,1,22,3844,521,146,165,88.5,94,132,71.2,11,27,40.7,FWMF,1c772b46
361,Noah Weißhaupt,263,1252,2024-2025,22,de GER,2 Teams,de Bundesliga,22,1252,13.9,13,9,8,1,0,1,1,0,0,0,263,413,63.7,18,21,17,12,39,4483,1349,143,176,81.3,76,123,61.8,36,77,46.8,FWMF,dd676a97
362,Léo Scienza,262,1164,2024-2025,25,br BRA,Heidenheim,de Bundesliga,25,1164,12.9,13,12,6,3,3,6,3,0,0,0,262,395,66.3,34,30,14,8,30,4508,1847,127,157,80.9,86,128,67.2,38,79,48.1,FWMF,79064bc9
363,Carlos Martín,261,1346,2024-2025,22,es ESP,Alavés,es La Liga,26,1346,15.0,16,10,10,2,2,4,2,0,0,0,261,400,65.3,13,15,7,4,21,3767,914,141,196,71.9,97,131,74.0,11,33,33.3,FWMF,64035864
364,Gonçalo Guedes,259,1003,2024-2025,27,pt POR,Wolves,eng Premier League,29,1003,11.1,10,19,4,2,4,6,2,0,0,0,259,349,74.2,14,18,17,5,40,4193,1060,137,158,86.7,97,128,75.8,17,35,48.6,MFFW,e6bc67d7
365,Gianluca Gaetano,258,1017,2024-2025,24,it ITA,2 Teams,it Serie A,28,1017,11.3,8,20,7,2,4,6,2,0,0,0,258,357,72.3,22,27,13,0,41,4219,1182,137,172,79.7,81,113,71.7,31,46,67.4,MFFW,3b387cc7
366,Jamie Vardy,258,2837,2024-2025,37,eng ENG,Leicester City,eng Premier League,35,2837,31.5,35,0,0,9,4,13,8,1,2,1,258,389,66.3,19,11,10,1,22,3776,424,141,190,74.2,86,114,75.4,15,22,68.2,FW,45963054
367,John Yeboah,258,1233,2024-2025,24,ec ECU,Venezia,it Serie A,33,1233,13.7,11,22,0,1,1,2,1,0,0,0,258,354,72.9,20,19,12,0,42,3414,982,162,200,81.0,65,83,78.3,14,26,53.8,FWMF,8dfdc6c3
368,Ermedin Demirović,258,1869,2024-2025,26,ba BIH,Stuttgart,de Bundesliga,34,1869,20.8,20,14,0,15,1,16,15,0,2,2,258,367,70.3,18,15,10,0,31,2971,645,171,225,76.0,62,84,73.8,2,5,40.0,FW,ed79b7d3
369,Nathan Tella,256,1373,2024-2025,25,ng NGA,Leverkusen,de Bundesliga,27,1373,15.3,17,10,3,2,4,6,2,0,0,0,256,343,74.6,18,15,10,2,22,3452,603,162,187,86.6,74,92,80.4,8,19,42.1,MFFW,f1e94cd6
370,Erling Haaland,255,2742,2024-2025,24,no NOR,Manchester City,eng Premier League,31,2742,30.5,31,0,1,22,3,25,19,3,4,1,255,381,66.9,29,10,8,1,20,3086,593,175,246,71.1,59,84,70.2,4,6,66.7,FW,1f44ac21
371,Dominic Solanke,255,2208,2024-2025,26,eng ENG,Tottenham,eng Premier League,27,2208,24.5,25,2,1,9,3,12,8,1,1,0,255,361,70.6,14,28,9,0,47,3429,944,154,205,75.1,68,87,78.2,12,18,66.7,FW,e77dc3b2
372,Joshua King,253,1688,2024-2025,32,no NOR,Toulouse,fr Ligue 1,28,1688,18.8,21,7,0,6,3,9,6,0,0,0,253,358,70.7,17,13,10,1,29,3233,592,163,212,76.9,68,90,75.6,6,16,37.5,FWMF,43458538
373,Dušan Vlahović,253,1792,2024-2025,24,rs SRB,Juventus,it Serie A,29,1792,19.9,21,8,3,10,4,14,6,4,4,0,253,366,69.1,15,11,7,0,22,3895,421,144,182,79.1,82,117,70.1,19,27,70.4,FW,79443529
374,Rasmus Højlund,251,2020,2024-2025,21,dk DEN,Manchester Utd,eng Premier League,32,2020,22.4,23,9,2,4,0,4,4,0,0,0,251,336,74.7,16,14,5,1,18,2741,486,183,226,81.0,42,62,67.7,4,6,66.7,FW,491a433d
375,Marco Grüll,251,1192,2024-2025,26,at AUT,Werder Bremen,de Bundesliga,30,1192,13.2,13,17,1,6,1,7,6,0,0,0,251,327,76.8,11,22,14,3,38,3274,839,144,165,87.3,67,83,80.7,10,19,52.6,FWMF,8babb812
376,Neal Maupay,250,1051,2024-2025,27,fr FRA,2 Teams,2 Comps,22,1051,11.7,13,9,11,4,4,8,4,0,0,0,250,297,84.2,13,15,12,0,37,3404,651,148,169,87.6,69,81,85.2,14,16,87.5,FWMF,4bcf39f6
377,Evanilson,244,2339,2024-2025,24,br BRA,Bournemouth,eng Premier League,31,2339,26.0,28,3,1,10,1,11,10,0,1,1,244,342,71.3,26,14,6,0,28,3038,622,154,202,76.2,54,72,75.0,11,16,68.8,FW,6f3cc2fe
378,Tim Skarke,243,1174,2024-2025,27,de GER,Union Berlin,de Bundesliga,33,1174,13.0,11,22,1,0,2,2,0,0,0,0,243,347,70.0,16,12,15,9,25,3324,789,139,172,80.8,69,98,70.4,14,23,60.9,FWMF,65857fdf
379,Esteban Lepaul,241,1638,2024-2025,24,fr FRA,Angers,fr Ligue 1,28,1638,18.2,18,10,4,9,0,9,9,0,0,0,241,359,67.1,7,13,7,2,20,3512,623,124,162,76.5,82,110,74.5,14,32,43.8,FW,85ce1949
380,Jesus Rodríguez,241,1126,2024-2025,18,es ESP,Betis,es La Liga,21,1126,12.5,15,6,3,2,0,2,2,0,0,0,241,331,72.8,8,15,19,2,35,3111,935,158,194,81.4,57,79,72.2,9,13,69.2,FW,f9f74e43
381,Lorenzo Lucca,240,2366,2024-2025,23,it ITA,Udinese,it Serie A,33,2366,26.3,27,6,0,12,1,13,11,1,1,0,240,375,64.0,14,17,1,0,18,3772,404,112,182,61.5,89,117,76.1,20,27,74.1,FW,83c06f3a
382,Abel Ruiz,239,1362,2024-2025,24,es ESP,Girona,es La Liga,23,1362,15.1,17,6,4,4,0,4,3,1,2,1,239,272,87.9,8,14,5,0,23,3608,480,139,151,92.1,83,88,94.3,15,22,68.2,FW,6cbf8d0d
383,Ante Budimir,239,2971,2024-2025,33,hr CRO,Osasuna,es La Liga,38,2971,33.0,34,4,0,21,4,25,13,8,8,0,239,426,56.1,16,12,7,0,24,3022,503,162,249,65.1,59,114,51.8,5,11,45.5,FW,8f3565b3
384,Georginio Rutter,237,1672,2024-2025,22,fr FRA,Brighton,eng Premier League,28,1672,18.6,19,9,0,5,3,8,5,0,0,0,237,355,66.8,19,30,16,1,67,3344,1174,144,187,77.0,74,111,66.7,10,16,62.5,MFFW,c64c01fc
385,Arnaud Nordin,232,1172,2024-2025,26,fr FRA,Montpellier,fr Ligue 1,16,1172,13.0,14,2,0,4,1,5,3,1,2,1,232,332,69.9,15,6,12,6,23,3260,583,148,184,80.4,65,92,70.7,11,22,50.0,FW,7b9a9e25
386,Adam Armstrong,231,1258,2024-2025,27,eng ENG,Southampton,eng Premier League,20,1258,14.0,15,5,4,2,2,4,2,0,1,1,231,288,80.2,9,10,8,2,21,3320,446,138,158,87.3,81,95,85.3,6,13,46.2,FWMF,68c720b5
387,Abdallah Sima,231,1250,2024-2025,23,sn SEN,Brest,fr Ligue 1,27,1250,13.9,14,13,1,7,2,9,7,0,0,0,231,332,69.6,13,13,6,1,24,3140,660,142,183,77.6,72,105,68.6,8,10,80.0,FWMF,fdbde523
388,Daniel Mosquera,230,1385,2024-2025,24,co COL,Hellas Verona,it Serie A,35,1385,15.4,12,23,2,5,1,6,5,0,0,0,230,335,68.7,12,21,4,0,25,2878,544,151,203,74.4,56,74,75.7,4,12,33.3,FW,091b9eb8
389,Christian Kouamé,230,1135,2024-2025,26,ci CIV,2 Teams,it Serie A,26,1135,12.6,10,16,3,1,1,2,1,0,0,0,230,350,65.7,17,19,12,2,29,3294,690,126,177,71.2,68,107,63.6,18,24,75.0,FWMF,58e933d2
390,Wahbi Khazri,229,1127,2024-2025,33,tn TUN,Montpellier,fr Ligue 1,30,1127,12.5,10,20,2,1,1,2,1,0,0,0,229,337,68.0,18,27,8,5,33,3894,1196,123,152,80.9,62,93,66.7,32,61,52.5,FWMF,2677a1de
391,Alexander Sørloth,229,1578,2024-2025,28,no NOR,Atlético Madrid,es La Liga,35,1578,17.5,15,20,2,20,2,22,19,1,1,0,229,359,63.8,13,19,10,1,31,2905,601,142,213,66.7,63,95,66.3,5,7,71.4,FW,e92cd3f7
392,Moise Kean,228,2712,2024-2025,24,it ITA,Fiorentina,it Serie A,32,2712,30.1,31,1,0,19,3,22,18,1,2,1,228,326,69.9,19,15,10,1,26,3457,552,128,161,79.5,74,110,67.3,14,17,82.4,FW,3d50bcdb
393,M'Bala Nzola,227,1468,2024-2025,27,ao ANG,Lens,fr Ligue 1,21,1468,16.3,16,5,1,6,1,7,6,0,0,0,227,302,75.2,20,7,9,0,22,2579,415,158,197,80.2,38,54,70.4,5,6,83.3,FW,a4948e67
394,Carles Pérez,226,1440,2024-2025,26,es ESP,Getafe,es La Liga,27,1440,16.0,15,12,11,3,0,3,3,0,0,0,226,336,67.3,17,17,14,8,20,3455,818,130,165,78.8,73,103,70.9,16,40,40.0,MFFW,a8f21b9f
395,Matias Fernandez-Pardo,224,1075,2024-2025,19,be BEL,Lille,fr Ligue 1,22,1075,11.9,12,10,3,4,2,6,4,0,0,0,224,307,73.0,16,10,11,0,26,3456,733,117,146,80.1,85,103,82.5,13,25,52.0,FWMF,0cdb6a2a
396,Unai Gómez,223,1296,2024-2025,21,es ESP,Athletic Club,es La Liga,32,1296,14.4,14,18,4,1,3,4,1,0,0,0,223,305,73.1,10,20,1,0,23,3424,683,116,146,79.5,79,100,79.0,19,36,52.8,MFFW,37db6cae
397,Cucho,223,1150,2024-2025,25,co COL,Betis,es La Liga,15,1150,12.8,14,1,1,5,1,6,5,0,0,0,223,310,71.9,14,20,10,1,34,3302,867,117,151,77.5,53,75,70.7,23,32,71.9,FW,71b47ab9
398,Zakaria Aboukhlal,221,1914,2024-2025,24,ma MAR,Toulouse,fr Ligue 1,26,1914,21.3,22,4,0,7,2,9,6,1,2,1,221,349,63.3,12,16,10,4,22,2789,753,145,193,75.1,56,94,59.6,6,15,40.0,MFFW,c2a6033c
399,Liam Delap,219,2622,2024-2025,21,eng ENG,Ipswich Town,eng Premier League,37,2622,29.1,32,5,0,12,2,14,10,2,2,0,219,357,61.3,21,17,6,0,30,3011,657,123,174,70.7,69,108,63.9,9,24,37.5,FW,dd897ee7
400,Diogo Jota,216,1208,2024-2025,27,pt POR,Liverpool,eng Premier League,26,1208,13.4,14,12,3,6,3,9,6,0,0,0,216,310,69.7,11,29,3,1,34,3313,829,113,147,76.9,79,104,76.0,13,23,56.5,FW,178ae8f8
401,Pontus Almqvist,215,1120,2024-2025,25,se SWE,Parma,it Serie A,29,1120,12.4,10,19,7,1,1,2,1,0,0,0,215,297,72.4,10,4,4,1,12,2758,504,150,184,81.5,46,65,70.8,7,12,58.3,FWMF,0917188a
402,Eldor Shomurodov,215,1106,2024-2025,29,uz UZB,Roma,it Serie A,27,1106,12.3,11,16,10,4,4,8,4,0,0,0,215,286,75.2,17,10,6,0,21,2887,467,135,166,81.3,60,72,83.3,7,9,77.8,FWMF,57469b2d
403,Cyle Larin,214,1783,2024-2025,29,ca CAN,Mallorca,es La Liga,32,1783,19.8,21,11,4,7,2,9,6,1,1,0,214,317,67.5,8,11,3,0,20,2655,399,139,181,76.8,53,85,62.4,6,9,66.7,FW,e7af9060
404,Matteo Cancellieri,211,1437,2024-2025,22,it ITA,Parma,it Serie A,27,1437,16.0,19,8,2,3,0,3,3,0,0,0,211,313,67.4,11,16,7,5,24,2943,842,124,165,75.2,66,88,75.0,9,28,32.1,FWMF,b6a1cdf9
405,Joel Pohjanpalo,211,1616,2024-2025,29,fi FIN,Venezia,it Serie A,20,1616,18.0,19,1,0,6,0,6,3,3,4,1,211,350,60.3,15,25,7,0,29,3005,737,118,176,67.0,61,104,58.7,14,29,48.3,FW,ea003d07
406,Antonio Sanabria,210,1327,2024-2025,28,py PAR,Torino,it Serie A,26,1327,14.7,16,10,10,2,1,3,2,0,1,1,210,268,78.4,9,13,3,0,18,2844,451,123,150,82.0,64,79,81.0,9,15,60.0,FW,0a447501
407,Thijs Dallinga,210,1162,2024-2025,23,nl NED,Bologna,it Serie A,31,1162,12.9,11,20,7,3,2,5,3,0,0,0,210,293,71.7,12,14,4,0,17,2944,450,121,157,77.1,62,87,71.3,11,14,78.6,FW,b70afb45
408,Thierno Barry,209,2333,2024-2025,21,fr FRA,Villarreal,es La Liga,35,2333,25.9,25,10,0,11,4,15,10,1,1,0,209,337,62.0,23,14,12,1,27,2946,546,118,172,68.6,70,116,60.3,9,19,47.4,FW,52c3244b
409,Keinan Davis,208,1072,2024-2025,26,eng ENG,Udinese,it Serie A,23,1072,11.9,10,13,2,2,1,3,2,0,0,0,208,275,75.6,20,13,8,0,22,3083,415,111,140,79.3,70,87,80.5,15,18,83.3,FW,9deaf2c8
