,,,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Total,Total,Total,,,,,,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,,-additional
Rk,Player,Cmp,Min,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Cmp,Att,Cmp%,KP,1/3,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Pos,-9999
68,Charles De Ketelaere,754,2089,2024-2025,23,be BEL,Atalanta,it Serie A,36,2089,23.2,25,11,0,7,7,14,7,0,0,0,754,995,75.8,39,81,53,9,140,11207,3089,436,514,84.8,249,326,76.4,46,77,59.7,MFFW,2ef7c612
69,Eliesse Ben Seghir,754,1761,2024-2025,19,ma MAR,Monaco,fr Ligue 1,33,1761,19.6,19,14,1,6,3,9,4,2,2,0,754,951,79.3,33,71,45,4,122,10638,3042,454,515,88.2,233,293,79.5,34,76,44.7,MFFW,3bd65247
70,Hákon Arnar Haraldsson,751,1769,2024-2025,21,is ISL,Lille,fr Ligue 1,25,1769,19.7,21,4,1,5,3,8,5,0,0,0,751,946,79.4,35,64,42,5,102,12052,2948,369,428,86.2,302,351,86.0,53,95,55.8,MFFW,e2ae54db
71,Leroy Sané,750,1647,2024-2025,28,de GER,Bayern Munich,de Bundesliga,30,1647,18.3,17,13,2,11,5,16,11,0,0,0,750,909,82.5,36,24,35,7,64,10629,1878,438,490,89.4,253,298,84.9,29,45,64.4,FW,2b114be3
72,Kaoru Mitoma,749,2616,2024-2025,27,jp JPN,Brighton,eng Premier League,36,2616,29.1,28,8,0,10,4,14,10,0,0,0,749,988,75.8,37,36,36,8,89,9777,2226,505,579,87.2,189,265,71.3,23,52,44.2,FWMF,74618572
73,Bradley Barcola,749,2200,2024-2025,21,fr FRA,Paris S-G,fr Ligue 1,34,2200,24.4,27,7,0,14,10,24,14,0,0,0,749,917,81.7,50,28,51,4,96,10250,2486,485,546,88.8,225,275,81.8,20,33,60.6,FW,a0d55a09
74,Zuriko Davitashvili,737,2790,2024-2025,23,ge GEO,Saint-Étienne,fr Ligue 1,33,2790,31.0,32,1,0,9,8,17,7,2,2,0,737,938,78.6,50,38,23,4,73,10639,2497,426,485,87.8,238,297,80.1,36,83,43.4,FWMF,88b4d2e3
75,Luis Díaz,736,2420,2024-2025,27,co COL,Liverpool,eng Premier League,36,2420,26.9,28,8,2,13,5,18,13,0,0,0,736,874,84.2,56,48,46,6,110,11789,2533,394,445,88.5,254,295,86.1,60,74,81.1,FW,4a1a9578
76,Gavi,733,1094,2024-2025,19,es ESP,Barcelona,es La Liga,26,1094,12.2,14,12,3,1,1,2,1,0,0,0,733,814,90.0,14,92,11,1,77,10848,2687,401,422,95.0,254,283,89.8,35,44,79.5,MFFW,19cae58d
77,Florian Sotoca,732,1807,2024-2025,33,fr FRA,Lens,fr Ligue 1,31,1807,20.1,22,9,0,1,1,2,1,0,0,0,732,996,73.5,18,74,29,9,105,10828,2837,418,495,84.4,229,305,75.1,50,85,58.8,FWMF,7a42d0df
